Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,ABNORMAL VENTRICAL,38783,73,0.495,0.442,0.66633,0.281,-0.178,0.052,0.015,0.8583,Female,0.054
CN,AD,38783,529,0.495,0.229,0.0002,0.671,0.499,0.585,0.167,0.0012,Female,0.266
CN,ADHD,38783,329,0.495,0.46,0.71793,0.128,-0.089,0.019,0.006,0.8855,Female,0.036
CN,Anorexia/Bulima,38783,105,0.495,0.519,0.71533,0.226,-0.157,0.035,0.01,0.8846,Female,-0.023
CN,Anxiety/Phobia,38783,1039,0.495,0.486,0.20258,0.101,-0.022,0.04,0.011,0.3555,Female,0.009
CN,ASD,38783,381,0.495,0.486,0.61054,0.074,-0.128,-0.027,-0.008,0.8064,Female,0.009
CN,Attention & Learning difficulty,38783,99,0.495,0.192,0.0002,0.918,0.523,0.72,0.206,0.0012,Female,0.303
CN,BD,38783,111,0.495,0.442,0.35676,0.277,-0.096,0.091,0.026,0.5369,Female,0.053
CN,BIPOLAR/PSYCH-RELATIVE,38783,47,0.495,0.529,0.69613,0.233,-0.339,-0.053,-0.015,0.8781,Female,-0.034
CN,Chronic Pain,38783,63,0.495,0.413,0.05119,0.494,0,0.247,0.071,0.1215,Female,0.083
CN,DEMENTIA - LBD,38783,21,0.495,0.285,0.0038,1.063,0.207,0.635,0.182,0.0136,Female,0.211
CN,EMCI,38783,139,0.495,0.479,0.9745,0.162,-0.171,-0.005,-0.001,1,Female,0.017
CN,LMCI,38783,216,0.495,0.394,0.0002,0.41,0.143,0.276,0.079,0.0012,Female,0.102
CN,MCI,38783,253,0.495,0.406,0.0002,0.332,0.085,0.209,0.06,0.0012,Female,0.09
CN,MCI-Risk,38783,0,0.495,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,MDD,38783,3461,0.495,0.485,0.14519,0.061,-0.009,0.026,0.007,0.2744,Female,0.011
CN,ND,38783,100,0.495,0.205,0.0002,0.895,0.502,0.698,0.2,0.0012,Female,0.291
CN,OCD,38783,74,0.495,0.486,0.81592,0.254,-0.202,0.026,0.007,0.9648,Female,0.01
CN,Other,38783,117,0.495,0.476,0.70433,0.219,-0.144,0.037,0.011,0.8781,Female,0.019
CN,OTHER,38783,56,0.495,0.289,0.0002,0.872,0.347,0.61,0.174,0.0012,Female,0.207
CN,Other Psychiatric,38783,111,0.495,0.403,0.0298,0.394,0.021,0.207,0.059,0.0792,Female,0.092
CN,PD,38783,67,0.495,0.601,0.0292,-0.033,-0.512,-0.273,-0.078,0.078,Female,-0.106
CN,SAD,38783,150,0.495,0.444,0.24618,0.256,-0.065,0.095,0.027,0.4103,Female,0.051
CN,Schizoaffective Disorder,38783,53,0.495,0.316,0.0002,0.843,0.305,0.574,0.164,0.0012,Female,0.18
CN,Schizoaffective Disorder - Relative,38783,48,0.495,0.407,0.15518,0.487,-0.079,0.204,0.058,0.2886,Female,0.089
CN,SCZ,38783,315,0.495,0.297,0.0002,0.585,0.363,0.474,0.136,0.0012,Female,0.198
CN,SCZ-Relative,38783,138,0.495,0.354,0.0004,0.47,0.136,0.303,0.087,0.0021,Female,0.141
CN,SMC,38783,59,0.495,0.585,0.08539,0.028,-0.483,-0.227,-0.065,0.1813,Female,-0.09
CN,SPECIFIC PHOBIA,38783,159,0.495,0.45,0.27197,0.241,-0.07,0.085,0.024,0.4437,Female,0.046
CN,Subacute Pain,38783,28,0.495,0.396,0.15118,0.639,-0.102,0.268,0.077,0.2835,Female,0.099
ABNORMAL VENTRICAL,AD,73,529,0.442,0.229,0.0002,0.766,0.272,0.519,0.153,0.0012,Female,0.212
