Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,38783,529,0.499,0.379,0.0002,0.316,0.145,0.231,0.066,0.001,Female,0.12
CN,ADHD,38783,329,0.499,0.507,0.86411,0.116,-0.101,0.008,0.002,0.931,Female,-0.008
CN,Anxiety/Phobia,38783,1039,0.499,0.479,0.11639,0.11,-0.013,0.049,0.014,0.2793,Female,0.02
CN,ASD,38783,381,0.499,0.506,0.69333,0.121,-0.081,0.02,0.006,0.873,Female,-0.007
CN,LMCI,38783,216,0.499,0.477,0.27417,0.209,-0.059,0.075,0.021,0.5483,Female,0.022
CN,MCI,38783,253,0.499,0.466,0.38516,0.177,-0.07,0.053,0.015,0.7298,Female,0.033
CN,MDD,38783,3461,0.499,0.492,0.25457,0.055,-0.014,0.02,0.006,0.5391,Female,0.007
CN,SCZ,38783,315,0.499,0.366,0.0002,0.444,0.222,0.333,0.095,0.001,Female,0.133
AD,ADHD,529,329,0.379,0.507,0.0044,-0.066,-0.342,-0.204,-0.064,0.015,Female,-0.128
AD,Anxiety/Phobia,529,1039,0.379,0.479,0.0012,-0.071,-0.281,-0.176,-0.052,0.0054,Female,-0.1
AD,ASD,529,381,0.379,0.506,0.0046,-0.058,-0.322,-0.19,-0.06,0.015,Female,-0.127
AD,LMCI,529,216,0.379,0.477,0.07759,0.015,-0.302,-0.144,-0.045,0.1995,Female,-0.098
AD,MCI,529,253,0.379,0.466,0.0354,-0.007,-0.308,-0.157,-0.051,0.098,Female,-0.087
AD,MDD,529,3461,0.379,0.492,0.0002,-0.115,-0.298,-0.206,-0.06,0.001,Female,-0.113
AD,SCZ,529,315,0.379,0.366,0.19678,0.234,-0.046,0.094,0.029,0.4428,Female,0.013
ADHD,Anxiety/Phobia,329,1039,0.507,0.479,0.51935,0.165,-0.083,0.041,0.012,0.8042,Female,0.028
ADHD,ASD,329,381,0.507,0.506,0.87931,0.159,-0.137,0.011,0.003,0.931,Female,0.001
ADHD,LMCI,329,216,0.507,0.477,0.45355,0.238,-0.106,0.066,0.019,0.7504,Female,0.03
ADHD,MCI,329,253,0.507,0.466,0.62654,0.206,-0.123,0.042,0.013,0.8452,Female,0.041
ADHD,MDD,329,3461,0.507,0.492,0.83812,0.126,-0.101,0.012,0.004,0.931,Female,0.015
ADHD,SCZ,329,315,0.507,0.366,0.0002,0.47,0.159,0.314,0.093,0.001,Female,0.141
Anxiety/Phobia,ASD,1039,381,0.479,0.506,0.61494,0.089,-0.146,-0.028,-0.008,0.8452,Female,-0.027
Anxiety/Phobia,LMCI,1039,216,0.479,0.477,0.72753,0.173,-0.12,0.027,0.008,0.873,Female,0.002
Anxiety/Phobia,MCI,1039,253,0.479,0.466,0.93431,0.142,-0.133,0.004,0.001,0.961,Female,0.013
Anxiety/Phobia,MDD,1039,3461,0.479,0.492,0.41936,0.041,-0.098,-0.028,-0.008,0.7504,Female,-0.013
Anxiety/Phobia,SCZ,1039,315,0.479,0.366,0.0002,0.412,0.158,0.285,0.081,0.001,Female,0.113
ASD,LMCI,381,216,0.506,0.477,0.53615,0.22,-0.115,0.052,0.016,0.8042,Female,0.029
ASD,MCI,381,253,0.506,0.466,0.71653,0.189,-0.129,0.03,0.01,0.873,Female,0.04
ASD,MDD,381,3461,0.506,0.492,0.9971,0.106,-0.105,0.001,0,0.9971,Female,0.014
ASD,SCZ,381,315,0.506,0.366,0.0002,0.445,0.144,0.295,0.09,0.001,Female,0.14
LMCI,MCI,216,253,0.477,0.466,0.81712,0.162,-0.202,-0.02,-0.006,0.931,Female,0.011
LMCI,MDD,216,3461,0.477,0.492,0.45855,0.083,-0.192,-0.054,-0.016,0.7504,Female,-0.015
LMCI,SCZ,216,315,0.477,0.366,0.005,0.43,0.082,0.256,0.074,0.015,Female,0.111
MCI,MDD,253,3461,0.466,0.492,0.63394,0.095,-0.16,-0.032,-0.009,0.8452,Female,-0.026
MCI,SCZ,253,315,0.466,0.366,0.002,0.426,0.093,0.26,0.08,0.008,Female,0.1
MDD,SCZ,3461,315,0.492,0.366,0.0002,0.426,0.195,0.311,0.089,0.001,Female,0.126
CN,AD,38248,458,0.493,0.404,0.0008,0.275,0.09,0.182,0.052,0.0016,Male,0.089
CN,ADHD,38248,885,0.493,0.379,0.0002,0.363,0.229,0.296,0.085,0.0005,Male,0.114
CN,Anxiety/Phobia,38248,589,0.493,0.559,0.005,-0.037,-0.2,-0.119,-0.034,0.009,Male,-0.066
CN,ASD,38248,1628,0.493,0.463,0.0004,0.14,0.041,0.091,0.026,0.0008,Male,0.03
CN,LMCI,38248,341,0.493,0.551,0.0102,-0.034,-0.247,-0.14,-0.04,0.0175,Male,-0.058
CN,MCI,38248,197,0.493,0.535,0.64354,0.105,-0.175,-0.035,-0.01,0.6814,Male,-0.042
CN,MDD,38248,1789,0.493,0.521,0.001,-0.04,-0.135,-0.088,-0.025,0.0019,Male,-0.028
CN,SCZ,38248,718,0.493,0.444,0.0002,0.242,0.094,0.168,0.048,0.0005,Male,0.049
AD,ADHD,458,885,0.404,0.379,0.06299,0.222,-0.004,0.109,0.032,0.0907,Male,0.024
AD,Anxiety/Phobia,458,589,0.404,0.559,0.0002,-0.166,-0.411,-0.289,-0.086,0.0005,Male,-0.155
AD,ASD,458,1628,0.404,0.463,0.09999,0.018,-0.189,-0.085,-0.026,0.1333,Male,-0.06
AD,LMCI,458,341,0.404,0.551,0.0002,-0.157,-0.439,-0.298,-0.092,0.0005,Male,-0.147
AD,MCI,458,197,0.404,0.535,0.0246,-0.028,-0.363,-0.195,-0.062,0.0369,Male,-0.131
AD,MDD,458,1789,0.404,0.521,0.0002,-0.157,-0.363,-0.26,-0.077,0.0005,Male,-0.117
