Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,38231,529,0.496,0.179,0.0002,0.929,0.757,0.843,0.242,0.0004,Female,0.317
CN,ADHD,38231,329,0.496,0.527,0.32097,0.053,-0.164,-0.055,-0.016,0.3398,Female,-0.031
CN,Anxiety/Phobia,38231,1039,0.496,0.477,0.11999,0.11,-0.013,0.048,0.014,0.144,Female,0.019
CN,ASD,38231,378,0.496,0.448,0.0164,0.23,0.028,0.129,0.037,0.0246,Female,0.048
CN,LMCI,38231,216,0.496,0.258,0.0002,0.692,0.424,0.558,0.16,0.0004,Female,0.238
CN,MCI,38231,253,0.496,0.355,0.0002,0.47,0.223,0.347,0.1,0.0004,Female,0.141
CN,MDD,38231,3461,0.496,0.492,0.51015,0.046,-0.023,0.011,0.003,0.5247,Female,0.004
CN,SCZ,38231,315,0.496,0.351,0.0002,0.443,0.221,0.332,0.095,0.0004,Female,0.145
AD,ADHD,529,329,0.179,0.527,0.0002,-0.837,-1.127,-0.982,-0.258,0.0004,Female,-0.347
AD,Anxiety/Phobia,529,1039,0.179,0.477,0.0002,-0.724,-0.942,-0.833,-0.228,0.0004,Female,-0.297
AD,ASD,529,378,0.179,0.448,0.0002,-0.583,-0.856,-0.719,-0.205,0.0004,Female,-0.268
AD,LMCI,529,216,0.179,0.258,0.0004,-0.159,-0.478,-0.319,-0.081,0.0007,Female,-0.079
AD,MCI,529,253,0.179,0.355,0.0002,-0.383,-0.687,-0.535,-0.142,0.0004,Female,-0.175
AD,MDD,529,3461,0.179,0.492,0.0002,-0.746,-0.933,-0.839,-0.238,0.0004,Female,-0.313
AD,SCZ,529,315,0.179,0.351,0.0002,-0.401,-0.686,-0.543,-0.146,0.0004,Female,-0.172
ADHD,Anxiety/Phobia,329,1039,0.527,0.477,0.09999,0.228,-0.02,0.104,0.03,0.1241,Female,0.05
ADHD,ASD,329,378,0.527,0.448,0.0246,0.319,0.022,0.171,0.053,0.0341,Female,0.079
ADHD,LMCI,329,216,0.527,0.258,0.0002,0.801,0.449,0.625,0.176,0.0004,Female,0.269
ADHD,MCI,329,253,0.527,0.355,0.0002,0.561,0.229,0.395,0.115,0.0004,Female,0.172
ADHD,MDD,329,3461,0.527,0.492,0.25657,0.179,-0.047,0.066,0.019,0.2886,Female,0.035
ADHD,SCZ,329,315,0.527,0.351,0.0002,0.534,0.222,0.378,0.111,0.0004,Female,0.176
Anxiety/Phobia,ASD,1039,378,0.477,0.448,0.18978,0.196,-0.04,0.078,0.023,0.2204,Female,0.029
Anxiety/Phobia,LMCI,1039,216,0.477,0.258,0.0002,0.663,0.366,0.515,0.146,0.0004,Female,0.218
