Group 1,Group 2,Sample size G1,Sample size G2,Median centile G2,Median centile G1,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,33081,528,0.342,0.5,0.0002,0.485,0.313,0.399,0.115,0.0008,Female,0.158
CN,ADHD,33081,222,0.543,0.5,0.08879,0.017,-0.247,-0.115,-0.033,0.1453,Female,-0.043
CN,Anxiety/Phobia,33081,975,0.493,0.5,0.59194,0.081,-0.046,0.018,0.005,0.6659,Female,0.008
CN,ASD,33081,365,0.503,0.5,0.57814,0.133,-0.073,0.03,0.009,0.6659,Female,-0.003
CN,LMCI,33081,217,0.468,0.5,0.07279,0.259,-0.008,0.126,0.036,0.1248,Female,0.032
CN,MCI,33081,245,0.4,0.5,0.0002,0.391,0.14,0.265,0.076,0.0008,Female,0.101
CN,MDD,33081,3158,0.49,0.5,0.13679,0.064,-0.009,0.028,0.008,0.1965,Female,0.011
CN,SCZ,33081,75,0.337,0.5,0.0002,0.67,0.216,0.443,0.127,0.0008,Female,0.164
AD,ADHD,528,222,0.543,0.342,0.0002,-0.345,-0.663,-0.504,-0.148,0.0008,Female,-0.201
AD,Anxiety/Phobia,528,975,0.493,0.342,0.0002,-0.276,-0.49,-0.383,-0.11,0.0008,Female,-0.151
AD,ASD,528,365,0.503,0.342,0.0002,-0.214,-0.483,-0.349,-0.106,0.0008,Female,-0.161
AD,LMCI,528,217,0.468,0.342,0.0004,-0.115,-0.433,-0.274,-0.079,0.0013,Female,-0.126
AD,MCI,528,245,0.4,0.342,0.09659,0.025,-0.279,-0.127,-0.038,0.1512,Female,-0.057
AD,MDD,528,3158,0.49,0.342,0.0002,-0.278,-0.463,-0.371,-0.107,0.0008,Female,-0.148
AD,SCZ,528,75,0.337,0.342,0.74373,0.285,-0.199,0.043,0.013,0.8097,Female,0.005
ADHD,Anxiety/Phobia,222,975,0.493,0.543,0.07259,0.28,-0.012,0.134,0.038,0.1248,Female,0.051
ADHD,ASD,222,365,0.503,0.543,0.11399,0.302,-0.032,0.135,0.042,0.171,Female,0.04
ADHD,LMCI,222,217,0.468,0.543,0.0112,0.433,0.057,0.245,0.069,0.0252,Female,0.075
