Dx,p value (Hardigan's dip test of unimodality),D-statistic (Hardigan's dip test of unimodality),Number of inflection points in smoothed distribution,Sex
ASD,0,0.034621493,3,Female
SCZ,0.93,0.015333512,3,Female
ADHD,0.03,0.030658936,2,Female
AD,0.03,0.024444518,2,Female
MCI,0.01,0.039754181,3,Female
MDD,0.58,0.006099706,4,Female
Anxiety/Phobia,0.87,0.009178171,3,Female
ASD,0.09,0.01246881,3,Male
SCZ,0.83,0.011365023,3,Male
ADHD,0.97,0.008684463,3,Male
AD,0.07,0.024065743,3,Male
MCI,0.05,0.037522901,3,Male
MDD,0.46,0.008998437,3,Male
Anxiety/Phobia,0.84,0.012361999,2,Male
