"Group 1","Group 2","Sample size G1","Sample size G2","Median IQR Group 2","Median IQR Group 1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Sex","Median group difference"
"CN","AD",188,3143,"0.028","0.038","0.00106","0.00000","1.9998e-04","0.403","0.108","0.256","0.019","1.0499e-03","Female","0.010"
"CN","ADHD",47,3143,"0.023","0.038","0.01912","0.01024","1.4399e-02","0.583","0.006","0.295","0.022","2.7488e-02","Female","0.015"
"CN","ASD",36,3143,"0.022","0.038","0.00483","0.00099","2.5997e-03","-0.337","-0.995","-0.666","-0.051","7.3493e-03","Female","0.016"
"CN","MCI",26,3143,"0.031","0.038","0.31186","0.27522","2.9337e-01","0.585","-0.187","0.199","0.015","4.1072e-01","Female","0.007"
"CN","PD",28,3143,"0.016","0.038","0.00106","0.00000","1.9998e-04","0.933","0.188","0.561","0.042","1.0499e-03","Female","0.022"
"CN","SCZ",17,3143,"0.029","0.038","0.26996","0.23555","2.5257e-01","0.735","-0.219","0.258","0.019","3.7886e-01","Female","0.009"
"AD","ADHD",47,188,"0.023","0.028","0.68832","0.63961","6.6393e-01","0.397","-0.246","0.075","0.003","7.7459e-01","Female","0.005"
"AD","ASD",36,188,"0.022","0.028","0.00106","0.00000","1.9998e-04","-0.524","-1.260","-0.892","-0.070","1.0499e-03","Female","0.006"
"AD","MCI",26,188,"0.031","0.028","0.65239","0.60437","6.2834e-01","0.320","-0.505","-0.092","-0.004","7.7459e-01","Female","-0.002"
"AD","PD",28,188,"0.016","0.028","0.00106","0.00000","1.9998e-04","0.984","0.178","0.581","0.023","1.0499e-03","Female","0.012"
"AD","SCZ",17,188,"0.029","0.028","1.00000","0.96835","9.9430e-01","0.511","-0.488","0.011","0.000","9.9430e-01","Female","-0.000"
"ADHD","ASD",36,47,"0.022","0.023","0.00992","0.00386","6.5993e-03","-0.175","-1.077","-0.626","-0.073","1.3859e-02","Female","0.001"
"ADHD","MCI",26,47,"0.031","0.023","0.48427","0.44064","4.6235e-01","0.314","-0.663","-0.174","-0.007","6.0684e-01","Female","-0.008"
"ADHD","PD",28,47,"0.016","0.023","0.00667","0.00193","3.9996e-03","1.108","0.135","0.622","0.020","9.3324e-03","Female","0.007"
"ADHD","SCZ",17,47,"0.029","0.023","0.81377","0.76323","7.8852e-01","0.497","-0.635","-0.069","-0.003","8.2795e-01","Female","-0.006"
"ASD","MCI",26,36,"0.031","0.022","0.06613","0.04878","5.7194e-02","1.016","-0.029","0.494","0.066","1.0009e-01","Female","-0.009"
"ASD","PD",28,36,"0.016","0.022","0.00510","0.00112","2.7997e-03","1.240","0.201","0.721","0.093","7.3493e-03","Female","0.006"
"ASD","SCZ",17,36,"0.029","0.022","0.09445","0.07363","8.3792e-02","1.089","-0.108","0.491","0.070","1.3536e-01","Female","-0.007"
"MCI","PD",28,26,"0.016","0.031","0.00219","0.00007","7.9992e-04","1.485","0.337","0.911","0.027","3.3597e-03","Female","0.015"
"MCI","SCZ",17,26,"0.029","0.031","0.75342","0.70364","7.2853e-01","0.741","-0.520","0.111","0.004","8.0521e-01","Female","0.002"
"PD","SCZ",17,28,"0.029","0.016","0.00510","0.00112","2.7997e-03","-0.334","-1.643","-0.989","-0.023","7.3493e-03","Female","-0.013"
"CN","AD",233,2778,"0.029","0.039","0.00106","0.00000","1.9998e-04","0.410","0.142","0.276","0.021","1.0499e-03","Male","0.010"
"CN","ADHD",117,2778,"0.021","0.039","0.00219","0.00007","7.9992e-04","0.470","0.100","0.285","0.023","2.0998e-03","Male","0.018"
"CN","ASD",116,2778,"0.009","0.039","0.00106","0.00000","1.9998e-04","0.555","0.183","0.369","0.029","1.0499e-03","Male","0.030"
"CN","MCI",37,2778,"0.026","0.039","0.00536","0.00125","2.9997e-03","0.711","0.062","0.387","0.031","6.9993e-03","Male","0.013"
"CN","PD",53,2778,"0.016","0.039","0.00106","0.00000","1.9998e-04","0.850","0.305","0.578","0.046","1.0499e-03","Male","0.023"
"CN","SCZ",35,2778,"0.025","0.039","0.05731","0.04121","4.8995e-02","0.619","-0.048","0.285","0.023","9.3536e-02","Male","0.014"
"AD","ADHD",117,233,"0.021","0.029","0.86239","0.81137","8.3692e-01","0.247","-0.199","0.024","0.001","9.4771e-01","Male","0.008"
"AD","ASD",116,233,"0.009","0.029","0.15637","0.12965","1.4279e-01","0.389","-0.059","0.165","0.008","2.4988e-01","Male","0.020"
"AD","MCI",37,233,"0.026","0.029","0.19938","0.16940","1.8418e-01","0.579","-0.119","0.230","0.009","2.9752e-01","Male","0.002"
"AD","PD",53,233,"0.016","0.029","0.00106","0.00000","1.9998e-04","0.942","0.333","0.638","0.024","1.0499e-03","Male","0.013"
