"Group 1","Group 2","Sample size G1","Sample size G2","Median IQR Group 2","Median IQR Group 1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Sex","Median group difference"
"CN","AD",188,2742,"0.020","0.025","0.21821","0.18695","2.0238e-01","0.243","-0.052","0.095","0.004","3.5416e-01","Female","0.005"
"CN","ADHD",47,2742,"0.018","0.025","0.07896","0.05994","6.9193e-02","0.534","-0.043","0.245","0.010","2.4218e-01","Female","0.007"
"CN","ASD",35,2742,"0.010","0.025","0.51676","0.47213","4.9435e-01","0.228","-0.439","-0.105","-0.004","6.1067e-01","Female","0.014"
"CN","MCI",26,2742,"0.013","0.025","0.00641","0.00179","3.7996e-03","0.851","0.078","0.464","0.019","7.9792e-02","Female","0.012"
"CN","PD",28,2742,"0.024","0.025","0.06592","0.04859","5.6994e-02","0.685","-0.060","0.312","0.013","2.4218e-01","Female","0.001"
"CN","SCZ",17,2742,"0.012","0.025","0.99986","0.94817","9.7410e-01","0.506","-0.448","0.029","0.001","9.7410e-01","Female","0.013"
"AD","ADHD",47,188,"0.018","0.020","0.45275","0.41019","4.3136e-01","0.452","-0.191","0.131","0.006","5.6616e-01","Female","0.002"
"AD","ASD",35,188,"0.010","0.020","0.39979","0.35921","3.7936e-01","0.204","-0.522","-0.159","-0.008","5.3111e-01","Female","0.010"
"AD","MCI",26,188,"0.013","0.020","0.03640","0.02374","2.9797e-02","0.732","-0.095","0.319","0.015","2.4218e-01","Female","0.007"
"AD","PD",28,188,"0.024","0.020","0.31206","0.27541","2.9357e-01","0.588","-0.211","0.188","0.009","4.7423e-01","Female","-0.004"
"AD","SCZ",17,188,"0.012","0.020","0.62167","0.57431","5.9794e-01","0.442","-0.556","-0.057","-0.003","6.9760e-01","Female","0.008"
"ADHD","ASD",35,47,"0.010","0.018","0.21552","0.18444","1.9978e-01","0.147","-0.746","-0.299","-0.014","3.5416e-01","Female","0.008"
"ADHD","MCI",26,47,"0.013","0.018","0.16449","0.13712","1.5058e-01","0.837","-0.144","0.347","0.009","3.5416e-01","Female","0.005"
"ADHD","PD",28,47,"0.024","0.018","0.67903","0.63050","6.5473e-01","0.590","-0.362","0.114","0.003","7.2365e-01","Female","-0.006"
