"Group 1","Group 2","Sample size G1","Sample size G2","Median centile G2","Median centile G1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Significance"
"AD>AD","MCI>MCI",65,421,0.0114621360598682,0.0168735438672895,0.0425944685451689,0.00746104672198229,0.022,0.497135569531899,-0.027404472896023,0.234865548317938,0.00920810858846157,0.044,"*"
"AD>AD","MCI>AD",19,421,0.0240825048106769,0.0168735438672895,0.50738723972257,0.370948936702367,0.438,0.337496888458965,-0.584557943276822,-0.123530527408928,-0.00506985734668069,0.438,NA
"AD>AD","CN>MCI",37,421,0.0297555278979345,0.0168735438672895,0.0341278182940787,0.00408686814237232,0.016,-0.161281382310278,-0.838342707021455,-0.499812044665867,-0.0209609111486848,0.04,"*"
"AD>AD","CN>AD",11,421,0.0192334412079425,0.0168735438672895,0.088815193645094,0.0326999851424469,0.058,-0.365607605120298,-1.57320990667071,-0.969408755895503,-0.0414085883875142,0.0966666666666667,NA
"AD>AD","OTHER>AD",2,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>MCI","MCI>AD",19,65,0.0240825048106769,0.0114621360598682,0.025105151966053,0.00134732947568434,0.01,-0.142350965779543,-1.2002387490101,-0.671294857394821,-0.0142779659351423,0.0333333333333333,"*"
"MCI>MCI","CN>MCI",37,65,0.0297555278979345,0.0114621360598682,0.0105791632410774,0,0.002,-0.518492591825852,-1.37702578501218,-0.947759188419016,-0.0301690197371463,0.01,"**"
"MCI>MCI","CN>AD",11,65,0.0192334412079425,0.0114621360598682,0.0105791632410774,0,0.002,-0.809599389043363,-2.19672339160833,-1.50316139032585,-0.0506166969759757,0.01,"**"
"MCI>MCI","OTHER>AD",2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>AD","CN>MCI",37,19,0.0297555278979345,0.0240825048106769,0.24959096872378,0.150651308383106,0.198,0.191780570365884,-0.948982826025421,-0.378601127829769,-0.0158910538020041,0.2475,NA
"MCI>AD","CN>AD",11,19,0.0192334412079425,0.0240825048106769,0.127126952358373,0.0580565661117477,0.09,0.107467719516334,-1.48697763580099,-0.689754958142328,-0.0363387310408335,0.128571428571429,NA
"MCI>AD","OTHER>AD",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>MCI","CN>AD",11,37,0.0192334412079425,0.0297555278979345,0.356406840254984,0.239044764622925,0.296,0.327294856526103,-1.06348349928093,-0.368094321377415,-0.0204476772388294,0.328888888888889,NA
"CN>MCI","OTHER>AD",2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>AD","OTHER>AD",2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
