"Group 1","Group 2","Sample size G1","Sample size G2","Median centile G2","Median centile G1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Significance"
"AD>AD","MCI>MCI",61,420,0.0422192397784099,0.0321728939950713,0.511592179594827,0.374712846587836,0.442,0.369329519015122,-0.169287472420362,0.10002102329738,0.00771100674791653,0.663,NA
"AD>AD","MCI>AD",13,420,0.0485768283440384,0.0321728939950713,1,0.859031547836802,0.942,0.556176377599194,-0.550822059618722,0.00267715899023582,0.000213729384783298,0.942,NA
"AD>AD","CN>MCI",31,420,0.060091977046024,0.0321728939950713,0.0764484923481843,0.0251864163801611,0.048,-0.0167950547892507,-0.750045675229137,-0.383420365009194,-0.0309372819109957,0.144,NA
"AD>AD","CN>AD",4,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>MCI","MCI>AD",13,61,0.0485768283440384,0.0422192397784099,0.711069556319876,0.557749350016394,0.634,0.444433785339209,-0.774684513466232,-0.165125364063511,-0.00749727736313324,0.7608,NA
"MCI>MCI","CN>MCI",31,61,0.060091977046024,0.0422192397784099,0.0218893568825813,0.000676966588272791,0.008,-0.195273524645564,-1.09171940566161,-0.643496465153587,-0.0386482886589123,0.048,"*"
"MCI>MCI","CN>AD",4,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>AD","CN>MCI",31,13,0.060091977046024,0.0485768283440384,0.271627665165209,0.168450770615723,0.218,0.24722115042667,-1.09895946961008,-0.425869159591707,-0.031151011295779,0.436,NA
"MCI>AD","CN>AD",4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>MCI","CN>AD",4,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
