"","study","Pearson's r","p-value","t-value","df","lower ci","upper ci"
"1","3R-BRAIN","0.999999144264146","0","13843.6873002089","328","0.999998937123538","0.999999311035794"
"2","ABCD","0.999925956560117","0","7746.75129073837","8888","0.999922812933736","0.999928972159402"
"3","abide1","0.99998272776865","0","4019.03929520821","558","0.999979607010173","0.999985370958005"
"4","abide2","0.999994651590869","0","6030.39486003094","389","0.99999347394412","0.999995616728125"
"5","ADHD200","0.999995640228794","0","7488.69533230923","489","0.999994793718076","0.999996349102115"
"6","ADNI","0.999999800706695","0","31915.4961142361","406","0.999999757849267","0.999999835978935"
"7","AIBL","0.999999777115015","0","32088.6071494657","459","0.999999732312018","0.999999814419326"
"8","AOBA","0.999892247144185","0","2112.62806093982","962","0.999877723819609","0.999905045546204"
"9","AOMIC_ID1000","0.999998825993963","0","19826.6940613983","923","0.999998664216868","0.999998968178195"
"10","AOMIC_PIOP1","0.999994157697956","7.49956755792611e-177","2465.01899693193","71","0.999990666181853","0.999996343139502"
"11","AOMIC_PIOP2","0.999999782044308","0","22567.1809301293","222","0.999999716283741","0.999999832562704"
"12","ARWIBO","0.999975357956759","0","4668.10653215162","1074","0.999972225438554","0.999978137181787"
"13","ASRB","0.999989860075157","0","2995.71176723268","182","0.999986430225956","0.999992423010809"
"14","BabyConnectome","0.999935675710441","1.63486562452034e-227","949.523122693193","116","0.999907291673653","0.999955369744971"
"15","BGSP","0.999991070124138","0","9369.84511222456","1568","0.99999014058594","0.999991912026523"
"16","BHRCS","0.999999010260839","0","12654.7606015651","317","0.999998766076154","0.999999206123144"
"17","BIODEP","0.999997320339606","2.28637702131485e-141","3144.72146789774","53","0.999995385122592","0.999998444037343"
"18","BSNIP","0.999999661519937","0","16972.1026877831","195","0.999999551504089","0.999999744548949"
"19","Calgary","0.999999835016821","1.5884146089171e-267","15764.203810452","82","0.99999974496749","0.999999893270671"
"20","CALM","0.999999233885287","8.17708224043619e-220","6996.3009517112","75","0.999998791646384","0.999999514271569"
"21","CamCAN","0.999998479079435","0","14584.225845935","647","0.999998225456578","0.999998696453806"
"22","CAMFT","0.999996756471376","6.13869894216378e-173","3189.67949117324","66","0.999994725583651","0.999998005376685"
"23","CHILD","0.998458643852859","3.08575498410784e-39","98.5352508114398","30","0.996810863698815","0.999255357559358"
"24","COBRE","0.999999258711359","1.32199488988431e-246","7527.15278106603","84","0.999998860143254","0.999999517914148"
"25","cVEDA","0.999997311102249","0","14881.7108899878","1191","0.999996987518298","0.999997599928662"
"26","devCCNP","0.99999899349257","0","14461.6294588851","421","0.999998781331168","0.999999168718226"
"27","dHCP","0.999419436944704","0","656.583556019991","501","0.999308234305353","0.999512767906564"
"28","DLBS","0.999999052874745","0","12813.3054615623","311","0.99999881669319","0.999999241915774"
"29","EDSD","0.9999915683407","0","3080.24826997317","160","0.999988494069968","0.999993821199229"
"30","EMBARC","0.999998854870862","3.96907731976687e-103","3964.68462715719","36","0.999997778671063","0.999999409668519"
"31","FemaleASD","0.999998724669328","0","9412.98580932264","226","0.999998343786726","0.999999017959657"
"32","FinnBrain","0.927062238815444","8.39385069669054e-107","38.7839787575068","246","0.907267729891114","0.942758249633765"
"33","Frankfurt","0.999999128418806","0","13759.0282639744","330","0.999998918156785","0.999999297815292"
"34","GOBS","0.999997475932011","0","6631.47509211769","222","0.999996714383221","0.999998060967216"
"35","GOSH","0.999977723857601","2.25314308420919e-97","993.765903378832","44","0.999959500462372","0.999987747403681"
"36","GUSTO","0.99997030902773","0","3246.760755956","626","0.999965268827235","0.999974617801768"
"37","HABS","0.999999816042699","0","27339.6389037805","275","0.999999766888901","0.999999854831929"
"38","Harvard_Fetal1","0.9969859400218","1.86107973263466e-40","76.025556383487","35","0.99410498894588","0.998460028694018"
"39","Harvard_Fetal2","0.999677513487526","8.63870222958447e-136","360.79773878482","84","0.999504165295323","0.999790263977644"
"40","Harvard_Fetal3","0.999320708034466","1.95448256025249e-139","265.68744502537","96","0.998984578560744","0.999545595677248"
"41","HBN","0.999984035824011","0","3852.97081776434","474","0.999980882882942","0.999986668761406"
"42","HCP","0.999997869897292","0","16148.830104943","1111","0.999997603937542","0.99999810633589"
"43","HCP_lifespanA","0.999999484922722","0","25824.2077606776","687","0.999999401766918","0.999999556519677"
"44","HCP_lifespanD","0.999985769958514","0","4789.98192531122","653","0.99998340883418","0.999987795068238"
"45","IBIS","0.999933858136063","7.21702750894925e-192","860.673201360219","98","0.999901525847248","0.999955574911577"
