"","study","Pearson's r","p-value","t-value","df","lower ci","upper ci"
"1","3R-BRAIN","0.999998674493962","0","10441.013001476","289","0.999998330076026","0.999998947876537"
"2","ABCD","0.999940272304572","0","8625.40886666698","8888","0.999937736455881","0.999942704877028"
"3","abide1","0.999933790092221","0","2052.66956644866","558","0.999921827586778","0.999943922060292"
"4","abide2","0.999993910883122","0","5651.720346691","389","0.999992570143235","0.999995009683087"
"5","ADHD200","0.999997647464892","0","11112.3073654873","581","0.999997231627901","0.999998000839099"
"6","ADNI","0.999999956737307","0","68500.1038825304","406","0.999999947433794","0.999999964394223"
"7","AIBL","0.999999734867476","0","29453.1892936177","460","0.999999681635697","0.999999779198691"
"8","AOBA","0.999953621816542","0","3220.33138284339","962","0.999947370577409","0.999959130558603"
"9","AOMIC_ID1000","0.999998954468049","0","21009.5551786778","923","0.99999881039457","0.999999081092752"
"10","AOMIC_PIOP1","0.999998335360193","3.29764757182815e-196","4617.99540467599","71","0.999997340523561","0.999998958056131"
"11","AOMIC_PIOP2","0.999999842128181","0","26516.0684171685","222","0.999999794495835","0.999999878720165"
"12","ARWIBO","0.99992890276961","0","2750.68992982563","1076","0.999919873987635","0.999936914199915"
"13","BabyConnectome","0.999686632240228","1.24695784200054e-187","430.115161114905","116","0.999548378933302","0.999782567108507"
"14","BGSP","0.999993981070929","0","11412.9117234084","1568","0.999993354541114","0.999994548532056"
"15","BHRCS","0.999995032411932","0","5630.74517565159","315","0.999993802486631","0.999996018253334"
"16","BSNIP","0.999999831063793","3.75489890839347e-322","17117.5330538641","99","0.999999748989782","0.999999886301674"
"17","Calgary","0.999999605537025","5.2746259444431e-252","10195.0339615514","82","0.999999390235554","0.9999997448178"
"18","CALM","0.999999377224882","3.45942436603533e-223","7759.7870741506","75","0.999999017728567","0.999999605151072"
"19","CamCAN","0.999986096402309","0","4823.57479809719","647","0.999983777908644","0.999988083534208"
"20","CAMFT","0.999999691709451","1.1486767906952e-206","10346.1021966976","66","0.999999498677399","0.999999810415371"
"21","Cornell_C1","0.999998961929483","1.41047752665676e-183","5552.15041020013","64","0.999998298980309","0.99999936650336"
"22","Cornell_C2","0.99999649253331","4.01371864469386e-71","1961.86429883231","27","0.999992434086221","0.99999837398237"
"23","cVEDA","0.999997296605988","0","14841.7574069841","1191","0.999996971277549","0.999997586989507"
"24","devCCNP","0.999993948064695","0","5890.61362684537","420","0.999992670711237","0.999995002800674"
"25","dHCP","0.987310475829039","0","139.160851818588","501","0.984897409014848","0.989340057487117"
"26","DLBS","0.999999261454784","0","14533.6103994819","312","0.999999077616613","0.99999940865259"
"27","EDSD","0.999999864105329","0","24262.9573863061","160","0.999999814556437","0.999999900415192"
"28","EMBARC","0.99999952760036","4.55706439313065e-113","6257.93332365366","37","0.999999092088931","0.999999754203464"
"29","FemaleASD","0.999999962444518","0","55216.142407362","229","0.999999951312471","0.999999971031304"
"30","FinnBrain","0.81231370163693","1.5499590868782e-59","21.8453174847344","246","0.76517253003151","0.850791314505038"
"31","GUSTO","0.999995191121054","0","8074.12156394252","627","0.999994375481113","0.999995888481163"
"32","HABS","0.999999967916602","0","65465.2994543851","275","0.999999959343846","0.999999974681707"
"33","HBN","0.999995552941009","0","7300.22556414454","474","0.999994674636258","0.999996286388462"
"34","HCP","0.999996360316066","0","12354.0402031925","1111","0.999995905873845","0.999996764315924"
"35","HCP_lifespanA","0.999989813160072","0","5806.84604234166","687","0.999988168571688","0.999991229148915"
"36","HCP_lifespanD","0.999957849928755","0","2783.09933018666","653","0.999950856278096","0.9999638483299"
"37","IBIS","0.999660890201338","4.35413000641083e-157","380.029572844544","98","0.999495156013805","0.999772222053503"
"38","ICBM","0.999997178199552","0","10207.2698663796","588","0.999996682645486","0.999997599726699"
"39","IMAGEN","0.999901482614578","0","3275.28400193462","2114","0.999892713272432","0.999909535205596"
"40","IMAP","0.999995452343474","0","4827.8928557833","212","0.999994043575904","0.999996527920762"
"41","IXI","0.999998050330691","0","11973.18777063","559","0.999997698402653","0.999998348446865"
"42","LA5c","0.999999592103256","0","12278.9803828873","123","0.999999418327496","0.999999713963186"
"43","MCIC","0.999998911566202","6.20960061867051e-251","6358.06515697592","88","0.999998343014666","0.999999285034096"
"44","Narratives","0.999999857232761","0","25037.8590713318","179","0.999999808473419","0.999999893578822"
"45","NHGRI","0.999938748107707","0","1824.88447671462","408","0.999925612211822","0.999949564437258"
"46","NIH","0.999773562033226","0","1798.88582117598","1466","0.999749145570808","0.999795602206319"
"47","NIHPD","0.993224950528558","0","194.338344820997","517","0.991954008307892","0.994295710033675"
"48","NSPN","0.999999924519743","0","44653.0924543551","301","0.999999905349775","0.999999939807126"
"49","NTB_Yale","0.999307777985967","1.29202733578174e-84","204.574139654526","58","0.998836860249854","0.999588075624469"
"50","OASIS3","0.999995159193485","0","7356.82129529503","524","0.999994254095318","0.999995921720367"
"51","Oulu","0.999999050356431","6.76668262350524e-288","7256.11867352574","100","0.999998591819001","0.999999359583149"
"52","PCDC","0.999989229894602","2.40701328914815e-118","1523.54932665381","50","0.999981145342889","0.999993847940668"
"53","PING","0.999625908294735","0","1011.55260204175","766","0.999568961340104","0.999675332886782"
"54","PNC","0.999986257056587","0","6950.87829104589","1328","0.999984695724618","0.999987659103492"
"55","POND","0.999999826831073","1.86516632489094e-305","16474.5624966298","94","0.999999739983491","0.999999884670874"
"56","PREVENTAD","0.999999945866335","0","59165.8179714563","379","0.999999933773837","0.999999955750816"
"57","RDB","0.999965268221221","0","1541.17568335454","165","0.999952830673808","0.999974426294026"
"58","SALD","0.999969585482823","0","2782.56351044588","471","0.999963557713644","0.999974616236069"
"59","SLIM","0.999992834353659","0","7180.87228106242","739","0.999991722075674","0.999993797178904"
"60","UCSD","0.999977446601477","0","2100.38156161203","199","0.999970201463162","0.999982930190845"
"61","UKB","0.998473693409728","0","3080.22582083274","29029","0.998438197555647","0.998508383134172"
"62","VETSA","0.999999996491189","0","277653.796764584","541","0.999999995846447","0.999999997035849"
"63","WAYNE","0.99999902886544","0","10045.533738876","196","0.999998714148077","0.999999266554507"
