authorYear	phase	N	age_mean	age_sd	age_min	age_max	female_pct	modality	origin	dataset	disease
Fang2024	Uninvestigated	492			19.0	80.0	21.6	T1w MRI	New	SALD (Southwest University adult lifespan dataset)	Schizophrenia (SCZ);Bipolar Disorder (BD);Attention-Deficit/Hyperactivity Disorder (ADHD);Major Depressive Disorder (MDD)
Han2024A	Uninvestigated	130	21.05	5.33			54.6	T1w MRI;fMRI	New	In-house cohort from First Affiliated Hospital of Zhengzhou University	Major Depressive Disorder (MDD)
Zabihi2020	Uninvestigated	206	17.5	6.1	6.0	31.0	38.3	T1w MRI	Pre-trained	EU-AIMS LEAP	Autism Spectrum Disorder (ASD)
Yu2024	Uninvestigated	2115			0.3	13.0		T1w MRI	New	Multi-site aggregated dataset;representative: ABIDE I;ABIDE II;BCP;CPMD;CBD;CCNP;HBN;HCP Development;IBIS;PeriCBD;PING;Pixar	Refractory Epilepsy ()
Romascano2024	Uninvestigated	696	69.0	9.3	42.7	97.0	60.2	T1w MRI	New	OASIS-3	Alzheimer's Disease (AD)
Floris2021	Uninvestigated	233		5.86	6.9	30.9	33.9	T1w MRI	New	EU-AIMS LEAP	Autism Spectrum Disorder (ASD)
Floris2021	Overall	233		5.86	6.9	30.9	33.9	T1w MRI	New	EU-AIMS LEAP	Autism Spectrum Disorder (ASD)
Echave2024	Uninvestigated	4904			6.0	95.0	54.9	T1w MRI	New	Multi-site aggregated dataset from 20 scan sites;Cam-CAN	Autism Spectrum Disorder (ASD);Schizophrenia (SCZ)
Zheng2024	Uninvestigated	404	29.0	9.3			60.4	T1w MRI	New	A study-specific cohort from China Medical University.	Major Depressive Disorder (MDD);Bipolar Disorder (BD)
Rutherford2022	Uninvestigated	29418	46.9	24.4	2.0	100.0	51.1	T1w MRI	New	Multi-site aggregated dataset (82 sites);representative datasets include: ABCD;ABIDE;ADHD200;Cam-CAN;CMI-HBN;HCP-Aging;HCP-Development;HCP-Early Psychosis;HCP-Young Adult;IXI;NKI-RS;Oasis;OpenNeuro;PNC;SRPBS;UK Biobank;University of Michigan studies;UC Davis;University of Oslo;King's College London;Amsterdam UMC	Attention-Deficit/Hyperactivity Disorder (ADHD);Autism Spectrum Disorder (ASD);Bipolar Disorder (BD);Early Psychosis (EP);Major Depressive Disorder (MDD);Schizophrenia (SCZ)
Little2024	Uninvestigated	5977	32.64	19.39	5.0	95.0	50.3	T1w MRI;T2w MRI	New	HCP Young Adult;OpenBHB;OASIS-3;Cam-CAN;Newcastle University healthy adults (NCL);BLISS local healthy controls included for harmonization	Bipolar Disorder (BD)
Giacomel2025	Uninvestigated	43	29.0	8.22				PET	New	FDOPA_HC01, FDOPA_HC02, FDOPA_01, FDOPA_02, FDOPA_03, FDOPA_04	Schizophrenia (SCZ);First-Episode Psychosis (FEP)
Feng2024	Uninvestigated	198						Others;dMRI	Pre-trained	TractoInferno	Alzheimer's Disease (AD);Mild Cognitive Impairment (MCI)
Fang2025	Uninvestigated	1104	36.15	24.55			58.1	Others	New	REST-meta-MDD	Major Depressive Disorder (MDD);Schizophrenia (SCZ)
Janahi2022	Uninvestigated	35686			44.0	82.0	47.2	Others;T1w MRI	New	UK Biobank	Alzheimer's Disease (AD);Mild Cognitive Impairment (MCI)
Jing2023	Uninvestigated	91	32.49	11.79			28.6	fMRI	New		Major Depressive Disorder (MDD)
VillalonReina2024	Train	54583			4.0	91.0	52.5	Others;dMRI	New	ABCD;AOMIC;Cam-CAN;CHBMP;CHCP;HCP Aging;HCP Development;HCP Young Adult;PedsDTI;PING;PNC;QTAB;QTIM;SLIM;UK Biobank;ADNI3 (HC);OASIS-3;PPMI (HC);HBN (HC)	Mild Cognitive Impairment (MCI);Alzheimer's Disease (AD);22q11.2 Deletion Syndrome (22qDel)
VillalonReina2024	Uninvestigated	54583			4.0	91.0	52.5	Others;dMRI	New	ABCD;AOMIC;Cam-CAN;CHBMP;CHCP;HCP Aging;HCP Development;HCP Young Adult;PedsDTI;PING;PNC;QTAB;QTIM;SLIM;UK Biobank;ADNI3 (HC);OASIS-3;PPMI (HC);HBN (HC)	Mild Cognitive Impairment (MCI);Alzheimer's Disease (AD);22q11.2 Deletion Syndrome (22qDel)
VillalonReina2024	Overall	54583			4.0	91.0	52.5	Others;dMRI	New	ABCD;AOMIC;Cam-CAN;CHBMP;CHCP;HCP Aging;HCP Development;HCP Young Adult;PedsDTI;PING;PNC;QTAB;QTIM;SLIM;UK Biobank;ADNI3 (HC);OASIS-3;PPMI (HC);HBN (HC)	Mild Cognitive Impairment (MCI);Alzheimer's Disease (AD);22q11.2 Deletion Syndrome (22qDel)
Sun2025	Uninvestigated	822	35.045	13.336	18.0	65.0	59.7	fMRI	New	REST-meta-MDD	Major Depressive Disorder (MDD)
Loreto2024	Uninvestigated	33072	49.0					T1w MRI	Pre-trained	Multi-site aggregated dataset (ABCD;Cam-CAN;CNP;FCON-1000;HCP;OASIS-3;PNC;TOP;UK Biobank). Site-matched adaptation dataset (n=20) from ICHT.	Alzheimer's Disease (AD)
Rutherford2023	Train	11889			2.0	100.0	50.7	T1w MRI;fMRI	Pre-trained	Cam-CAN;UK Biobank	Schizophrenia (SCZ)
Rutherford2023	Uninvestigated	22000	39.85	7.94	2.0	100.0	50.7	T1w MRI;fMRI	Pre-trained	Cam-CAN;UK Biobank	Schizophrenia (SCZ)
Rutherford2023	Overall	22000	39.85	7.94	2.0	100.0	50.7	T1w MRI;fMRI	Pre-trained	Cam-CAN;UK Biobank	Schizophrenia (SCZ)
Lv2021	Uninvestigated	195	40.3	14.0	18.0	65.0	50.3	T1w MRI;dMRI	New	Australian Schizophrenia Research Bank (ASRB)	Schizophrenia (SCZ);Schizoaffective Disorder (SAD)
Martin2025	Uninvestigated	6909	55.0	20.0	18.0	100.0	56.8	T1w MRI	Pre-trained		Cannabis Use Disorder (CUD)
Haukvik2025	Uninvestigated	29418	46.9	24.4	2.0	100.0	51.1	Others;T1w MRI	Pre-trained	Rutherford2022	Schizophrenia (SCZ)
Ilioska2024	Uninvestigated	1028	15.95	6.9	5.0	56.0	24.9	T1w MRI;fMRI	New	EU-AIMS LEAP;ABIDE I;ABIDE II	Autism Spectrum Disorder (ASD)
Pinaya2019	Uninvestigated	1113	28.8	3.7	22.0	37.0	56.0	T1w MRI	New	HCP Young Adult	Schizophrenia (SCZ);Autism Spectrum Disorder (ASD)
Lamsma2024	Uninvestigated	2718					51.0	T1w MRI;dMRI	New	Multi-site aggregated dataset (ENIGMA Schizophrenia Working Group: 20 sites from 13 countries including COBRE, ESO, FIDMAG, FOR2107, GAP, IGP, IMH, JBNU, MCIC, Montreal, MPRC, NU, Olin, RomeSL, RSCZ, SNUH, UCISZ, UMCU, UNINA, Zürich)	Schizophrenia (SCZ)
Lamsma2024	Overall	1461					51.0	T1w MRI;dMRI	New	Multi-site aggregated dataset (ENIGMA Schizophrenia Working Group: 20 sites from 13 countries including COBRE, ESO, FIDMAG, FOR2107, GAP, IGP, IMH, JBNU, MCIC, Montreal, MPRC, NU, Olin, RomeSL, RSCZ, SNUH, UCISZ, UMCU, UNINA, Zürich)	Schizophrenia (SCZ)
Tabbal2025	Train	400					54.0	EEG	New	Multi-site aggregated dataset;14 datasets including: Dataset 1 (OpenNeuro AHEPA AD), Dataset 2 (OSF TUM Chronic Pain), Dataset 3 (BASEL), Dataset 4 (OpenNeuro UNM PD), Dataset 5 (CREAPARK), Dataset 6 (turkeyAD), Dataset 7 (turkeyPDAD), Dataset 8 (lebAD2017), Dataset 9 (lebAD2019), Dataset 10 (University of Marseille HC), Dataset 11 (OSF University Hospital of Turku PD), Dataset 12 (NEMAR Wadsworth Center HC), Dataset 13 (OpenNeuro SRM), Dataset 14 (Zenodo Denmark Impaired Hearing)	Parkinson's Disease (PD);Alzheimer's Disease (AD)
Tabbal2025	Overall	499	92.0	16.51	40.0		54.0	EEG	New	Multi-site aggregated dataset;14 datasets including: Dataset 1 (OpenNeuro AHEPA AD), Dataset 2 (OSF TUM Chronic Pain), Dataset 3 (BASEL), Dataset 4 (OpenNeuro UNM PD), Dataset 5 (CREAPARK), Dataset 6 (turkeyAD), Dataset 7 (turkeyPDAD), Dataset 8 (lebAD2017), Dataset 9 (lebAD2019), Dataset 10 (University of Marseille HC), Dataset 11 (OSF University Hospital of Turku PD), Dataset 12 (NEMAR Wadsworth Center HC), Dataset 13 (OpenNeuro SRM), Dataset 14 (Zenodo Denmark Impaired Hearing)	Parkinson's Disease (PD);Alzheimer's Disease (AD)
Pinaya2021	Uninvestigated	11034	61.6	7.0	47.0	73.0	53.0	T1w MRI	New	UK Biobank	Alzheimer's Disease (AD);Mild Cognitive Impairment (MCI);Early Mild Cognitive Impairment (EMCI);Late Mild Cognitive Impairment (LMCI)
Wu2023	Uninvestigated	490	37.06	14.42			63.1	T1w MRI	New	REST-meta-MDD	Major Depressive Disorder (MDD)
Zhang2022	Uninvestigated	51	42.6	9.7			52.9	T1w MRI;T2w MRI	New	Local single-site cohort (Beijing Tiantan Hospital)	Frontal Lobe Glioma
GarciaSanMartin2025	Uninvestigated	38696					49.9	T1w MRI;T2w MRI	Pre-trained		Schizophrenia (SCZ);Schizoaffective Disorder (SAD);First-Episode Psychosis (FEP);Psychotic Experiences (PE;Suspected/Definite/Clinical)
Janssen2024	Uninvestigated	4310	41.33	21.45				T1w MRI	New		Schizophrenia (SCZ)
Georgiadis2024	Uninvestigated	56545	56.26	8.13			54.8	Others	New	UK Biobank	Schizophrenia (SCZ);Bipolar Disorder (BD);Major Depressive Disorder (MDD)
Fraza2023	Uninvestigated	19620	60.97	8.72	44.0			T1w MRI;dMRI;fMRI	New	Cam-CAN;HCP;OASIS;PNC;UK Biobank	Pathogenic copy number variant (CNV) carrier status (e.g., 1q21.1 deletion;1q21.1 duplication;Others)
Meijer2024	Uninvestigated	744	16.58	8.96	5.9	64.0	0.0	T1w MRI	New	ABIDE I;ABIDE II	Autism Spectrum Disorder (ASD)
Lee2025	Uninvestigated	652	14.44	4.06	5.0	21.0	53.8	T1w MRI;fMRI	New	HCP Development	Autism Spectrum Disorder (ASD)
Leiberg2023	Uninvestigated	924					60.8	T1w MRI	New		Temporal Lobe Epilepsy (TLE)
Verdi2023	Uninvestigated	33072			6.0	100.0	50.9	T1w MRI	Pre-trained	ABCD;Cam-CAN;CMI;CNP;FCON;HCP;HCPAG;HCPDV;HCP Early Psychosis;IXI;NKI-Rockland;OASIS-3;OPN;PNC;TOP;UK Biobank	Alzheimer's Disease (AD);Mild Cognitive Impairment (MCI)
Joo2024	Uninvestigated	420	36.7	11.3			41.4	T1w MRI	New	AMC;JNUH;COBRE;NMorphCH;MCIC;fBIRN;UCLA	Schizophrenia (SCZ)
Floris2024	Uninvestigated	105	18.3	4.87	10.37	30.9	32.4	EEG;T1w MRI;fMRI	New	EU-AIMS LEAP	Autism Spectrum Disorder (ASD)
Jia2024	Uninvestigated	849	11.44	3.3	4.0	18.0	43.8	T1w MRI	New	Locally recruited children (Beijing);fcon_1000.projects dataset (IPCAS7);Child Connectome Project (CCNP);Children's Hospital Guangzhou	Brainstem Tumors;Diffuse Intrinsic Pontine Glioma (DIPG)
Huo2024	Uninvestigated	644	54.8	18.5			50.8	T1w MRI;fMRI	New		Alzheimer's Disease (AD);Mild Cognitive Impairment (MCI)
FukamiGartner2023	Uninvestigated	493			0.603	0.866	49.3	T1w MRI	New		Down syndrome (Trisomy 21)
Han2024B	Uninvestigated	1079	33.96	19.25			56.8	fMRI	New	DIDA-MDD	Major Depressive Disorder (MDD)
Kumar2024	Uninvestigated	248						Others;PET;T1w MRI	New		Alzheimer's Disease (AD)
Kia2022	Uninvestigated	36019			6.0	100.0	50.9	T1w MRI	New	ABCD;Cam-CAN;CMI;CNP;FCON;HCP;HCPAG;HCPDV;HCP Early Psychosis;IXI;NKI-Rockland;OASIS-3;OPN;PNC;TOP;UK Biobank	Attention-Deficit/Hyperactivity Disorder (ADHD);Schizophrenia (SCZ);Bipolar Disorder (BD);Major Depressive Disorder (MDD);Early Psychosis (EP);Mild Cognitive Impairment (MCI);Dementia (DM)
Berthet2025	Uninvestigated	218	33.9	10.1			42.6	T1w MRI	New	TOP study;Multi-site aggregated dataset for normative modeling	Schizophrenia (SCZ)
Kobbersmed2025	Uninvestigated	32000			44.56	85.43		Others;fMRI	New	UK Biobank	Bipolar Disorder (BD);Parkinson's Disease (PD)
settings	Uninvestigated							Others			
Looden2022	Uninvestigated	221	17.0	5.5	6.9	29.8	36.2	Others;T1w MRI;fMRI	New	EU-AIMS LEAP	Autism Spectrum Disorder (ASD)
Mansour2025	Uninvestigated	1978	34.26	19.97	5.0	100.0	54.7	T1w MRI	New	HCP Young Adult;HCP Aging;HCP Development	Alzheimer's Disease (AD);Mild Cognitive Impairment (MCI)
Lin2024	Uninvestigated	652	54.9	18.6			50.6	fMRI	New	Cam-CAN	Schizophrenia (SCZ)
Shao2024	Uninvestigated	739		10.31	18.0	65.0	62.0	T1w MRI	New	Human Connectome Project (HCP);REST-meta-MDD	Major Depressive Disorder (MDD)
Shao2024	Overall	739		10.31	18.0	65.0	62.0	T1w MRI	New	Human Connectome Project (HCP);REST-meta-MDD	Major Depressive Disorder (MDD)
Jiang2024	Uninvestigated	642	15.34	8.033	5.0	40.0		fMRI	New	ABIDE (Autism Brain Imaging Data Exchange)	Autism Spectrum Disorder (ASD)
Laidi2022	Uninvestigated	219	17.0	5.0	6.0	30.0	36.1	T1w MRI	New	EU-AIMS LEAP	Autism Spectrum Disorder (ASD)
Parkes2021	Uninvestigated	281	14.79	3.97			48.0	T1w MRI	New	Philadelphia Neurodevelopmental Cohort (PNC)	Depression;Attention-Deficit/Hyperactivity Disorder (ADHD)
Mao2025	Uninvestigated	295			1.0	6.0	46.8	T1w MRI	New	Zhejiang Children's Hospital pediatric cohort (single-site)	Autism Spectrum Disorder (ASD)
Han2023	Uninvestigated	130	20.05	5.33			54.6	T1w MRI	New	Single-site cohort (First Affiliated Hospital of Zhengzhou University)	Obsessive-Compulsive Disorder (OCD)
Wen2025	Uninvestigated	106	23.09	5.63			50.0	T1w MRI	New	Local Community Cohort;Southwest University Adult Lifespan Dataset	Obsessive-Compulsive Disorder (OCD)
Vieira2025	Uninvestigated	3362			20.0	80.0	56.3	T1w MRI	New	HCP Young Adult;HCP Aging;UK Biobank;IXI	Alzheimer's Disease (AD);Schizophrenia (SCZ)
Feng2025	Uninvestigated	198						Others;dMRI	Pre-trained	TractoInferno	Mild Cognitive Impairment (MCI);Dementia;Alzheimer's Disease (AD)
Ji2023	Uninvestigated	797			18.0	45.0	51.6	T1w MRI;fMRI	New	Single-center hospital dataset (Hefei, China;University of Science and Technology of China / Anhui Medical University)	Schizophrenia (SCZ)
Zhang2023	Uninvestigated	1146	15.98	8.62	5.89	64.0	24.3	Others;T1w MRI	New	ABIDE I;ABIDE II	Autism Spectrum Disorder (ASD)
Kasper2024	Uninvestigated	25917	64.03	7.5	44.58	81.98	54.0	T1w MRI;fMRI	New	UK Biobank	Parkinson's Disease (PD)
Wolfers2018	Uninvestigated	256	34.0	9.5	18.0	59.0	45.3	T1w MRI	New	TOP	Schizophrenia (SCZ);Bipolar Disorder (BD)
Worker2023	Uninvestigated	36019			6.0	100.0	50.9	T1w MRI	Pre-trained	ABCD;Cam-CAN;CMI;CNP;FCON;HCP;HCPAG;HCPDV;HCP Early Psychosis;IXI;NKI-Rockland;OASIS-3;OPN;PNC;TOP;UK Biobank	First-Episode Psychosis (FEP)
Wolfers2020	Uninvestigated	146	35.43	12.01			56.2	T1w MRI	New	IMpACT (Dutch cohort)	Attention-Deficit/Hyperactivity Disorder (ADHD)
Zabihi2019	Uninvestigated	206	17.14	5.97	7.0	31.0	38.3	T1w MRI	New	EU-AIMS LEAP	Autism Spectrum Disorder (ASD)
Tong2024	Uninvestigated	154			18.0	25.0	48.1	EEG	New	EMBARC;Depression-EEG;LEMON	Major Depressive Disorder (MDD)
Tong2024	Overall	154			18.0	25.0	48.1	EEG	New	EMBARC;Depression-EEG;LEMON	Major Depressive Disorder (MDD)
Huang2024	Uninvestigated	1952	34.5	19.9	5.6	100.0	55.0	T1w MRI	New	HCP Young Adult;HCP Development;HCP Aging	Schizophrenia (SCZ)
Kim2024	Uninvestigated	27117	54.36	20.31	3.0	85.0	54.0	T1w MRI	Pre-trained	Same as Kia2023	Autism Spectrum Disorder (ASD);Bipolar Disorder (BD);Schizophrenia (SCZ);Mild Cognitive Impairment (MCI);Alzheimer's Disease (AD)
Sampaio2025	Uninvestigated	1109	28.81	3.69	22.0	37.0	54.5	T1w MRI	New	HCP Young Adult	Bipolar Disorder (BD)
Little2025	Uninvestigated	3276			5.0	95.0	58.3	T1w MRI	Yes	Multi-site aggregated dataset;representative: ADHD1000;BLISS;Cam-CAN;Chronotype;Greene-HM;HCP;MEGUK (multiple sites);NCL-dementia;NIMH-IHV;NKI-Rockland;OASIS-3;Stanford-CR;UCLH	Mesial Temporal Lobe Epilepsy (mTLE);Bipolar Disorder (BD)
Holz2023	Uninvestigated	129	13.64	2.53	8.0	18.0		T1w MRI;fMRI	New	EU-funded Aggressotype and MATRICS consortia	Disruptive Behavior Disorders (DBD: ODD and/or CD)
Jia2025	Uninvestigated	849						T1w MRI	New	Locally recruited in Beijing;fcon_1000 projects dataset;Child Connectome Project (devCCNP);Guangzhou Women and Children's Medical Center	Diffuse Intrinsic Pontine Glioma (DIPG)
DeMeo2019	Uninvestigated	343	11.15	3.71	4.2	22.3	52.8	Others	New	NIH-funded MRI Study of Normal Brain Development;Hospital San Raffaele (HSR)	Multiple Sclerosis (MS)
Wolfers2021	Train	230		9.5			45.3	T1w MRI	Pre-trained	TOP	Schizophrenia (SCZ);Bipolar Disorder (BD)
Wolfers2021	Uninvestigated	230		9.5			45.3	T1w MRI	Pre-trained	TOP	Schizophrenia (SCZ);Bipolar Disorder (BD)
Segal2025	Uninvestigated	1465		10.7	18.0	64.0	45.5	T1w MRI	New	Multi-site aggregated dataset: ABIDE I;ABIDE II;MITASD;WASHASD;IMpACT-NL;FEMS;TOP15;KANMDD;RUSMDD;YoDa;OCDPG;SPAINOCD;ASRB;MON	Attention-Deficit/Hyperactivity Disorder (ADHD);Autism Spectrum Disorder (ASD);Bipolar Disorder (BD);Major Depressive Disorder (MDD);Obsessive-Compulsive Disorder (OCD);Schizophrenia (SCZ)
Segal2025	Overall	1465		10.7	18.0	64.0	45.5	T1w MRI	New	Multi-site aggregated dataset: ABIDE I;ABIDE II;MITASD;WASHASD;IMpACT-NL;FEMS;TOP15;KANMDD;RUSMDD;YoDa;OCDPG;SPAINOCD;ASRB;MON	Attention-Deficit/Hyperactivity Disorder (ADHD);Autism Spectrum Disorder (ASD);Bipolar Disorder (BD);Major Depressive Disorder (MDD);Obsessive-Compulsive Disorder (OCD);Schizophrenia (SCZ)
Ge2024	Uninvestigated	37407	39.88	23.47	3.0	90.0	53.4	T1w MRI	New	Multi-site aggregated dataset (87 datasets;ENIGMA Lifespan WG and collaborators)	Early Psychosis (PSYCHOSIS)
Janssen2021	Train	164		11.65	16.0	70.0	23.0	T1w MRI	New	Utrecht Schizophrenia Project;Genetic Risk and Outcome of Psychosis (GROUP) consortium	Schizophrenia (SCZ)
Janssen2021	Follow-up	164		11.88	40.0	74.0	23.0	T1w MRI	New	Utrecht Schizophrenia Project;Genetic Risk and Outcome of Psychosis (GROUP) consortium	Schizophrenia (SCZ)
Janssen2021	Uninvestigated	164		11.65	16.0	70.0	23.0	T1w MRI	New	Utrecht Schizophrenia Project;Genetic Risk and Outcome of Psychosis (GROUP) consortium	Schizophrenia (SCZ)
Janssen2021	Baseline	164		11.65	16.0	70.0	23.0	T1w MRI	New	Utrecht Schizophrenia Project;Genetic Risk and Outcome of Psychosis (GROUP) consortium	Schizophrenia (SCZ)
Ma2024	Uninvestigated	665	21.65	3.04	19.0	35.0	0.0	T1w MRI	New		Internet Gaming Disorder (IGD);Tobacco Use Disorder (TUD)
DiBiase2022	Uninvestigated	1127	28.5				53.0	T1w MRI	New	Human Connectome Project-Young Adult Sample;HCP Early Psychosis;Australian Schizophrenia Research Bank (ASRB)	Schizophrenia (SCZ)
