Baldwin2022	ENIGMA-CHR-P
Bayer2022	ABIDE
Bedford2025	ABIDE (I+II), HBN, ADHD-200, femaleASD, SINGLE-SITE, None (Pre-Trained NM)
Berthet2025	MULTI-DATASET (UNSPECIFIED OR N>=10)
Bethlehem2020	ABIDE (I+II)
Bethlehem2021	MULTI-DATASET (UNSPECIFIED OR N>=10)
Bhome2024	None (Pre-Trained NM), NACC, SINGLE-SITE
CardenasDeLaParra2019	NIHPD, EU, SVIP
Chan2025A	ABIDE (I+II)
Chan2025B	ABRIM, PPP
Chien2022	SINGLE-SITE
Cirstian2024	HCP-B, HCP-D, HCP-YA, HCP-A, UK Biobank
Coupe2022	ABIDE, IXI, OASIS-1, ADNI, AIBL, MIRIAD, NIHPD, MULTI-SITE (N>=2)
DeMeo2019	NIHPD, SINGLE-SITE
DiBiase2022	[   "HCP-YA",   "HCP-EP", ]
Ebadi2024	HBN, MIPDB, ABCCT, femaleASD, Lausanne-ASD
Echave2024	ABIDE-I, ABIDE-II, GSP, COBRE, Utrecht, Cam-CAN, IXI, OASIS-1, NKI, MULTI-SITE (N>=2)
Elad2021	MULTI-SITE (N>=2)
Fang2024	UCLA-LA5c, SINGLE-SITE
Fang2025	REST-meta-MDD, COBRE
Feng2024	TractoInferno, NIMHANS
Feng2025	ADNI-3, NIMHANS, TractoInferno
Floris2021	LEAP, ABIDE (I+II)
Floris2024	LEAP
Fraza2024	UK Biobank, Cam-CAN, HCP, OASIS-3, PNC
FukamiGartner2023	HCP-D
GarciaSanMartin2025	None (Pre-Trained NM)
Ge2024	ABCD, ABIDE-I, ABIDE-II, ADHD-200, ADNI, Cam-CAN, ENIGMA, GSP, HBN, HCP-A, HCP-D, HCP-YA, MCIC, NKI, STROKEMRI, UK Biobank, HCP-EP, MULTI-DATASET (NOT ALL PRESENTED)
Geng2025	SAED
Georgiadis2024	UK Biobank
Giacomel2025	MULTI-SITE (N>=2)
Gimbel2025	None (Pre-Trained NM)
Gordaliza2024	None (Pre-Trained NM)
Haas2024	None (Pre-Trained NM)
Han2023	SINGLE-SITE
Han2024A	SINGLE-SITE
Han2024B	DIDA-MDD, REST-meta-MDD
Haukvik2025	None (Pre-Trained NM)
Holz2023	Aggressotype and MATRICS
Hua2025	SINGLE-SITE, HCP-EP
Huang2024	HCP-D, HCP-YA, HCP-A
Huo2024	Cam-CAN
Ilioska2024	LEAP, ABIDE-I, ABIDE-II
Italinna2023	Cam-CAN
Jalbrzikowski2019	PNC, MULTI-SITE (N>=2)
Janahi2022	UK Biobank
Janssen2021	Utrecht, GROUP
Janssen2024	MULTI-SITE (N>=2), Cam-CAN, IXI, OASIS-3, NKI, GROUP
Ji2023	SINGLE-SITE
Jia2024	FCON, devCCNP, MULTI-SITE (N>=2)
Jia2025	devCCNP, FCON, MULTI-SITE (N>=2)
Jiang2024	ABIDE
Jing2023	IBCDR
Joo2024	COBRE, MCIC, UCLA-LA5c, MULTI-SITE (N>=2)
Kasper2024	UK Biobank
Kia2022	ABCD, Cam-CAN, HBN, FCON, HCP-YA, HCP-A, HCP-D, IXI, NKI, PNC, UK Biobank, MULTI-DATASET (UNSPECIFIED)
Kim2023	ABIDE (I+II), ADHD-200, ADNI, AIBL, DEMGEN, TOP, UK Biobank, HCP, HBN, NKI, OASIS-3, PNC, Cam-CAN, FCON, LEMON, MULTI-DATASET (UNSPECIFIED OR N>=10)
Kim2025	MULTI-DATASET (UNSPECIFIED)
Kobbersmed2025	UK Biobank
Kumar2024	ADNI
Kumar2025	ADNI, Knight ADRC-ADS
Laidi2022	LEAP
Lamsma2024	ENIGMA, COBRE, MCIC, Utrecht
Lawn2024	Cam-CAN, UCLA-LA5c
Lee2025	HCP-D
Leenings2024	NAKO
Leiberg2023	NKI
Lin2023	IBCDR
Lin2024	Cam-CAN
Little2024	HCP-YA, OpenBHB, OASIS-3, Cam-CAN, SINGLE-SITE
Little2025	BLISS, Cam-CAN, HCP, NKI, OASIS-3, UCL
Liu2024	SINGLE-SITE
Looden2022	LEAP
Loreto2024	ABCD, Cam-CAN, UCLA-LA5c, FCON, HCP, OASIS-3, PNC, TOP, UK Biobank
Lv2021	ASRB
Ma2024	GSP
Mansour2025	HCP-D, HCP-YA, HCP-A
Mao2025	SINGLE-SITE
Martin2025	None (Pre-Trained NM)
Meijer2024	ABIDE (I+II)
Mendes2024	ABCD
OliveiraSaraiva2023	FCON, UCLA-LA5c, COBRE
Parkes2021	PNC
Pinaya2019	HCP, NUSDAST, ABIDE-I
Pinaya2021	UK Biobank, ADNI, AIBL, ARWiBo, OASIS-1, MIRIAD
RehakBuckova2025	None (Pre-Trained NM), Early Stages of Schizophrenia
Remiszewski2022	None (Pre-Trained NM), SINGLE-SITE
Romascano2024	OASIS-3
Rutherford2022	ABCD, ABIDE, ADHD-200, Cam-CAN, HBN, CNP, HCP-A, HCP-D, HCP-EP, HCP-YA, IXI, NKI, OASIS-3, PNC, UK Biobank, UMich, TOP, CNP, MULTI-SITE (N>=2)
Rutherford2023	ABCD, Cam-CAN, HBN, CNP, HCP-A, HCP-D, HCP-EP, HCP-YA, NKI, OASIS-3, PNC, TOP, UK Biobank, COBRE, UMich, IXI
Sampaio2025	HCP-YA, StratiBip
Savage2024	HCP-YA, HCP-D, UK Biobank, MIND-Set, AOMIC PIOP2, Duke Neurogenetics Study
Segal2023	ABIDE-I, ABIDE-II, ASRB, IMpACT, TOP, HCP
Segal2025	ABIDE-I, ABIDE-II, IMpACT, ASRB, TOP, HCP, MULTI-DATASET (UNSPECIFIED OR N>=10)
Shan2022	ABIDE-I, ABIDE-II
Shao2024	HCP, REST-meta-MDD, MULTI-SITE (N>=2)
Sun2023	DIDA-MDD
Sun2025	REST-meta-MDD
Tabbal2025	MULTI-DATASET (UNSPECIFIED OR N>=10)
Thukral2024	None (Pre-Trained NM)
Tong2024	EMBARC, Depression-EEG, LEMON
Verdi2023	OASIS-1, ABCD, UK Biobank
Verdi2024	ABCD, UK Biobank, OASIS-1, OASIS-3, ADNI, ADNI-3, MULTI-DATASET (UNSPECIFIED OR N>=10)
Vieira2025	HCP-YA, HCP-A, UK Biobank, IXI, AIBL, MCIC, COBRE
VillalonReina2024	ABCD, AOMIC, Cam-CAN, CHBMP, CHCP, HCP-A, HCP-D, HCP-YA, UCLA-LA5c, NIHPD, PING, PPMI, QTAB, QTIM, SLIM, UK Biobank, ADNI-3, HBN, OASIS-3
Wang2023	ABIDE-I, ABIDE-II, KQJH
Wen2025	SINGLE-SITE
Wolfers2018	TOP
Wolfers2020	IMpACT
Wolfers2021	TOP
Worker2023	None (Pre-Trained NM)
Wu2023	REST-meta-MDD
Wu2024	REST-meta-MDD
Xiao2024	MULTI-SITE (N>=2)
Yang2025	devCCNP, SINGLE-SITE
Young2024	HCP-D, HCP-EP, HCP-YA, UCLA-LA5c, SINGLE-SITE, HCP-A, ADNI
Yu2024	ABIDE (I+II), HCP-B, devCCNP, HBN, HCP-D, MULTI-DATASET (NOT ALL PRESENTED)
Zabihi2019	LEAP
Zabihi2020	LEAP
Zhang2022	SINGLE-SITE
Zhang2023	ABIDE (I+II)
Zheng2024	SINGLE-SITE
