authorYear	doi	pub_year	pub_month
Baldwin2022	10.1038/s41398-022-02057-y	2022	7
Bayer2022	10.1101/2021.02.09.430363	2021	2
Bedford2025	10.1016/j.biopsych.2024.07.024	2025	3
Bethlehem2020	10.1038/s42003-020-01212-9	2020	9
Bethlehem2021	10.1038/s41586-022-04554-y	2022	4
Bhome2024	10.1016/j.nicl.2024.103596	2024	
CardenasDeLaParra2019	10.1016/j.neuroimage.2019.116155	2019	12
Chan2025A	10.1016/j.dcn.2024.101483	2025	1
Chan2025B	10.1162/imag_a_00456	2025	2
Chien2022	10.1038/s41380-022-01636-1	2022	8
DeMeo2019	10.1212/WNL.0000000000007267	2019	4
DiBiase2022	10.1038/s41380-022-01460-7	2022	4
Ebadi2024	10.1038/s41398-025-03441-0	2025	7
Echave2024	10.1101/2024.11.06.24316751	2024	11
Elad2021	10.1002/hbm.25574	2021	10
Fang2024	10.1016/j.jad.2024.08.102	2024	11
Fang2025	10.1038/s41398-025-03268-9	2025	2
Floris2021	10.1016/j.bpsc.2020.08.008	2021	8
Floris2024	10.1038/s44220-024-00349-4	2025	1
Fraza2023	10.1038/s44220-024-00322-1	2024	11
GarciaSanMartin2025	10.1038/s41380-024-02724-0	2025	4
Geng2025	10.1038/s41380-025-02890-9	2025	7
Georgiadis2024	10.1101/2024.06.11.24308654	2024	6
Giacomel2025	10.1038/s41380-025-02938-w	2025	8
Gimbel2025	10.1016/j.nicl.2024.103722	2025	
Gordaliza2024	10.1007/978-3-031-84525-3_4	2025	
Haas2024	10.1001/jamapsychiatry.2023.3850	2024	1
Han2024A	10.1017/S0033291723003161	2024	5
Han2024B	10.1017/S0033291724002617	2024	11
Haukvik2025	10.1038/s41398-025-03343-1	2025	4
Holz2023	10.1017/S003329172200068X	2023	7
Hua2025	10.1016/j.bpsc.2024.06.001	2025	6
Huang2024	10.1038/s41386-024-01837-y	2024	9
Huo2024	10.1016/j.biopsych.2024.05.025	2025	6
Ilioska2024	10.1101/2024.10.20.24315248	2024	10
Italinna2023	10.1371/journal.pcbi.1011613	2023	11
Jalbrzikowski2019	10.1176/appi.ajp.2018.18040443	2019	3
Janahi2022	10.7554/eLife.78232	2022	8
Janssen2024	10.1038/s41537-025-00612-2	2025	4
Jia2024	10.1038/s43856-025-00810-0	2025	3
Jiang2024	10.1017/S0033291724000138	2024	7
Joo2024	10.1017/S0033291723001988	2024	1
Kasper2024	10.1016/j.bpsc.2024.04.010	2024	10
Kia2022	10.1371/journal.pone.0278776	2022	12
Kim2023	10.1038/s44220-024-00297-z	2024	8
Kim2024	10.1016/j.bpsgos.2025.100541	2025	9
Kobbersmed2025	10.1101/2025.01.13.632752	2025	1
Kumar2025	10.1002/alz.70143	2025	4
Laidi2022	10.1016/j.biopsych.2022.05.020	2022	10
Lamsma2024	10.1101/2024.02.04.24302268	2024	2
Lawn2024	10.1038/s42003-024-06391-3	2024	6
Lee2025	10.1186/s13229-025-00641-9	2025	3
Leenings2024	10.1101/2024.12.24.24319598	2024	12
Leiberg2023	10.1016/j.cortex.2023.04.018	2023	9
Lin2023	10.1016/j.jad.2023.01.109	2023	4
Little2024	10.1111/bdi.13484	2024	9
Little2025	10.1162/imag_a_00438	2025	1
Liu2024	10.1016/j.pnpbp.2024.111122	2024	12
Looden2022	10.1186/s13229-022-00529-y	2022	12
Lv2021	10.1038/s41380-020-00882-5	2021	7
Ma2024	10.1556/2006.2024.00044	2024	10
Mansour2025	10.1101/2025.01.16.25320639	2025	1
Mao2025	10.1016/j.dcn.2025.101605	2025	10
Martin2025	10.1016/j.dadr.2025.100318	2025	3
Meijer2024	10.1037/abn0000914	2024	11
Mendes2024	10.1162/imag_a_00204	2024	6
OliveiraSaraiva2023	10.3389/fpsyt.2023.1068397	2023	2
Parkes2021	10.1038/s41398-021-01342-6	2021	4
Pinaya2021	10.1038/s41598-021-95098-0	2021	8
Remiszewski2022	10.1001/jamapsychiatry.2022.3010	2022	11
Romascano2024	10.1016/j.nicl.2024.103624	2024	
Rutherford2023	10.7554/eLife.85082	2023	3
Sampaio2025	10.1016/j.artmed.2024.103063	2025	3
Savage2024	10.1038/s42003-024-06573-z	2024	7
Segal2023	10.1038/s41593-023-01404-6	2023	9
Segal2025	10.1016/j.bpsc.2025.03.014	2025	4
Shan2022	10.1016/j.biopsych.2022.01.011	2022	6
Shao2024	10.1016/j.biopsych.2023.08.005	2024	3
Sun2023	10.1016/j.biopsych.2023.05.021	2023	12
Sun2025	10.1016/j.jad.2025.02.033	2025	5
Tabbal2025	10.1038/s41531-025-00957-6	2025	5
Thukral2024	10.1101/2024.08.23.24312480	2024	8
Tong2024	10.1016/j.jad.2024.01.177	2024	4
Verdi2023	10.1212/WNL.0000000000207298	2023	6
Vieira2025	10.1038/s41398-025-03290-x	2025	2
VillalonReina2024	10.1101/2024.12.15.628527	2024	12
Wang2023	10.1101/2023.06.26.546426	2023	6
Wen2025	10.1038/s41398-025-03226-5	2025	1
Wolfers2018	10.1001/jamapsychiatry.2018.2467	2018	11
Wolfers2020	10.1017/S0033291719000084	2020	1
Wolfers2021	10.1002/hbm.25386	2021	6
