MethodCategory,NumStudies,Studies
Gaussian Process Regression (GPR),31,Bayer2022; Chan2025B; Fang2024; Floris2021; FukamiGartner2023; Geng2025; Han2023; Han2024A; Han2024B; Holz2023; Huo2024; Ilioska2024; Janahi2022; Jia2024; Jia2025; Laidi2022; Liu2024; Looden2022; Ma2024; Parkes2021; Shan2022; Sun2023; Thukral2024; Wen2025; Wolfers2018; Wolfers2020; Wolfers2021; Xiao2024; Yu2024; Zabihi2019; Zabihi2020
Other/Specialized,30,Chien2022; Elad2021; Fang2025; Giacomel2025; Gimbel2025; Gordaliza2024; Hua2025; Huang2024; Huo2024; Italinna2023; Janssen2021; Ji2023; Jing2023; Kasper2024; Kim2023; Kim2024; Kobbersmed2025; Kumar2024; Lamsma2024; Leenings2024; Little2025; Looden2022; Martin2025; Parkes2021; Sun2023; Thukral2024; Tong2024; Worker2023; Zhang2022; Zhang2023
Warped Bayesian Linear Regression (wBLR),16,Bhome2024; Cirstian2024; Echave2024; Fraza2023; Haukvik2025; Janssen2024; Kasper2024; Kim2023; Kim2024; Lamsma2024; Meijer2024; RehakBuckova2025; Rutherford2022; Rutherford2023; Segal2025; Verdi2024
GAMLSS,15,Bedford2025; Bethlehem2021; Ebadi2024; GarciaSanMartin2025; Ge2024; Georgiadis2024; Huang2024; Lee2025; Leiberg2023; Little2025; Mao2025; Remiszewski2022; Tabbal2025; Wang2023; Young2024
Hierarchical Bayesian Regression (HBR),12,Berthet2025; Kia2022; Lawn2024; Loreto2024; Mansour2025; Segal2023; Sun2025; Verdi2023; VillalonReina2024; Worker2023; Wu2023; Wu2024
Polynomial Regression,11,Bethlehem2020; Coupe2022; Ge2024; Gordaliza2024; Haas2024; Jiang2024; Jing2023; Lin2023; Romascano2024; Yang2025; Zhang2023
Deep Learning Methods,11,Feng2024; Feng2025; Kumar2024; Kumar2025; Mendes2024; OliveiraSaraiva2023; Pinaya2019; Pinaya2021; Sampaio2025; Tong2024; Vieira2025
Bayesian Linear Regression (BLR),6,Echave2024; Floris2024; Giacomel2025; Kasper2024; Savage2024; Shao2024
GAM/GAMM,4,Chan2025A; Janssen2021; Leiberg2023; Little2024
Quantile Regression,4,DiBiase2022; Lin2024; Lv2021; Zheng2024
Linear Mixed-Effects Models,3,CardenasDeLaParra2019; DeMeo2019; Jalbrzikowski2019
Similarity-Based Methods,2,Baldwin2022; Joo2024
LOESS,2,Jiang2024; Parkes2021
