AuthorYear,ModelingMethod,AISource
Baldwin2022,Person-Based Similarity Index (PBSI) with normative z-scores; Variability Ratio (VR); Coefficient of Variation (CV) ratio,claude
Baldwin2022,Person-Based Similarity Index (PBSI) with normative z-scores; group-level VR and CV ratios,codex
Baldwin2022,"This study does not perform normative modeling in the traditional sense of predicting brain measures. Instead, it calculates indices of heterogeneity (Variability Ratio, Coefficient of Variation Ratio) and a Person-Based Similarity Index (PBSI) to assess variability and 'normativeness'.",gemini
Bayer2022,Hierarchical Bayesian Linear Model (HBLM); Hierarchical Bayesian Gaussian Process Model (HBGPM),claude
Bayer2022,Hierarchical Bayesian regression (linear mixed model; Gaussian Process term for age),codex
Bayer2022,Hierarchical Bayesian Linear Model (HBLM); Hierarchical Bayesian Gaussian Process Model (HBGPM),gemini
Bedford2025,"GAMLSS (Generalized Additive Models for Location, Scale and Shape)",claude
Bedford2025,"GAMLSS (Generalized Additive Models for Location, Scale and Shape) with out-of-sample centile estimation",codex
Bedford2025,"GAMLSS (Generalized Additive Models for Location, Scale and Shape) with out-of-sample centile estimation",codex
Bedford2025,GAMLSS (Generalized Additive Models of Location Scale and Shape),gemini
Berthet2025,Hierarchical Bayesian Regression (HBR),claude
Berthet2025,Hierarchical Bayesian Regression (HBR),codex
Berthet2025,Hierarchical Bayesian regression (HBR),codex
Berthet2025,Hierarchical Bayesian Regression (HBR),gemini
Bethlehem2020,LOESS (Locally Estimated Scatterplot Smoothing / Local polynomial regression),claude
Bethlehem2020,LOESS (local polynomial regression) to model CT vs age in TD males; w-scores computed as standardized deviations,codex
Bethlehem2020,Local Polynomial Regression Fitting (LOESS),gemini
Bethlehem2021,"GAMLSS (Generalized Additive Models for Location, Scale and Shape) with fractional polynomial basis functions; generalized gamma distribution; study-level random effects on μ and σ parameters",claude
Bethlehem2021,"GAMLSS (Generalized Additive Models for Location, Scale and Shape)",codex
Bethlehem2021,GAMLSS,gemini
Bhome2024,Warped Bayesian Linear Regression (wBLR) with likelihood warping,claude
Bhome2024,Warped Bayesian Linear Regression (wBLR),codex
Bhome2024,Warped Bayesian Linear Regression,gemini
CardenasDeLaParra2019,Linear mixed-effects model with quadratic age function,claude
CardenasDeLaParra2019,"Linear mixed-effects normative model (quadratic age, sex) with Z-scoring; voxel-wise TBM using log-Jacobian determinants; group effects via linear models with interactions tested (age*sex, age*group).",codex
CardenasDeLaParra2019,Linear mixed-effects model with linear and quadratic effects of age.,gemini
Chan2025A,Generalized Additive Models (GAM) with thin plate regression splines for age,claude
Chan2025A,Generalized Additive Models (GAM) with thin plate regression splines for age (mgcv; REML),codex
Chan2025A,Generalized Additive Models (GAMs),gemini
Chan2025B,Gaussian Process Regression (GPR),claude
Chan2025B,Gaussian process regression (GPR),codex
Chan2025B,Gaussian Process Regression (GPR),gemini
Chien2022,Moving average approach for estimating mean and variance as a function of age,claude
Chien2022,Z-score normative modeling (algorithm NR),codex
Chien2022,Moving average approach,gemini
Cirstian2024,Warped Bayesian Linear Regression (BLR) with B-spline basis expansion and SinhArcsinh warping function,claude
Cirstian2024,Warped Bayesian Linear Regression (BLR) with B-spline basis for age and SinhArcsinh warping,codex
Cirstian2024,Warped Bayesian linear regression (BLR),gemini
Coupe2022,"Polynomial regression (linear, quadratic, cubic models)",claude
Coupe2022,Polynomial regression lifespan models (linear/quadratic/cubic) with model selection via ANOVA/T-tests and BIC,codex
Coupe2022,"Polynomial regression (linear, quadratic, cubic); Bayesian Information Criterion (BIC) for model selection",gemini
DeMeo2019,Linear mixed-effects model (LME),claude
DeMeo2019,Linear mixed-effects (voxel-wise),codex
DeMeo2019,Linear mixed-effects model,gemini
DiBiase2022,Quantile regression,claude
DiBiase2022,Quantile regression (age/sex percentiles); per-ROI z-score deviations,codex
DiBiase2022,Quantile regression,gemini
Ebadi2024,"GAMLSS (Generalized Additive Models for Location, Scale, and Shape) with fractional polynomials",claude
Ebadi2024,"GAMLSS (Generalized Additive Models for Location, Scale, and Shape)",claude
Ebadi2024,"GAMLSS (Generalized Additive Models for Location, Scale, and Shape)",codex
Ebadi2024,GAMLSS,codex
Ebadi2024,"Generalized Additive Model for Location, Scale, and Shape (GAMLSS)",gemini
Echave2024,BLR (Bayesian Linear Regression); also referred to as Warped Bayesian Linear Regression per Fraza et al. 2021,claude
Echave2024,Bayesian Linear Regression (BLR),codex
Echave2024,Bayesian Linear Regression (BLR),gemini
Elad2021,Nadaraya-Watson (NW) nonparametric kernel regression with Gaussian kernel,claude
Elad2021,Nonparametric kernel regression (Nadaraya–Watson) for normative means/SDs; z-score deviations; Ridge logistic regression for classification,codex
Elad2021,Yes,gemini
Fang2024,Gaussian process regression (GPR),claude
Fang2024,Gaussian Process Regression (GPR),codex
Fang2024,Gaussian process regression (GPR),gemini
Fang2025,Nonparametric tolerance intervals,claude
Fang2025,Nonparametric tolerance intervals (per-edge in HC) to define individual-level deviations,codex
Fang2025,Nonparametric two-sided tolerance intervals,gemini
Feng2024,Variational autoencoder (ConvVAE) for normative modeling,codex
Feng2024,Variational autoencoder (VAE) deep generative model,codex
Feng2024,Deep Learning (Convolutional Variational Autoencoder - ConvVAE),gemini
Feng2025,Variational Autoencoder (VAE) with 1D convolutional layers; depth-wise separable convolution (SepConv); asymmetric encoder-decoder architecture; ELBO loss with cyclical annealing on KL divergence,claude
Feng2025,Deep Learning（Variational Autoencoder: VAE）; Macrostructure-Informed Normative Tractometry (MINT),codex
Feng2025,Variational Autoencoder (VAE) with 1D convolutional layers (ConvVAE).,gemini
Floris2021,GPR (Gaussian Process Regression),claude
Floris2021,Gaussian Process Regression (GPR),codex
Floris2021,Gaussian process regression (GPR),gemini
Floris2024,Bayesian linear regression (BLR),claude
Floris2024,Bayesian linear regression (BLR) with B-spline basis for age,codex
Floris2024,Bayesian linear regression with B-spline basis expansion for age.,gemini
Fraza2023,Bayesian linear regression (BLR) with likelihood warping (Sinarcsinh warping); B-spline basis expansion,claude
Fraza2023,Warped Bayesian linear regression (wBLR) with cubic B-spline age basis and Sinarcsinh likelihood warping,codex
Fraza2023,Bayesian linear regression (BLR) with likelihood warping; warped BLR algorithm,gemini
FukamiGartner2023,Gaussian Process Regression (GPR),claude
FukamiGartner2023,Gaussian Process Regression (GPR),codex
FukamiGartner2023,Gaussian process regression (GPR),gemini
GarciaSanMartin2025,"GAMLSS (Generalized Additive Models for Location, Scale and Shape)",claude
GarciaSanMartin2025,"GAMLSS (Generalized Additive Models for Location, Scale and Shape)",codex
GarciaSanMartin2025,"GAMLSS (Generalized Additive Models for Location, Scale and Shape)",gemini
Ge2024,"Multivariate fractional polynomial regression (MFPR); also compared: OLSR, BLR, GAMLSS, LMS, GPR, WBLR, HBR",claude
Ge2024,Multivariate fractional polynomial regression (MFPR),codex
Ge2024,Multivariate Fractional Polynomial Regression (MFPR),gemini
Geng2025,Gaussian process regression (GPR),claude
Geng2025,Gaussian Process Regression (GPR),codex
Geng2025,Gaussian process regression (GPR),gemini
Georgiadis2024,"GAMLSS (Generalized Additive Models for Location, Scale and Shape) with normal distribution",claude
Georgiadis2024,GAMLSS with fractional polynomials for age; sex- and laterality-specific; normal distribution selected via 5-fold 80-20 CV,codex
Georgiadis2024,GAMLSS,gemini
Giacomel2025,Bayesian Linear Regression (BLR),claude
Giacomel2025,Voxel-wise normative z-scores from regression-based models (linear NM); deviation quantified as Z-scores; summary metrics include |Z|>2 counts.,codex
Giacomel2025,Bayesian Linear Regression (BLR),gemini
Gimbel2025,Algorithm not specified in this paper; CentileBrain normative reference used,claude
Gimbel2025,CentileBrain normative reference; algorithm not specified in this paper,codex
Gimbel2025,NR,gemini
Gordaliza2024,MFPR (Multivariate Factorial Polynomial Regression),claude
Gordaliza2024,NR,codex
Gordaliza2024,Multivariate Factorial Polynomial Regression (MFPR),gemini
Haas2024,Multivariable fractional polynomial regression (MFPR),claude
Haas2024,Multivariable Fractional Polynomial Regression (MFPR),codex
Haas2024,Multivariable Fractional Polynomial Regression (MFPR),gemini
