Study,Site code,Sex,Sample size,Processing pipeline,Processed in-house,Only post QC data shared/used,Extracted QC metrics,QC Rating included,Further notes on QC,Acquisition protocol,Native resolution,Longitudinal included,Scanner,Manufacturer,Field strength,Acquisition Parameter Notes,TR,TE,TI,FA,Citation for extended description
3R-BRAIN,1,Female,74,FS6_T1,yes,No,Euler,,Anatomical T1 images were visually inspected to exclude individuals with substantial head motion and structural abnormalities.,MPRAGE,0.7mm,Pending,Siemens 3T Prisma,Siemens,3,,2400,2.23,1000,8,https://pubmed.ncbi.nlm.nih.gov/34653938/
3R-BRAIN,1,Male,87,FS6_T1,yes,No,Euler,,Anatomical T1 images were visually inspected to exclude individuals with substantial head motion and structural abnormalities.,MPRAGE,0.7mm,Pending,Siemens 3T Prisma,Siemens,3,,2400,2.23,1000,8,https://pubmed.ncbi.nlm.nih.gov/34653938/
3R-BRAIN,2,Female,72,FS6_T1,yes,No,Euler,,Anatomical T1 images were visually inspected to exclude individuals with substantial head motion and structural abnormalities.,3D T1,1mm,Pending,GE 3T MR750,General Electric,3,,6.9,2.99,450,8,https://pubmed.ncbi.nlm.nih.gov/34653938/
3R-BRAIN,2,Male,97,FS6_T1,yes,No,Euler,,Anatomical T1 images were visually inspected to exclude individuals with substantial head motion and structural abnormalities.,3D T1,1mm,Pending,GE 3T MR750,General Electric,3,,6.9,2.99,450,8,https://pubmed.ncbi.nlm.nih.gov/34653938/
ABCD,site01,Female,4,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Philips 3T Achieva dStream,Philips,3,,6.31,2.9,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site01,Male,5,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Philips 3T Achieva dStream,Philips,3,,6.31,2.9,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site01,Female,183,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,Philips 3T Achieva dStream,Philips,3,,6.31,2.9,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site01,Male,176,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,Philips 3T Achieva dStream,Philips,3,,6.31,2.9,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site02,Female,5,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site02,Male,6,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site02,Female,241,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site02,Male,274,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site03,Female,4,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site03,Male,11,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site03,Female,278,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site03,Male,292,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site04,Female,5,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,GE 3T MR750,General Electric,3,,2500,2,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site04,Male,13,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,GE 3T MR750,General Electric,3,,2500,2,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site04,Female,300,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,GE 3T MR750,General Electric,3,,2500,2,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site04,Male,320,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,GE 3T MR750,General Electric,3,,2500,2,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site05,Female,5,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site05,Male,5,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site05,Female,175,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site05,Male,169,FS6_T1T2,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE + 3D T2-weighted fast spin echo,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site06,Female,8,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
ABCD,site06,Male,13,FS6_T1,yes,No,"Euler, FreesurferQC",,see https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010,MPRAGE,1mm,Pending,Siemens 3T Prisma,Siemens,3,,2500,2.88,1060,8,https://www.sciencedirect.com/science/article/pii/S1878929317301214#tbl0010
