Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,35298,529,0.494,0.826,0.0002,-0.773,-0.945,-0.859,-0.245,0.0005,Female,-0.332
CN,ADHD,35298,329,0.494,0.554,0.0016,-0.072,-0.289,-0.18,-0.052,0.0037,Female,-0.06
CN,Anxiety/Phobia,35298,1039,0.494,0.453,0.0028,0.154,0.03,0.092,0.026,0.0057,Female,0.041
CN,ASD,35298,376,0.494,0.58,0.0002,-0.115,-0.318,-0.216,-0.062,0.0005,Female,-0.087
CN,Attention & Learning difficulty,35298,99,0.494,0.355,0.0018,0.513,0.119,0.316,0.09,0.0039,Female,0.139
CN,EMCI,35298,139,0.494,0.511,0.77852,0.14,-0.193,-0.027,-0.008,0.7886,Female,-0.017
CN,LMCI,35298,216,0.494,0.667,0.0002,-0.239,-0.506,-0.373,-0.107,0.0005,Female,-0.173
CN,MCI,35298,253,0.494,0.651,0.0002,-0.202,-0.45,-0.326,-0.093,0.0005,Female,-0.157
CN,MDD,35298,3392,0.494,0.506,0.41576,0.021,-0.05,-0.015,-0.004,0.484,Female,-0.012
CN,Other Psychiatric,35298,111,0.494,0.495,0.28157,0.085,-0.288,-0.101,-0.029,0.36,Female,-0.002
CN,SAD,35298,150,0.494,0.501,0.71793,0.19,-0.13,0.03,0.009,0.7368,Female,-0.008
CN,SCZ,35298,294,0.494,0.626,0.0002,-0.174,-0.404,-0.289,-0.083,0.0005,Female,-0.132
AD,ADHD,529,329,0.826,0.554,0.0002,0.875,0.59,0.733,0.194,0.0005,Female,0.272
AD,Anxiety/Phobia,529,1039,0.826,0.453,0.0002,1.107,0.886,0.997,0.272,0.0005,Female,0.373
AD,ASD,529,376,0.826,0.58,0.0002,0.835,0.562,0.699,0.184,0.0005,Female,0.246
AD,Attention & Learning difficulty,529,99,0.826,0.355,0.0002,1.534,1.081,1.307,0.336,0.0005,Female,0.471
AD,EMCI,529,139,0.826,0.511,0.0002,1.109,0.722,0.916,0.238,0.0005,Female,0.315
AD,LMCI,529,216,0.826,0.667,0.0002,0.705,0.383,0.544,0.139,0.0005,Female,0.159
AD,MCI,529,253,0.826,0.651,0.0002,0.735,0.43,0.582,0.152,0.0005,Female,0.175
AD,MDD,529,3392,0.826,0.506,0.0002,0.938,0.751,0.844,0.241,0.0005,Female,0.32
AD,Other Psychiatric,529,111,0.826,0.495,0.0002,1.056,0.636,0.846,0.216,0.0005,Female,0.331
AD,SAD,529,150,0.826,0.501,0.0002,1.181,0.803,0.992,0.254,0.0005,Female,0.325
AD,SCZ,529,294,0.826,0.626,0.0002,0.748,0.457,0.602,0.163,0.0005,Female,0.2
ADHD,Anxiety/Phobia,329,1039,0.554,0.453,0.0002,0.395,0.146,0.271,0.078,0.0005,Female,0.101
ADHD,ASD,329,376,0.554,0.58,0.63794,0.113,-0.184,-0.036,-0.01,0.6813,Female,-0.026
ADHD,Attention & Learning difficulty,329,99,0.554,0.355,0.0002,0.702,0.247,0.475,0.142,0.0005,Female,0.199
ADHD,EMCI,329,139,0.554,0.511,0.14439,0.346,-0.052,0.147,0.044,0.1976,Female,0.043
ADHD,LMCI,329,216,0.554,0.667,0.0288,-0.019,-0.363,-0.191,-0.055,0.0478,Female,-0.113
ADHD,MCI,329,253,0.554,0.651,0.09559,0.022,-0.306,-0.142,-0.042,0.1356,Female,-0.097
ADHD,MDD,329,3392,0.554,0.506,0.006,0.276,0.049,0.162,0.047,0.0117,Female,0.048
ADHD,Other Psychiatric,329,111,0.554,0.495,0.47715,0.292,-0.14,0.076,0.023,0.5473,Female,0.059
ADHD,SAD,329,150,0.554,0.501,0.0348,0.399,0.011,0.205,0.06,0.0554,Female,0.053
ADHD,SCZ,329,294,0.554,0.626,0.20418,0.054,-0.261,-0.104,-0.031,0.2654,Female,-0.072
Anxiety/Phobia,ASD,1039,376,0.453,0.58,0.0002,-0.19,-0.427,-0.309,-0.088,0.0005,Female,-0.128
Anxiety/Phobia,Attention & Learning difficulty,1039,99,0.453,0.355,0.034,0.429,0.016,0.222,0.064,0.0552,Female,0.098
Anxiety/Phobia,EMCI,1039,139,0.453,0.511,0.17518,0.059,-0.295,-0.118,-0.034,0.2356,Female,-0.058
Anxiety/Phobia,LMCI,1039,216,0.453,0.667,0.0002,-0.319,-0.615,-0.467,-0.133,0.0005,Female,-0.214
Anxiety/Phobia,MCI,1039,253,0.453,0.651,0.0002,-0.278,-0.555,-0.416,-0.12,0.0005,Female,-0.198
Anxiety/Phobia,MDD,1039,3392,0.453,0.506,0.0022,-0.036,-0.175,-0.105,-0.031,0.0046,Female,-0.053
Anxiety/Phobia,Other Psychiatric,1039,111,0.453,0.495,0.05619,0.004,-0.388,-0.192,-0.055,0.0858,Female,-0.043
Anxiety/Phobia,SAD,1039,150,0.453,0.501,0.48475,0.109,-0.233,-0.062,-0.018,0.548,Female,-0.049
Anxiety/Phobia,SCZ,1039,294,0.453,0.626,0.0002,-0.244,-0.505,-0.375,-0.109,0.0005,Female,-0.173
ASD,Attention & Learning difficulty,376,99,0.58,0.355,0.0002,0.745,0.296,0.521,0.152,0.0005,Female,0.226
ASD,EMCI,376,139,0.58,0.511,0.06799,0.38,-0.01,0.185,0.054,0.0982,Female,0.07
ASD,LMCI,376,216,0.58,0.667,0.05879,0.01,-0.326,-0.158,-0.045,0.0865,Female,-0.086
ASD,MCI,376,253,0.58,0.651,0.18898,0.051,-0.268,-0.109,-0.031,0.2498,Female,-0.071
ASD,MDD,376,3392,0.58,0.506,0.0008,0.305,0.092,0.198,0.058,0.002,Female,0.075
ASD,Other Psychiatric,376,111,0.58,0.495,0.29717,0.326,-0.099,0.113,0.033,0.3739,Female,0.085
ASD,SAD,376,150,0.58,0.501,0.01,0.435,0.054,0.244,0.07,0.0181,Female,0.079
ASD,SCZ,376,294,0.58,0.626,0.36676,0.082,-0.223,-0.071,-0.021,0.4446,Female,-0.045
Attention & Learning difficulty,EMCI,99,139,0.355,0.511,0.0182,-0.053,-0.575,-0.314,-0.098,0.0323,Female,-0.156
Attention & Learning difficulty,LMCI,99,216,0.355,0.667,0.0002,-0.433,-0.922,-0.678,-0.197,0.0005,Female,-0.312
Attention & Learning difficulty,MCI,99,253,0.355,0.651,0.0002,-0.376,-0.851,-0.613,-0.184,0.0005,Female,-0.296
Attention & Learning difficulty,MDD,99,3392,0.355,0.506,0.0014,-0.124,-0.524,-0.324,-0.095,0.0033,Female,-0.151
Attention & Learning difficulty,Other Psychiatric,99,111,0.355,0.495,0.0062,-0.111,-0.661,-0.386,-0.119,0.0118,Female,-0.141
Attention & Learning difficulty,SAD,99,150,0.355,0.501,0.0376,-0.015,-0.527,-0.271,-0.082,0.0587,Female,-0.147
Attention & Learning difficulty,SCZ,99,294,0.355,0.626,0.0002,-0.324,-0.788,-0.556,-0.173,0.0005,Female,-0.271
EMCI,LMCI,139,216,0.511,0.667,0.0018,-0.124,-0.554,-0.339,-0.099,0.0039,Female,-0.156
EMCI,MCI,139,253,0.511,0.651,0.0064,-0.077,-0.494,-0.286,-0.086,0.0119,Female,-0.14
EMCI,MDD,139,3392,0.511,0.506,0.87451,0.182,-0.158,0.012,0.003,0.8745,Female,0.005
EMCI,Other Psychiatric,139,111,0.511,0.495,0.59134,0.182,-0.32,-0.069,-0.021,0.651,Female,0.015
EMCI,SAD,139,150,0.511,0.501,0.64634,0.286,-0.178,0.054,0.016,0.6813,Female,0.009
EMCI,SCZ,139,294,0.511,0.626,0.0206,-0.039,-0.445,-0.242,-0.075,0.0357,Female,-0.115
LMCI,MCI,216,253,0.667,0.651,0.60954,0.229,-0.136,0.047,0.013,0.6603,Female,0.016
LMCI,MDD,216,3392,0.667,0.506,0.0002,0.49,0.214,0.352,0.102,0.0005,Female,0.161
LMCI,Other Psychiatric,216,111,0.667,0.495,0.0222,0.5,0.039,0.27,0.078,0.0376,Female,0.171
LMCI,SAD,216,150,0.667,0.501,0.0004,0.615,0.193,0.404,0.115,0.001,Female,0.165
LMCI,SCZ,216,294,0.667,0.626,0.37616,0.256,-0.096,0.08,0.024,0.4446,Female,0.041
MCI,MDD,253,3392,0.651,0.506,0.0002,0.433,0.177,0.305,0.089,0.0005,Female,0.145
MCI,Other Psychiatric,253,111,0.651,0.495,0.05719,0.441,-0.008,0.217,0.064,0.0858,Female,0.156
MCI,SAD,253,150,0.651,0.501,0.0012,0.551,0.143,0.347,0.102,0.0029,Female,0.15
MCI,SCZ,253,294,0.651,0.626,0.69853,0.203,-0.134,0.034,0.01,0.7265,Female,0.025
MDD,Other Psychiatric,3392,111,0.506,0.495,0.37236,0.104,-0.274,-0.085,-0.025,0.4446,Female,0.01
MDD,SAD,3392,150,0.506,0.501,0.59254,0.207,-0.12,0.044,0.013,0.651,Female,0.005
MDD,SCZ,3392,294,0.506,0.626,0.0002,-0.149,-0.388,-0.268,-0.079,0.0005,Female,-0.12
Other Psychiatric,SAD,111,150,0.495,0.501,0.30297,0.373,-0.121,0.126,0.038,0.3751,Female,-0.006
Other Psychiatric,SCZ,111,294,0.495,0.626,0.11819,0.045,-0.394,-0.174,-0.054,0.1646,Female,-0.13
SAD,SCZ,150,294,0.501,0.626,0.0032,-0.102,-0.498,-0.3,-0.091,0.0064,Female,-0.125
CN,AD,34702,458,0.501,0.824,0.0002,-0.79,-0.975,-0.883,-0.255,0.0003,Male,-0.322
