Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,38783,529,0.495,0.229,0.0002,0.671,0.499,0.585,0.167,0.0006,Female,0.266
CN,ADHD,38783,329,0.495,0.46,0.71793,0.128,-0.089,0.019,0.006,0.7778,Female,0.036
CN,Anxiety/Phobia,38783,1039,0.495,0.486,0.20258,0.101,-0.022,0.04,0.011,0.2981,Female,0.009
CN,ASD,38783,381,0.495,0.486,0.61054,0.074,-0.128,-0.027,-0.008,0.7003,Female,0.009
CN,Attention & Learning difficulty,38783,99,0.495,0.192,0.0002,0.918,0.523,0.72,0.206,0.0006,Female,0.303
CN,EMCI,38783,139,0.495,0.479,0.9745,0.162,-0.171,-0.005,-0.001,0.9872,Female,0.017
CN,LMCI,38783,216,0.495,0.394,0.0002,0.41,0.143,0.276,0.079,0.0006,Female,0.102
CN,MCI,38783,253,0.495,0.406,0.0002,0.332,0.085,0.209,0.06,0.0006,Female,0.09
CN,MDD,38783,3461,0.495,0.485,0.14519,0.061,-0.009,0.026,0.007,0.2178,Female,0.011
CN,Other Psychiatric,38783,111,0.495,0.403,0.0298,0.394,0.021,0.207,0.059,0.0567,Female,0.092
CN,SAD,38783,150,0.495,0.444,0.24618,0.256,-0.065,0.095,0.027,0.3429,Female,0.051
CN,SCZ,38783,315,0.495,0.297,0.0002,0.585,0.363,0.474,0.136,0.0006,Female,0.198
AD,ADHD,529,329,0.229,0.46,0.0002,-0.41,-0.69,-0.55,-0.162,0.0006,Female,-0.231
AD,Anxiety/Phobia,529,1039,0.229,0.486,0.0002,-0.438,-0.651,-0.545,-0.156,0.0006,Female,-0.257
AD,ASD,529,381,0.229,0.486,0.0002,-0.438,-0.707,-0.573,-0.175,0.0006,Female,-0.257
AD,Attention & Learning difficulty,529,99,0.229,0.192,0.22738,0.348,-0.082,0.133,0.039,0.3284,Female,0.037
AD,EMCI,529,139,0.229,0.479,0.0002,-0.392,-0.772,-0.582,-0.169,0.0006,Female,-0.25
AD,LMCI,529,216,0.229,0.394,0.0002,-0.146,-0.465,-0.305,-0.088,0.0006,Female,-0.165
AD,MCI,529,253,0.229,0.406,0.0002,-0.205,-0.507,-0.356,-0.108,0.0006,Female,-0.177
AD,MDD,529,3461,0.229,0.485,0.0002,-0.465,-0.65,-0.558,-0.16,0.0006,Female,-0.256
AD,Other Psychiatric,529,111,0.229,0.403,0.001,-0.167,-0.579,-0.373,-0.108,0.0024,Female,-0.174
AD,SAD,529,150,0.229,0.444,0.0002,-0.302,-0.669,-0.486,-0.14,0.0006,Female,-0.215
AD,SCZ,529,315,0.229,0.297,0.12319,0.031,-0.248,-0.108,-0.032,0.1884,Female,-0.068
ADHD,Anxiety/Phobia,329,1039,0.46,0.486,0.75652,0.145,-0.104,0.021,0.006,0.8083,Female,-0.026
ADHD,ASD,329,381,0.46,0.486,0.56974,0.105,-0.191,-0.043,-0.013,0.6633,Female,-0.026
ADHD,Attention & Learning difficulty,329,99,0.46,0.192,0.0002,0.921,0.461,0.691,0.201,0.0006,Female,0.267
ADHD,EMCI,329,139,0.46,0.479,0.83372,0.175,-0.222,-0.024,-0.007,0.8788,Female,-0.019
ADHD,LMCI,329,216,0.46,0.394,0.0034,0.427,0.081,0.254,0.074,0.008,Female,0.066
ADHD,MCI,329,253,0.46,0.406,0.0366,0.341,0.012,0.177,0.054,0.0664,Female,0.054
ADHD,MDD,329,3461,0.46,0.485,0.91871,0.12,-0.107,0.007,0.002,0.9429,Female,-0.025
ADHD,Other Psychiatric,329,111,0.46,0.403,0.08799,0.401,-0.031,0.185,0.054,0.1401,Female,0.057
ADHD,SAD,329,150,0.46,0.444,0.44776,0.269,-0.118,0.076,0.022,0.5544,Female,0.016
ADHD,SCZ,329,315,0.46,0.297,0.0002,0.598,0.284,0.441,0.13,0.0006,Female,0.163
Anxiety/Phobia,ASD,1039,381,0.486,0.486,0.26797,0.052,-0.183,-0.065,-0.019,0.3667,Female,0
Anxiety/Phobia,Attention & Learning difficulty,1039,99,0.486,0.192,0.0002,0.9,0.483,0.691,0.195,0.0006,Female,0.294
Anxiety/Phobia,EMCI,1039,139,0.486,0.479,0.62494,0.132,-0.222,-0.045,-0.013,0.7065,Female,0.007
Anxiety/Phobia,LMCI,1039,216,0.486,0.394,0.001,0.387,0.093,0.24,0.068,0.0024,Female,0.092
Anxiety/Phobia,MCI,1039,253,0.486,0.406,0.0184,0.304,0.029,0.166,0.048,0.0368,Female,0.081
Anxiety/Phobia,MDD,1039,3461,0.486,0.485,0.69993,0.055,-0.083,-0.014,-0.004,0.7778,Female,0.001
Anxiety/Phobia,Other Psychiatric,1039,111,0.486,0.403,0.09119,0.366,-0.026,0.17,0.048,0.1423,Female,0.083
Anxiety/Phobia,SAD,1039,150,0.486,0.444,0.50375,0.228,-0.115,0.057,0.016,0.6045,Female,0.042
Anxiety/Phobia,SCZ,1039,315,0.486,0.297,0.0002,0.562,0.308,0.435,0.124,0.0006,Female,0.189
ASD,Attention & Learning difficulty,381,99,0.486,0.192,0.0002,0.91,0.458,0.684,0.214,0.0006,Female,0.294
ASD,EMCI,381,139,0.486,0.479,0.84532,0.216,-0.174,0.021,0.007,0.8791,Female,0.007
ASD,LMCI,381,216,0.486,0.394,0.001,0.45,0.114,0.282,0.087,0.0024,Female,0.092
ASD,MCI,381,253,0.486,0.406,0.0102,0.369,0.05,0.21,0.068,0.0215,Female,0.08
ASD,MDD,381,3461,0.486,0.485,0.33757,0.158,-0.053,0.053,0.015,0.4463,Female,0.001
ASD,Other Psychiatric,381,111,0.486,0.403,0.05059,0.427,0.002,0.215,0.067,0.0897,Female,0.083
ASD,SAD,381,150,0.486,0.444,0.24118,0.303,-0.076,0.114,0.035,0.342,Female,0.042
ASD,SCZ,381,315,0.486,0.297,0.0002,0.614,0.311,0.462,0.143,0.0006,Female,0.189
Attention & Learning difficulty,EMCI,99,139,0.192,0.479,0.0002,-0.488,-1.024,-0.756,-0.207,0.0006,Female,-0.286
Attention & Learning difficulty,LMCI,99,216,0.192,0.394,0.0002,-0.217,-0.7,-0.459,-0.127,0.0006,Female,-0.201
Attention & Learning difficulty,MCI,99,253,0.192,0.406,0.0002,-0.239,-0.711,-0.475,-0.146,0.0006,Female,-0.213
Attention & Learning difficulty,MDD,99,3461,0.192,0.485,0.0002,-0.495,-0.896,-0.696,-0.199,0.0006,Female,-0.292
Attention & Learning difficulty,Other Psychiatric,99,111,0.192,0.403,0.0006,-0.261,-0.816,-0.538,-0.147,0.0016,Female,-0.211
Attention & Learning difficulty,SAD,99,150,0.192,0.444,0.0002,-0.399,-0.923,-0.661,-0.179,0.0006,Female,-0.252
Attention & Learning difficulty,SCZ,99,315,0.192,0.297,0.0348,-0.017,-0.471,-0.244,-0.071,0.0646,Female,-0.105
EMCI,LMCI,139,216,0.479,0.394,0.009,0.504,0.074,0.289,0.08,0.0195,Female,0.085
EMCI,MCI,139,253,0.479,0.406,0.05359,0.407,-0.009,0.199,0.061,0.0929,Female,0.073
EMCI,MDD,139,3461,0.479,0.485,0.71333,0.2,-0.139,0.031,0.009,0.7778,Female,-0.006
EMCI,Other Psychiatric,139,111,0.479,0.403,0.08379,0.472,-0.031,0.22,0.061,0.1362,Female,0.076
EMCI,SAD,139,150,0.479,0.444,0.38656,0.337,-0.127,0.105,0.029,0.4943,Female,0.035
EMCI,SCZ,139,315,0.479,0.297,0.0002,0.676,0.271,0.474,0.137,0.0006,Female,0.182
LMCI,MCI,216,253,0.394,0.406,0.49335,0.118,-0.246,-0.064,-0.019,0.6013,Female,-0.012
LMCI,MDD,216,3461,0.394,0.485,0.0002,-0.113,-0.389,-0.251,-0.072,0.0006,Female,-0.091
LMCI,Other Psychiatric,216,111,0.394,0.403,0.53715,0.159,-0.301,-0.071,-0.02,0.6348,Female,-0.009
LMCI,SAD,216,150,0.394,0.444,0.07019,0.022,-0.397,-0.188,-0.052,0.1165,Female,-0.05
LMCI,SCZ,216,315,0.394,0.297,0.028,0.37,0.022,0.196,0.057,0.0546,Female,0.097
MCI,MDD,253,3461,0.406,0.485,0.0058,-0.054,-0.309,-0.181,-0.052,0.0129,Female,-0.079
MCI,Other Psychiatric,253,111,0.406,0.403,0.9963,0.223,-0.225,-0.001,0,0.9963,Female,0.003
MCI,SAD,253,150,0.406,0.444,0.29737,0.096,-0.31,-0.107,-0.032,0.3999,Female,-0.039
MCI,SCZ,253,315,0.406,0.297,0.0038,0.414,0.081,0.248,0.076,0.0087,Female,0.108
MDD,Other Psychiatric,3461,111,0.485,0.403,0.05999,0.371,-0.007,0.182,0.052,0.1017,Female,0.082
MDD,SAD,3461,150,0.485,0.444,0.41016,0.233,-0.094,0.07,0.02,0.516,Female,0.041
MDD,SCZ,3461,315,0.485,0.297,0.0002,0.563,0.331,0.447,0.128,0.0006,Female,0.188
Other Psychiatric,SAD,111,150,0.403,0.444,0.34757,0.129,-0.365,-0.118,-0.032,0.4518,Female,-0.041
Other Psychiatric,SCZ,111,315,0.403,0.297,0.0172,0.482,0.046,0.264,0.076,0.0353,Female,0.106
SAD,SCZ,150,315,0.444,0.297,0.0004,0.574,0.181,0.378,0.108,0.0011,Female,0.147
CN,AD,38248,458,0.49,0.28,0.0002,0.514,0.33,0.422,0.121,0.0005,Male,0.21
CN,ADHD,38248,885,0.49,0.362,0.0002,0.431,0.298,0.364,0.104,0.0005,Male,0.129
CN,Anxiety/Phobia,38248,589,0.49,0.54,0.004,-0.037,-0.2,-0.119,-0.034,0.0071,Male,-0.05
CN,ASD,38248,1628,0.49,0.467,0.0026,0.123,0.024,0.073,0.021,0.0051,Male,0.023
CN,Attention & Learning difficulty,38248,227,0.49,0.239,0.0002,0.704,0.443,0.574,0.164,0.0005,Male,0.251
CN,EMCI,38248,170,0.49,0.528,0.24718,0.063,-0.238,-0.087,-0.025,0.306,Male,-0.038
CN,LMCI,38248,341,0.49,0.435,0.0388,0.219,0.006,0.113,0.032,0.0582,Male,0.055
CN,MCI,38248,197,0.49,0.47,0.10559,0.254,-0.026,0.114,0.033,0.1373,Male,0.02
CN,MDD,38248,1789,0.49,0.519,0.0002,-0.048,-0.143,-0.096,-0.027,0.0005,Male,-0.029
CN,Other Psychiatric,38248,142,0.49,0.313,0.0002,0.518,0.188,0.353,0.101,0.0005,Male,0.177
CN,SAD,38248,155,0.49,0.489,0.60714,0.199,-0.116,0.041,0.012,0.667,Male,0.002
CN,SCZ,38248,718,0.49,0.387,0.0002,0.378,0.23,0.304,0.087,0.0005,Male,0.103
AD,ADHD,458,885,0.28,0.362,0.31557,0.054,-0.172,-0.059,-0.017,0.3787,Male,-0.081
AD,Anxiety/Phobia,458,589,0.28,0.54,0.0002,-0.393,-0.642,-0.518,-0.155,0.0005,Male,-0.26
AD,ASD,458,1628,0.28,0.467,0.0002,-0.224,-0.432,-0.328,-0.1,0.0005,Male,-0.187
AD,Attention & Learning difficulty,458,227,0.28,0.239,0.07479,0.304,-0.015,0.145,0.043,0.1006,Male,0.041
AD,EMCI,458,170,0.28,0.528,0.0002,-0.3,-0.656,-0.478,-0.146,0.0005,Male,-0.248
AD,LMCI,458,341,0.28,0.435,0.0002,-0.151,-0.433,-0.292,-0.088,0.0005,Male,-0.155
AD,MCI,458,197,0.28,0.47,0.0016,-0.118,-0.454,-0.286,-0.088,0.0032,Male,-0.19
AD,MDD,458,1789,0.28,0.519,0.0002,-0.401,-0.609,-0.505,-0.148,0.0005,Male,-0.239
AD,Other Psychiatric,458,142,0.28,0.313,0.48595,0.124,-0.254,-0.065,-0.02,0.5657,Male,-0.033
AD,SAD,458,155,0.28,0.489,0.0002,-0.172,-0.539,-0.356,-0.109,0.0005,Male,-0.208
AD,SCZ,458,718,0.28,0.387,0.05639,0.001,-0.234,-0.116,-0.034,0.08,Male,-0.107
ADHD,Anxiety/Phobia,885,589,0.362,0.54,0.0002,-0.386,-0.598,-0.492,-0.138,0.0005,Male,-0.178
ADHD,ASD,885,1628,0.362,0.467,0.0002,-0.201,-0.366,-0.283,-0.083,0.0005,Male,-0.106
ADHD,Attention & Learning difficulty,885,227,0.362,0.239,0.0038,0.365,0.072,0.219,0.06,0.0069,Male,0.122
ADHD,EMCI,885,170,0.362,0.528,0.0002,-0.301,-0.632,-0.467,-0.129,0.0005,Male,-0.167
ADHD,LMCI,885,341,0.362,0.435,0.0004,-0.132,-0.383,-0.257,-0.072,0.0009,Male,-0.074
ADHD,MCI,885,197,0.362,0.47,0.0008,-0.1,-0.41,-0.255,-0.071,0.0017,Male,-0.109
ADHD,MDD,885,1789,0.362,0.519,0.0002,-0.381,-0.544,-0.463,-0.131,0.0005,Male,-0.157
ADHD,Other Psychiatric,885,142,0.362,0.313,0.91511,0.166,-0.189,-0.011,-0.003,0.9296,Male,0.048
ADHD,SAD,885,155,0.362,0.489,0.0004,-0.161,-0.504,-0.333,-0.092,0.0009,Male,-0.127
ADHD,SCZ,885,718,0.362,0.387,0.22398,0.036,-0.161,-0.062,-0.017,0.2818,Male,-0.026
Anxiety/Phobia,ASD,589,1628,0.54,0.467,0.0002,0.278,0.089,0.183,0.055,0.0005,Male,0.073
Anxiety/Phobia,Attention & Learning difficulty,589,227,0.54,0.239,0.0002,0.844,0.53,0.687,0.198,0.0005,Male,0.301
Anxiety/Phobia,EMCI,589,170,0.54,0.528,0.72813,0.202,-0.14,0.031,0.009,0.7573,Male,0.011
Anxiety/Phobia,LMCI,589,341,0.54,0.435,0.0012,0.359,0.092,0.225,0.066,0.0025,Male,0.105
Anxiety/Phobia,MCI,589,197,0.54,0.47,0.0072,0.387,0.063,0.225,0.067,0.0119,Male,0.069
Anxiety/Phobia,MDD,589,1789,0.54,0.519,0.63034,0.116,-0.071,0.023,0.007,0.6746,Male,0.021
Anxiety/Phobia,Other Psychiatric,589,142,0.54,0.313,0.0002,0.648,0.278,0.463,0.135,0.0005,Male,0.227
Anxiety/Phobia,SAD,589,155,0.54,0.489,0.08179,0.334,-0.021,0.156,0.046,0.1081,Male,0.051
Anxiety/Phobia,SCZ,589,718,0.54,0.387,0.0002,0.533,0.313,0.423,0.121,0.0005,Male,0.153
