Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,35298,529,0.494,0.826,0.0002,-0.773,-0.945,-0.859,-0.245,0.0004,Female,-0.332
CN,ADHD,35298,329,0.494,0.554,0.0016,-0.072,-0.289,-0.18,-0.052,0.0026,Female,-0.06
CN,Anxiety/Phobia,35298,1039,0.494,0.453,0.0028,0.154,0.03,0.092,0.026,0.0042,Female,0.041
CN,ASD,35298,376,0.494,0.58,0.0002,-0.115,-0.318,-0.216,-0.062,0.0004,Female,-0.087
CN,LMCI,35298,216,0.494,0.667,0.0002,-0.239,-0.506,-0.373,-0.107,0.0004,Female,-0.173
CN,MCI,35298,253,0.494,0.651,0.0002,-0.202,-0.45,-0.326,-0.093,0.0004,Female,-0.157
CN,MDD,35298,3392,0.494,0.506,0.41576,0.021,-0.05,-0.015,-0.004,0.4536,Female,-0.012
CN,SCZ,35298,294,0.494,0.626,0.0002,-0.174,-0.404,-0.289,-0.083,0.0004,Female,-0.132
AD,ADHD,529,329,0.826,0.554,0.0002,0.875,0.59,0.733,0.194,0.0004,Female,0.272
AD,Anxiety/Phobia,529,1039,0.826,0.453,0.0002,1.107,0.886,0.997,0.272,0.0004,Female,0.373
AD,ASD,529,376,0.826,0.58,0.0002,0.835,0.562,0.699,0.184,0.0004,Female,0.246
AD,LMCI,529,216,0.826,0.667,0.0002,0.705,0.383,0.544,0.139,0.0004,Female,0.159
AD,MCI,529,253,0.826,0.651,0.0002,0.735,0.43,0.582,0.152,0.0004,Female,0.175
AD,MDD,529,3392,0.826,0.506,0.0002,0.938,0.751,0.844,0.241,0.0004,Female,0.32
AD,SCZ,529,294,0.826,0.626,0.0002,0.748,0.457,0.602,0.163,0.0004,Female,0.2
ADHD,Anxiety/Phobia,329,1039,0.554,0.453,0.0002,0.395,0.146,0.271,0.078,0.0004,Female,0.101
ADHD,ASD,329,376,0.554,0.58,0.63794,0.113,-0.184,-0.036,-0.01,0.6562,Female,-0.026
ADHD,LMCI,329,216,0.554,0.667,0.0288,-0.019,-0.363,-0.191,-0.055,0.0399,Female,-0.113
ADHD,MCI,329,253,0.554,0.651,0.09559,0.022,-0.306,-0.142,-0.042,0.1229,Female,-0.097
ADHD,MDD,329,3392,0.554,0.506,0.006,0.276,0.049,0.162,0.047,0.0086,Female,0.048
ADHD,SCZ,329,294,0.554,0.626,0.20418,0.054,-0.261,-0.104,-0.031,0.245,Female,-0.072
Anxiety/Phobia,ASD,1039,376,0.453,0.58,0.0002,-0.19,-0.427,-0.309,-0.088,0.0004,Female,-0.128
Anxiety/Phobia,LMCI,1039,216,0.453,0.667,0.0002,-0.319,-0.615,-0.467,-0.133,0.0004,Female,-0.214
Anxiety/Phobia,MCI,1039,253,0.453,0.651,0.0002,-0.278,-0.555,-0.416,-0.12,0.0004,Female,-0.198
Anxiety/Phobia,MDD,1039,3392,0.453,0.506,0.0022,-0.036,-0.175,-0.105,-0.031,0.0034,Female,-0.053
Anxiety/Phobia,SCZ,1039,294,0.453,0.626,0.0002,-0.244,-0.505,-0.375,-0.109,0.0004,Female,-0.173
ASD,LMCI,376,216,0.58,0.667,0.05879,0.01,-0.326,-0.158,-0.045,0.0784,Female,-0.086
ASD,MCI,376,253,0.58,0.651,0.18898,0.051,-0.268,-0.109,-0.031,0.2346,Female,-0.071
ASD,MDD,376,3392,0.58,0.506,0.0008,0.305,0.092,0.198,0.058,0.0014,Female,0.075
ASD,SCZ,376,294,0.58,0.626,0.36676,0.082,-0.223,-0.071,-0.021,0.4232,Female,-0.045
LMCI,MCI,216,253,0.667,0.651,0.60954,0.229,-0.136,0.047,0.013,0.6454,Female,0.016
LMCI,MDD,216,3392,0.667,0.506,0.0002,0.49,0.214,0.352,0.102,0.0004,Female,0.161
LMCI,SCZ,216,294,0.667,0.626,0.37616,0.256,-0.096,0.08,0.024,0.4232,Female,0.041
MCI,MDD,253,3392,0.651,0.506,0.0002,0.433,0.177,0.305,0.089,0.0004,Female,0.145
MCI,SCZ,253,294,0.651,0.626,0.69853,0.203,-0.134,0.034,0.01,0.6985,Female,0.025
MDD,SCZ,3392,294,0.506,0.626,0.0002,-0.149,-0.388,-0.268,-0.079,0.0004,Female,-0.12
CN,AD,34702,458,0.501,0.824,0.0002,-0.79,-0.975,-0.883,-0.255,0.0003,Male,-0.322
CN,ADHD,34702,885,0.501,0.414,0.0002,0.243,0.11,0.177,0.051,0.0003,Male,0.087
CN,Anxiety/Phobia,34702,589,0.501,0.533,0.0404,-0.004,-0.167,-0.086,-0.025,0.0454,Male,-0.032
CN,ASD,34702,1622,0.501,0.526,0.0048,-0.025,-0.125,-0.075,-0.022,0.0056,Male,-0.025
CN,LMCI,34702,341,0.501,0.732,0.0002,-0.463,-0.677,-0.57,-0.165,0.0003,Male,-0.231
CN,MCI,34702,197,0.501,0.74,0.0002,-0.428,-0.708,-0.568,-0.164,0.0003,Male,-0.238
CN,MDD,34702,1746,0.501,0.576,0.0002,-0.13,-0.226,-0.178,-0.051,0.0003,Male,-0.075
CN,SCZ,34702,709,0.501,0.601,0.0002,-0.171,-0.32,-0.246,-0.071,0.0003,Male,-0.1
AD,ADHD,458,885,0.824,0.414,0.0002,1.229,0.989,1.109,0.306,0.0003,Male,0.409
AD,Anxiety/Phobia,458,589,0.824,0.533,0.0002,1.029,0.773,0.901,0.23,0.0003,Male,0.29
AD,ASD,458,1622,0.824,0.526,0.0002,0.931,0.718,0.824,0.233,0.0003,Male,0.298
AD,LMCI,458,341,0.824,0.732,0.0002,0.503,0.22,0.361,0.09,0.0003,Male,0.091
AD,MCI,458,197,0.824,0.74,0.0002,0.54,0.203,0.371,0.09,0.0003,Male,0.084
AD,MDD,458,1746,0.824,0.576,0.0002,0.862,0.651,0.756,0.203,0.0003,Male,0.247
AD,SCZ,458,709,0.824,0.601,0.0002,0.804,0.562,0.683,0.183,0.0003,Male,0.222
ADHD,Anxiety/Phobia,885,589,0.414,0.533,0.0002,-0.157,-0.367,-0.262,-0.076,0.0003,Male,-0.119
ADHD,ASD,885,1622,0.414,0.526,0.0002,-0.163,-0.327,-0.245,-0.073,0.0003,Male,-0.112
ADHD,LMCI,885,341,0.414,0.732,0.0002,-0.609,-0.866,-0.738,-0.216,0.0003,Male,-0.318
ADHD,MCI,885,197,0.414,0.74,0.0002,-0.572,-0.887,-0.73,-0.215,0.0003,Male,-0.326
ADHD,MDD,885,1746,0.414,0.576,0.0002,-0.277,-0.44,-0.359,-0.102,0.0003,Male,-0.162
ADHD,SCZ,885,709,0.414,0.601,0.0002,-0.313,-0.513,-0.413,-0.122,0.0003,Male,-0.187
Anxiety/Phobia,ASD,589,1622,0.533,0.526,0.83332,0.105,-0.084,0.011,0.003,0.8571,Male,0.007
Anxiety/Phobia,LMCI,589,341,0.533,0.732,0.0002,-0.371,-0.642,-0.507,-0.14,0.0003,Male,-0.199
Anxiety/Phobia,MCI,589,197,0.533,0.74,0.0002,-0.34,-0.667,-0.503,-0.139,0.0003,Male,-0.206
Anxiety/Phobia,MDD,589,1746,0.533,0.576,0.046,-0.002,-0.189,-0.096,-0.027,0.0502,Male,-0.043
Anxiety/Phobia,SCZ,589,709,0.533,0.601,0.0034,-0.053,-0.272,-0.162,-0.046,0.0042,Male,-0.068
ASD,LMCI,1622,341,0.526,0.732,0.0002,-0.37,-0.606,-0.488,-0.143,0.0003,Male,-0.206
ASD,MCI,1622,197,0.526,0.74,0.0002,-0.335,-0.632,-0.483,-0.143,0.0003,Male,-0.214
ASD,MDD,1622,1746,0.526,0.576,0.004,-0.035,-0.171,-0.103,-0.03,0.0048,Male,-0.05
ASD,SCZ,1622,709,0.526,0.601,0.0002,-0.079,-0.256,-0.167,-0.049,0.0003,Male,-0.075
LMCI,MCI,341,197,0.732,0.74,0.9967,0.177,-0.174,0.002,0,0.9967,Male,-0.007
LMCI,MDD,341,1746,0.732,0.576,0.0002,0.524,0.29,0.407,0.113,0.0003,Male,0.156
LMCI,SCZ,341,709,0.732,0.601,0.0002,0.455,0.195,0.325,0.094,0.0003,Male,0.131
MCI,MDD,197,1746,0.74,0.576,0.0002,0.552,0.257,0.405,0.113,0.0003,Male,0.164
MCI,SCZ,197,709,0.74,0.601,0.0002,0.479,0.162,0.32,0.093,0.0003,Male,0.138
MDD,SCZ,1746,709,0.576,0.601,0.10419,0.018,-0.157,-0.07,-0.02,0.1103,Male,-0.025
