Dx,p value (Hardigan's dip test of unimodality),D-statistic (Hardigan's dip test of unimodality),Number of inflection points in smoothed distribution,Sex
ASD,0,0.032996527,3,Female
SCZ,0.85,0.016599005,3,Female
ADHD,0.07,0.027875518,2,Female
AD,0.99,0.00908365,2,Female
MCI,0.99,0.014336852,2,Female
MDD,0.64,0.005901817,3,Female
Anxiety/Phobia,0.66,0.010542611,4,Female
ASD,0.37,0.009952902,2,Male
SCZ,0.45,0.014176958,3,Male
ADHD,0.98,0.008444644,1,Male
AD,0.99,0.010561222,2,Male
MCI,0.76,0.022175071,2,Male
MDD,0.78,0.007531518,2,Male
Anxiety/Phobia,0.23,0.017964547,3,Male
