Dx,p value (Hardigan's dip test of unimodality),D-statistic (Hardigan's dip test of unimodality),Number of inflection points in smoothed distribution,Sex
ASD,0.69,0.016958867,2,Female
SCZ,0.71,0.018896815,2,Female
ADHD,0.91,0.015256506,3,Female
AD,0.85,0.012921758,2,Female
MCI,0.97,0.015824257,2,Female
MDD,0.02,0.009999251,5,Female
Anxiety/Phobia,0.21,0.013738941,3,Female
ASD,0,0.016897935,2,Male
SCZ,0.5,0.013883099,3,Male
ADHD,0.64,0.011570972,4,Male
AD,0.99,0.009504078,2,Male
MCI,0.89,0.020113224,1,Male
MDD,0.97,0.006220481,2,Male
Anxiety/Phobia,0.81,0.012632786,3,Male
