"Group 1","Group 2","Sample size G1","Sample size G2","Median IQR Group 2","Median IQR Group 1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Sex","Median group difference"
"CN","AD",188,2794,"0.034","0.090","0.00106","0.00000","1.9998e-04","0.650","0.353","0.502","0.050","2.0998e-03","Female","0.056"
"CN","ADHD",0,2794,"  NA","0.090","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"CN","ASD",35,2794,"0.005","0.090","0.00106","0.00000","1.9998e-04","1.027","0.359","0.693","0.070","2.0998e-03","Female","0.085"
"CN","MCI",22,2794,"0.045","0.090","0.00744","0.00236","4.5995e-03","0.952","0.112","0.532","0.054","3.2197e-02","Female","0.045"
"CN","PD",0,2794,"  NA","0.090","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"CN","SCZ",0,2794,"  NA","0.090","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"AD","ADHD",0,188,"  NA","0.034","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"AD","ASD",35,188,"0.005","0.034","0.20332","0.17306","1.8798e-01","0.598","-0.129","0.234","0.020","9.8690e-01","Female","0.029"
"AD","MCI",22,188,"0.045","0.034","0.94280","0.89128","9.1711e-01","0.487","-0.401","0.043","0.003","1.0000e+00","Female","-0.011"
"AD","PD",0,188,"  NA","0.034","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"AD","SCZ",0,188,"  NA","0.034","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"ADHD","ASD",35,0,"0.005","  NA","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"ADHD","MCI",22,0,"0.045","  NA","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"ADHD","PD",0,0,"  NA","  NA","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"ADHD","SCZ",0,0,"  NA","  NA","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"ASD","MCI",22,35,"0.045","0.005","0.47797","0.43455","4.5615e-01","0.341","-0.752","-0.205","-0.016","1.0000e+00","Female","-0.040"
"ASD","PD",0,35,"  NA","0.005","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"ASD","SCZ",0,35,"  NA","0.005","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"MCI","PD",0,22,"  NA","0.045","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"MCI","SCZ",0,22,"  NA","0.045","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"PD","SCZ",0,0,"  NA","  NA","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"CN","AD",232,2458,"0.029","0.094","0.00106","0.00000","1.9998e-04","0.742","0.470","0.606","0.065","1.3999e-03","Male","0.065"
"CN","ADHD",22,2458,"0.057","0.094","0.01541","0.00756","1.1199e-02","0.904","0.064","0.484","0.053","5.8794e-02","Male","0.036"
"CN","ASD",112,2458,"0.021","0.094","0.00106","0.00000","1.9998e-04","0.635","0.255","0.445","0.049","1.3999e-03","Male","0.072"
"CN","MCI",37,2458,"0.041","0.094","0.00106","0.00000","1.9998e-04","1.027","0.376","0.702","0.076","1.3999e-03","Male","0.053"
"CN","PD",0,2458,"  NA","0.094","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"CN","SCZ",0,2458,"  NA","0.094","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"AD","ADHD",22,232,"0.057","0.029","0.47309","0.42983","4.5135e-01","0.284","-0.596","-0.156","-0.012","1.0000e+00","Male","-0.029"
"AD","ASD",112,232,"0.021","0.029","0.13778","0.11266","1.2499e-01","0.047","-0.407","-0.180","-0.016","3.7496e-01","Male","0.007"
"AD","MCI",37,232,"0.041","0.029","0.41508","0.37390","3.9436e-01","0.500","-0.197","0.151","0.011","1.0000e+00","Male","-0.012"
"AD","PD",0,232,"  NA","0.029","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"AD","SCZ",0,232,"  NA","0.029","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"ADHD","ASD",112,22,"0.021","0.057","0.93178","0.88031","9.0611e-01","0.422","-0.501","-0.040","-0.004","1.0000e+00","Male","0.036"
"ADHD","MCI",37,22,"0.041","0.057","0.11176","0.08910","1.0019e-01","1.010","-0.082","0.464","0.023","3.7496e-01","Male","0.016"
"ADHD","PD",0,22,"  NA","0.057","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"ADHD","SCZ",0,22,"  NA","0.057","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"ASD","MCI",37,112,"0.041","0.021","0.13674","0.11171","1.2399e-01","0.658","-0.094","0.282","0.028","3.7496e-01","Male","-0.020"
"ASD","PD",0,112,"  NA","0.021","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"ASD","SCZ",0,112,"  NA","0.021","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"MCI","PD",0,37,"  NA","0.041","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"MCI","SCZ",0,37,"  NA","0.041","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
"PD","SCZ",0,0,"  NA","  NA","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Male","  NA"
