"Group 1","Group 2","Sample size G1","Sample size G2","Median IQR Group 2","Median IQR Group 1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Sex","Median group difference"
"CN","AD",188,2794,"0.025","0.029","0.04996","0.03497","4.2196e-02","0.292","-0.004","0.144","0.010","8.8611e-01","Female","0.004"
"CN","ADHD",0,2794,"  NA","0.029","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"CN","ASD",35,2794,"0.000","0.029","0.18985","0.16055","1.7498e-01","0.549","-0.118","0.216","0.014","1.0000e+00","Female","0.028"
"CN","MCI",22,2794,"0.020","0.029","0.40264","0.36195","3.8216e-01","0.611","-0.229","0.191","0.013","1.0000e+00","Female","0.008"
"CN","PD",0,2794,"  NA","0.029","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"CN","SCZ",0,2794,"  NA","0.029","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"AD","ADHD",0,188,"  NA","0.025","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"AD","ASD",35,188,"0.000","0.025","0.80372","0.75329","7.7852e-01","0.439","-0.287","0.076","0.005","1.0000e+00","Female","0.024"
"AD","MCI",22,188,"0.020","0.025","1.00000","0.95476","9.8070e-01","0.497","-0.392","0.053","0.003","1.0000e+00","Female","0.004"
"AD","PD",0,188,"  NA","0.025","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
"AD","SCZ",0,188,"  NA","0.025","1.00000","1.99894","1.0000e+00"," NaN"," NaN"," NaN"," NaN","1.0000e+00","Female","  NA"
