"Group 1","Group 2","Sample size G1","Sample size G2","Median centile G2","Median centile G1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Significance"
"AD>AD","MCI>MCI",65,421,0.035378303112275,0.0321590276911068,0.82562568165695,0.666331335835165,0.746,0.226491089989593,-0.297231862482088,-0.0353703862462473,-0.00190601268858656,0.746,NA
"AD>AD","MCI>AD",19,421,0.0597449062511192,0.0321590276911068,0.280403713198552,0.175609631496557,0.226,0.151685612951115,-0.771136973701706,-0.309725680375295,-0.0171612370090703,0.3375,NA
"AD>AD","CN>MCI",37,421,0.0749761784435387,0.0321590276911068,0.0218893568825813,0.000676966588272791,0.008,-0.228296760197181,-0.906254051643823,-0.567275405920502,-0.0317561033698695,0.0333333333333333,"*"
"AD>AD","CN>AD",11,421,0.0658921379359121,0.0321590276911068,0.014827353589066,1.00350935899944e-05,0.004,-0.53255535095615,-1.74278020434437,-1.13766777765026,-0.065746088046756,0.0333333333333333,"*"
"AD>AD","OTHER>AD",2,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>MCI","MCI>AD",19,65,0.0597449062511192,0.035378303112275,0.328327870958391,0.215331004698455,0.27,0.22791427193476,-0.81359723461557,-0.292841481340405,-0.0152552243204837,0.3375,NA
"MCI>MCI","CN>MCI",37,65,0.0749761784435387,0.035378303112275,0.025105151966053,0.00134732947568434,0.01,-0.123485718147081,-0.954246956988891,-0.538866337567986,-0.029850090681283,0.0333333333333333,"*"
"MCI>MCI","CN>AD",11,65,0.0658921379359121,0.035378303112275,0.0311994061179701,0.00308224782619162,0.014,-0.311491158825353,-1.6488073374897,-0.980149248157527,-0.0638400753581694,0.035,"*"
"MCI>MCI","OTHER>AD",2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>AD","CN>MCI",37,19,0.0749761784435387,0.0597449062511192,0.566056595348868,0.423844356970711,0.494,0.351128490433688,-0.783540895681561,-0.216206202623937,-0.0145948663607992,0.548888888888889,NA
"MCI>AD","CN>AD",11,19,0.0658921379359121,0.0597449062511192,0.271627665165209,0.168450770615723,0.218,0.276784138296779,-1.29871724796431,-0.510966554833765,-0.0485848510376857,0.3375,NA
"MCI>AD","OTHER>AD",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>MCI","CN>AD",11,37,0.0658921379359121,0.0749761784435387,0.302256003155282,0.193595547321384,0.246,0.299219949253388,-1.09289214505661,-0.39683609790161,-0.0339899846768865,0.3375,NA
"CN>MCI","OTHER>AD",2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>AD","OTHER>AD",2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
