"Group 1","Group 2","Sample size G1","Sample size G2","Median centile G2","Median centile G1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Significance"
"AD>AD","MCI>MCI",65,421,0.0286823435564417,0.0242700076155873,0.593157714464916,0.448541728531728,0.52,0.195386147846309,-0.328384902230865,-0.0664993771922779,-0.00272462110011831,0.57,NA
"AD>AD","MCI>AD",19,421,0.0547607381715733,0.0242700076155873,0.0637927501797857,0.0179773606694551,0.038,-0.234167319172732,-1.16069720830278,-0.697432263737756,-0.029530186297652,0.0633333333333333,NA
"AD>AD","CN>MCI",37,421,0.0569639847514668,0.0242700076155873,0.0105791632410774,0,0.002,-0.594571914064023,-1.27941147349702,-0.936991693780521,-0.0414590179862949,0.00666666666666667,"**"
"AD>AD","CN>AD",11,421,0.045987946519897,0.0242700076155873,0.0105791632410774,0,0.002,-0.902969366369196,-2.12049519060638,-1.51173227848779,-0.0686756578968196,0.00666666666666667,"**"
"AD>AD","OTHER>AD",2,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>MCI","MCI>AD",19,65,0.0547607381715733,0.0286823435564417,0.05601330742502,0.0138499141162613,0.032,-0.0954602421667344,-1.15056124147235,-0.62301074181954,-0.0268055651975337,0.0633333333333333,NA
"MCI>MCI","CN>MCI",37,65,0.0569639847514668,0.0286823435564417,0.0105791632410774,0,0.002,-0.338627597613424,-1.18267028951985,-0.760648943566636,-0.0387343968861766,0.00666666666666667,"**"
"MCI>MCI","CN>AD",11,65,0.045987946519897,0.0286823435564417,0.0184986927076305,0.000207289327489941,0.006,-0.451139623294471,-1.80038112476232,-1.1257603740284,-0.0659510367967013,0.015,"*"
"MCI>MCI","OTHER>AD",2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>AD","CN>MCI",37,19,0.0569639847514668,0.0547607381715733,0.645049393628813,0.496263320890277,0.57,0.384933633104763,-0.748873075771535,-0.181969721333386,-0.0119288316886429,0.57,NA
"MCI>AD","CN>AD",11,19,0.045987946519897,0.0547607381715733,0.358560174454956,0.240875540332359,0.298,0.349521771626065,-1.21958972065434,-0.435033974514138,-0.0391454715991676,0.425714285714286,NA
"MCI>AD","OTHER>AD",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>MCI","CN>AD",11,37,0.045987946519897,0.0569639847514668,0.429154099784381,0.301760613744794,0.364,0.375074265292881,-1.01366672977642,-0.319296232241768,-0.0272166399105247,0.455,NA
"CN>MCI","OTHER>AD",2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>AD","OTHER>AD",2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
