"Diagnostic change (from -> to)","Sex","Sample size","Age (in days)","Age range (in years)","Percentage female"
"AD->AD","Female",188,26751.3,1,44.66
"AD->AD","Male",233,27325.6,1,55.34
"CN->AD","Female",5,27179.1,1.1,45.45
"CN->AD","Male",6,27229,1.1,54.55
"CN->MCI","Female",17,27964.8,1.1,45.95
"CN->MCI","Male",20,26317.2,1.1,54.05
"MCI->AD","Female",6,27028.1,1.1,31.58
"MCI->AD","Male",13,27944,1.1,68.42
"MCI->MCI","Female",26,26865.5,1,40
"MCI->MCI","Male",39,26952.4,1,60
"OTHER->AD","Female",2,27856,1,100
