Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,ABNORMAL VENTRICAL,38839,73,0.497,0.486,0.51835,0.307,-0.152,0.077,0.022,0.6568,Female,0.011
CN,AD,38839,529,0.497,0.152,0.0002,0.964,0.792,0.878,0.251,0.0008,Female,0.345
CN,ADHD,38839,329,0.497,0.518,0.34997,0.16,-0.057,0.052,0.015,0.4815,Female,-0.021
CN,Anorexia/Bulima,38839,105,0.497,0.481,0.64814,0.236,-0.147,0.044,0.013,0.7828,Female,0.016
CN,Anxiety/Phobia,38839,1039,0.497,0.484,0.31697,0.092,-0.031,0.031,0.009,0.4426,Female,0.013
CN,ASD,38839,381,0.497,0.513,0.24838,0.044,-0.158,-0.057,-0.016,0.3632,Female,-0.016
CN,Attention & Learning difficulty,38839,99,0.497,0.197,0.0002,0.92,0.525,0.722,0.206,0.0008,Female,0.3
CN,BD,38839,111,0.497,0.432,0.12739,0.327,-0.045,0.141,0.04,0.2101,Female,0.065
CN,BIPOLAR/PSYCH-RELATIVE,38839,47,0.497,0.594,0.18038,0.091,-0.481,-0.195,-0.056,0.2843,Female,-0.097
CN,Chronic Pain,38839,63,0.497,0.363,0.001,0.669,0.174,0.422,0.121,0.003,Female,0.134
CN,DEMENTIA - LBD,38839,21,0.497,0.06,0.0002,1.692,0.836,1.264,0.361,0.0008,Female,0.437
CN,EMCI,38839,139,0.497,0.621,0.0016,-0.117,-0.45,-0.284,-0.081,0.0044,Female,-0.124
CN,LMCI,38839,216,0.497,0.313,0.0002,0.593,0.326,0.46,0.131,0.0008,Female,0.184
CN,MCI,38839,253,0.497,0.302,0.0002,0.549,0.302,0.426,0.122,0.0008,Female,0.195
CN,MCI-Risk,38839,0,0.497,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,MDD,38839,3461,0.497,0.481,0.045,0.07,0.001,0.035,0.01,0.084,Female,0.016
CN,ND,38839,100,0.497,0.284,0.0002,0.711,0.319,0.515,0.147,0.0008,Female,0.213
CN,OCD,38839,74,0.497,0.477,0.78232,0.26,-0.197,0.032,0.009,0.8982,Female,0.02
CN,Other,38839,117,0.497,0.435,0.37736,0.262,-0.101,0.081,0.023,0.5146,Female,0.062
CN,OTHER,38839,56,0.497,0.413,0.0336,0.545,0.021,0.283,0.081,0.0651,Female,0.084
CN,Other Psychiatric,38839,111,0.497,0.423,0.041,0.376,0.003,0.189,0.054,0.0778,Female,0.074
CN,PD,38839,67,0.497,0.646,0.0016,-0.154,-0.634,-0.394,-0.113,0.0044,Female,-0.149
CN,SAD,38839,150,0.497,0.444,0.07139,0.309,-0.011,0.149,0.043,0.1272,Female,0.053
CN,Schizoaffective Disorder,38839,53,0.497,0.267,0.0002,0.822,0.283,0.553,0.158,0.0008,Female,0.23
CN,Schizoaffective Disorder - Relative,38839,48,0.497,0.497,0.53955,0.372,-0.194,0.089,0.025,0.6799,Female,0
CN,SCZ,38839,315,0.497,0.228,0.0002,0.687,0.465,0.576,0.165,0.0008,Female,0.269
CN,SCZ-Relative,38839,138,0.497,0.365,0.0008,0.462,0.128,0.295,0.084,0.0025,Female,0.132
CN,SMC,38839,59,0.497,0.713,0.0002,-0.333,-0.844,-0.589,-0.168,0.0008,Female,-0.216
CN,SPECIFIC PHOBIA,38839,159,0.497,0.462,0.39156,0.224,-0.087,0.068,0.02,0.5293,Female,0.035
CN,Subacute Pain,38839,28,0.497,0.4,0.10979,0.675,-0.066,0.305,0.087,0.1877,Female,0.096
ABNORMAL VENTRICAL,AD,73,529,0.486,0.152,0.0002,1.131,0.63,0.881,0.229,0.0008,Female,0.334
ABNORMAL VENTRICAL,ADHD,73,329,0.486,0.518,0.84852,0.229,-0.279,-0.025,-0.007,0.9577,Female,-0.031
ABNORMAL VENTRICAL,Anorexia/Bulima,73,105,0.486,0.481,0.85431,0.269,-0.333,-0.032,-0.009,0.9619,Female,0.005
ABNORMAL VENTRICAL,Anxiety/Phobia,73,1039,0.486,0.484,0.71693,0.191,-0.284,-0.046,-0.013,0.8414,Female,0.002
ABNORMAL VENTRICAL,ASD,73,381,0.486,0.513,0.33077,0.129,-0.373,-0.122,-0.038,0.4578,Female,-0.027
ABNORMAL VENTRICAL,Attention & Learning difficulty,73,99,0.486,0.197,0.0002,0.981,0.356,0.668,0.184,0.0008,Female,0.289
ABNORMAL VENTRICAL,BD,73,111,0.486,0.432,0.67853,0.361,-0.234,0.063,0.018,0.8132,Female,0.054
ABNORMAL VENTRICAL,BIPOLAR/PSYCH-RELATIVE,73,47,0.486,0.594,0.15398,0.102,-0.642,-0.27,-0.078,0.2486,Female,-0.108
ABNORMAL VENTRICAL,Chronic Pain,73,63,0.486,0.363,0.0488,0.678,-0.007,0.335,0.098,0.0897,Female,0.123
ABNORMAL VENTRICAL,DEMENTIA - LBD,73,21,0.486,0.06,0.0002,1.796,0.745,1.27,0.339,0.0008,Female,0.427
ABNORMAL VENTRICAL,EMCI,73,139,0.486,0.621,0.0128,-0.077,-0.651,-0.364,-0.103,0.0279,Female,-0.135
ABNORMAL VENTRICAL,LMCI,73,216,0.486,0.313,0.0042,0.652,0.116,0.384,0.109,0.0101,Female,0.173
ABNORMAL VENTRICAL,MCI,73,253,0.486,0.302,0.015,0.597,0.072,0.335,0.1,0.0323,Female,0.184
ABNORMAL VENTRICAL,MCI-Risk,73,0,0.486,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,MDD,73,3461,0.486,0.481,0.72413,0.19,-0.273,-0.041,-0.012,0.846,Female,0.006
ABNORMAL VENTRICAL,ND,73,100,0.486,0.284,0.0058,0.738,0.123,0.431,0.125,0.0135,Female,0.202
ABNORMAL VENTRICAL,OCD,73,74,0.486,0.477,0.77532,0.281,-0.371,-0.045,-0.013,0.8931,Female,0.009
ABNORMAL VENTRICAL,Other,73,117,0.486,0.435,0.9613,0.298,-0.29,0.004,0.001,1,Female,0.051
ABNORMAL VENTRICAL,OTHER,73,56,0.486,0.413,0.28457,0.546,-0.159,0.193,0.059,0.4047,Female,0.073
ABNORMAL VENTRICAL,Other Psychiatric,73,111,0.486,0.423,0.43596,0.413,-0.182,0.115,0.032,0.5678,Female,0.063
ABNORMAL VENTRICAL,PD,73,67,0.486,0.646,0.0046,-0.144,-0.823,-0.483,-0.135,0.0108,Female,-0.16
ABNORMAL VENTRICAL,SAD,73,150,0.486,0.444,0.59714,0.357,-0.206,0.076,0.021,0.7326,Female,0.042
ABNORMAL VENTRICAL,Schizoaffective Disorder,73,53,0.486,0.267,0.0112,0.839,0.115,0.477,0.136,0.0248,Female,0.219
ABNORMAL VENTRICAL,Schizoaffective Disorder - Relative,73,48,0.486,0.497,0.9567,0.379,-0.357,0.011,0.003,1,Female,-0.011
ABNORMAL VENTRICAL,SCZ,73,315,0.486,0.228,0.0006,0.741,0.225,0.483,0.143,0.002,Female,0.258
ABNORMAL VENTRICAL,SCZ-Relative,73,138,0.486,0.365,0.13819,0.504,-0.069,0.217,0.062,0.2261,Female,0.121
ABNORMAL VENTRICAL,SMC,73,59,0.486,0.713,0.0002,-0.353,-1.067,-0.71,-0.19,0.0008,Female,-0.227
ABNORMAL VENTRICAL,SPECIFIC PHOBIA,73,159,0.486,0.462,0.9585,0.27,-0.287,-0.008,-0.003,1,Female,0.024
ABNORMAL VENTRICAL,Subacute Pain,73,28,0.486,0.4,0.32697,0.667,-0.217,0.225,0.065,0.4552,Female,0.086
AD,ADHD,529,329,0.152,0.518,0.0002,-0.734,-1.022,-0.878,-0.236,0.0008,Female,-0.365
AD,Anorexia/Bulima,529,105,0.152,0.481,0.0002,-0.688,-1.119,-0.903,-0.238,0.0008,Female,-0.329
AD,Anxiety/Phobia,529,1039,0.152,0.484,0.0002,-0.765,-0.983,-0.874,-0.242,0.0008,Female,-0.332
AD,ASD,529,381,0.152,0.513,0.0002,-0.799,-1.077,-0.938,-0.267,0.0008,Female,-0.361
AD,Attention & Learning difficulty,529,99,0.152,0.197,0.11959,0.043,-0.387,-0.172,-0.044,0.1993,Female,-0.045
AD,BD,529,111,0.152,0.432,0.0002,-0.593,-1.013,-0.803,-0.211,0.0008,Female,-0.28
AD,BIPOLAR/PSYCH-RELATIVE,529,47,0.152,0.594,0.0002,-0.877,-1.491,-1.184,-0.307,0.0008,Female,-0.442
AD,Chronic Pain,529,63,0.152,0.363,0.0008,-0.235,-0.762,-0.499,-0.13,0.0025,Female,-0.211
AD,DEMENTIA - LBD,529,21,0.152,0.06,0.0344,0.874,-0.002,0.436,0.111,0.0664,Female,0.093
AD,EMCI,529,139,0.152,0.621,0.0002,-1.07,-1.468,-1.269,-0.332,0.0008,Female,-0.469
AD,LMCI,529,216,0.152,0.313,0.0002,-0.291,-0.612,-0.452,-0.119,0.0008,Female,-0.161
AD,MCI,529,253,0.152,0.302,0.0002,-0.324,-0.628,-0.476,-0.129,0.0008,Female,-0.15
AD,MCI-Risk,529,0,0.152,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
AD,MDD,529,3461,0.152,0.481,0.0002,-0.757,-0.944,-0.85,-0.241,0.0008,Female,-0.328
AD,ND,529,100,0.152,0.284,0.001,-0.18,-0.61,-0.395,-0.104,0.003,Female,-0.132
AD,OCD,529,74,0.152,0.477,0.0002,-0.676,-1.175,-0.925,-0.242,0.0008,Female,-0.325
AD,Other,529,117,0.152,0.435,0.0002,-0.676,-1.088,-0.882,-0.228,0.0008,Female,-0.283
AD,OTHER,529,56,0.152,0.413,0.0002,-0.367,-0.924,-0.646,-0.17,0.0008,Female,-0.261
AD,Other Psychiatric,529,111,0.152,0.423,0.0002,-0.551,-0.97,-0.76,-0.197,0.0008,Female,-0.271
AD,PD,529,67,0.152,0.646,0.0002,-1.144,-1.678,-1.411,-0.364,0.0008,Female,-0.494
AD,SAD,529,150,0.152,0.444,0.0002,-0.621,-0.995,-0.808,-0.208,0.0008,Female,-0.292
AD,Schizoaffective Disorder,529,53,0.152,0.267,0.0152,-0.075,-0.643,-0.359,-0.093,0.0326,Female,-0.115
AD,Schizoaffective Disorder - Relative,529,48,0.152,0.497,0.0002,-0.561,-1.161,-0.861,-0.225,0.0008,Female,-0.345
AD,SCZ,529,315,0.152,0.228,0.0002,-0.176,-0.457,-0.316,-0.086,0.0008,Female,-0.076
AD,SCZ-Relative,529,138,0.152,0.365,0.0002,-0.443,-0.824,-0.634,-0.166,0.0008,Female,-0.213
AD,SMC,529,59,0.152,0.713,0.0002,-1.359,-1.93,-1.645,-0.419,0.0008,Female,-0.561
AD,SPECIFIC PHOBIA,529,159,0.152,0.462,0.0002,-0.678,-1.045,-0.861,-0.231,0.0008,Female,-0.31
AD,Subacute Pain,529,28,0.152,0.4,0.0032,-0.252,-1.017,-0.635,-0.164,0.0081,Female,-0.248
ADHD,Anorexia/Bulima,329,105,0.518,0.481,0.94371,0.213,-0.228,-0.007,-0.002,1,Female,0.036
ADHD,Anxiety/Phobia,329,1039,0.518,0.484,0.71413,0.103,-0.145,-0.021,-0.006,0.8414,Female,0.034
ADHD,ASD,329,381,0.518,0.513,0.16598,0.046,-0.25,-0.102,-0.031,0.2643,Female,0.005
ADHD,Attention & Learning difficulty,329,99,0.518,0.197,0.0002,0.905,0.445,0.675,0.192,0.0008,Female,0.32
ADHD,BD,329,111,0.518,0.432,0.41716,0.304,-0.128,0.088,0.025,0.5495,Female,0.086
ADHD,BIPOLAR/PSYCH-RELATIVE,329,47,0.518,0.594,0.11599,0.063,-0.552,-0.244,-0.071,0.1954,Female,-0.076
ADHD,Chronic Pain,329,63,0.518,0.363,0.0086,0.635,0.092,0.364,0.106,0.0193,Female,0.155
ADHD,DEMENTIA - LBD,329,21,0.518,0.06,0.0002,1.675,0.771,1.223,0.347,0.0008,Female,0.458
ADHD,EMCI,329,139,0.518,0.621,0.002,-0.135,-0.535,-0.335,-0.096,0.0053,Female,-0.103
ADHD,LMCI,329,216,0.518,0.313,0.0002,0.58,0.233,0.406,0.117,0.0008,Female,0.205
ADHD,MCI,329,253,0.518,0.302,0.0002,0.529,0.198,0.364,0.107,0.0008,Female,0.215
ADHD,MCI-Risk,329,0,0.518,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ADHD,MDD,329,3461,0.518,0.481,0.75572,0.097,-0.129,-0.016,-0.005,0.8782,Female,0.037
ADHD,ND,329,100,0.518,0.284,0.0004,0.684,0.231,0.457,0.132,0.0014,Female,0.234
ADHD,OCD,329,74,0.518,0.477,0.87891,0.233,-0.273,-0.02,-0.006,0.9824,Female,0.04
ADHD,Other,329,117,0.518,0.435,0.76892,0.241,-0.182,0.029,0.008,0.8894,Female,0.083
ADHD,OTHER,329,56,0.518,0.413,0.12159,0.509,-0.06,0.225,0.066,0.2019,Female,0.105
ADHD,Other Psychiatric,329,111,0.518,0.423,0.20858,0.354,-0.078,0.138,0.039,0.317,Female,0.094
ADHD,PD,329,67,0.518,0.646,0.0014,-0.181,-0.712,-0.447,-0.127,0.0039,Female,-0.128
ADHD,SAD,329,150,0.518,0.444,0.31137,0.293,-0.095,0.099,0.028,0.4361,Female,0.074
ADHD,Schizoaffective Disorder,329,53,0.518,0.267,0.0012,0.791,0.204,0.498,0.143,0.0035,Female,0.251
ADHD,Schizoaffective Disorder - Relative,329,48,0.518,0.497,0.80232,0.34,-0.268,0.036,0.011,0.9144,Female,0.02
ADHD,SCZ,329,315,0.518,0.228,0.0002,0.669,0.355,0.512,0.15,0.0008,Female,0.29
ADHD,SCZ-Relative,329,138,0.518,0.365,0.0176,0.442,0.042,0.242,0.07,0.037,Female,0.153
ADHD,SMC,329,59,0.518,0.713,0.0002,-0.367,-0.93,-0.649,-0.183,0.0008,Female,-0.196
ADHD,SPECIFIC PHOBIA,329,159,0.518,0.462,0.88311,0.206,-0.174,0.016,0.005,0.9848,Female,0.055
ADHD,Subacute Pain,329,28,0.518,0.4,0.19898,0.638,-0.138,0.25,0.072,0.3054,Female,0.117
Anorexia/Bulima,Anxiety/Phobia,105,1039,0.481,0.484,0.89391,0.187,-0.214,-0.014,-0.004,0.9912,Female,-0.003
Anorexia/Bulima,ASD,105,381,0.481,0.513,0.40496,0.125,-0.309,-0.092,-0.029,0.538,Female,-0.031
Anorexia/Bulima,Attention & Learning difficulty,105,99,0.481,0.197,0.0002,0.965,0.397,0.681,0.194,0.0008,Female,0.284
Anorexia/Bulima,BD,105,111,0.481,0.432,0.48075,0.362,-0.175,0.094,0.028,0.6118,Female,0.049
Anorexia/Bulima,BIPOLAR/PSYCH-RELATIVE,105,47,0.481,0.594,0.19298,0.117,-0.578,-0.231,-0.068,0.3001,Female,-0.112
Anorexia/Bulima,Chronic Pain,105,63,0.481,0.363,0.0254,0.676,0.042,0.359,0.108,0.0515,Female,0.119
Anorexia/Bulima,DEMENTIA - LBD,105,21,0.481,0.06,0.0002,1.726,0.731,1.228,0.349,0.0008,Female,0.422
Anorexia/Bulima,EMCI,105,139,0.481,0.621,0.012,-0.067,-0.58,-0.324,-0.094,0.0263,Female,-0.139
Anorexia/Bulima,LMCI,105,216,0.481,0.313,0.001,0.647,0.174,0.41,0.119,0.003,Female,0.168
Anorexia/Bulima,MCI,105,253,0.481,0.302,0.0024,0.593,0.133,0.363,0.109,0.0063,Female,0.179
Anorexia/Bulima,MCI-Risk,105,0,0.481,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
Anorexia/Bulima,MDD,105,3461,0.481,0.481,0.94011,0.185,-0.203,-0.009,-0.003,1,Female,0.001
Anorexia/Bulima,ND,105,100,0.481,0.284,0.0016,0.733,0.174,0.453,0.135,0.0044,Female,0.197
Anorexia/Bulima,OCD,105,74,0.481,0.477,0.9551,0.287,-0.312,-0.012,-0.004,1,Female,0.004
Anorexia/Bulima,Other,105,117,0.481,0.435,0.80732,0.302,-0.228,0.037,0.01,0.9179,Female,0.046
Anorexia/Bulima,OTHER,105,56,0.481,0.413,0.18158,0.548,-0.107,0.221,0.068,0.2853,Female,0.068
Anorexia/Bulima,Other Psychiatric,105,111,0.481,0.423,0.29437,0.414,-0.124,0.145,0.041,0.4161,Female,0.058
