Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,33060,528,0.498,0.131,0.0002,1.031,0.858,0.944,0.27,0.0004,Female,0.367
CN,ADHD,33060,222,0.498,0.431,0.0338,0.276,0.012,0.144,0.041,0.0507,Female,0.067
CN,Anxiety/Phobia,33060,975,0.498,0.49,0.81152,0.072,-0.056,0.008,0.002,0.8115,Female,0.008
CN,ASD,33060,365,0.498,0.501,0.40716,0.059,-0.148,-0.045,-0.013,0.4442,Female,-0.002
CN,LMCI,33060,217,0.498,0.297,0.0002,0.661,0.393,0.527,0.151,0.0004,Female,0.201
CN,MCI,33060,245,0.498,0.317,0.0002,0.539,0.287,0.413,0.118,0.0004,Female,0.181
CN,MDD,33060,3158,0.498,0.488,0.16138,0.062,-0.011,0.026,0.007,0.2075,Female,0.01
CN,SCZ,33060,75,0.498,0.248,0.0002,0.811,0.357,0.584,0.167,0.0004,Female,0.25
AD,ADHD,528,222,0.131,0.431,0.0002,-0.685,-1.011,-0.848,-0.228,0.0004,Female,-0.3
AD,Anxiety/Phobia,528,975,0.131,0.49,0.0002,-0.85,-1.073,-0.961,-0.267,0.0004,Female,-0.359
AD,ASD,528,365,0.131,0.501,0.0002,-0.885,-1.169,-1.027,-0.282,0.0004,Female,-0.37
AD,LMCI,528,217,0.131,0.297,0.0002,-0.292,-0.612,-0.452,-0.119,0.0004,Female,-0.166
AD,MCI,528,245,0.131,0.317,0.0002,-0.407,-0.716,-0.562,-0.151,0.0004,Female,-0.186
AD,MDD,528,3158,0.131,0.488,0.0002,-0.826,-1.015,-0.921,-0.262,0.0004,Female,-0.357
AD,SCZ,528,75,0.131,0.248,0.002,-0.159,-0.645,-0.402,-0.103,0.0034,Female,-0.117
ADHD,Anxiety/Phobia,222,975,0.431,0.49,0.07699,0.014,-0.278,-0.132,-0.039,0.1066,Female,-0.059
ADHD,ASD,222,365,0.431,0.501,0.0432,-0.009,-0.344,-0.176,-0.054,0.0622,Female,-0.069
ADHD,LMCI,222,217,0.431,0.297,0.0002,0.557,0.179,0.368,0.11,0.0004,Female,0.134
ADHD,MCI,222,245,0.431,0.317,0.0066,0.436,0.07,0.253,0.077,0.0103,Female,0.114
ADHD,MDD,222,3158,0.431,0.488,0.09279,0.02,-0.252,-0.116,-0.034,0.1237,Female,-0.057
ADHD,SCZ,222,75,0.431,0.248,0.003,0.686,0.156,0.421,0.126,0.0049,Female,0.183
Anxiety/Phobia,ASD,975,365,0.49,0.501,0.39956,0.069,-0.171,-0.051,-0.015,0.4442,Female,-0.011
Anxiety/Phobia,LMCI,975,217,0.49,0.297,0.0002,0.66,0.362,0.511,0.148,0.0004,Female,0.193
Anxiety/Phobia,MCI,975,245,0.49,0.317,0.0002,0.536,0.254,0.395,0.116,0.0004,Female,0.173
Anxiety/Phobia,MDD,975,3158,0.49,0.488,0.62334,0.09,-0.054,0.018,0.005,0.66,Female,0.002
Anxiety/Phobia,SCZ,975,75,0.49,0.248,0.0002,0.804,0.332,0.568,0.165,0.0004,Female,0.242
ASD,LMCI,365,217,0.501,0.297,0.0002,0.719,0.376,0.547,0.163,0.0004,Female,0.204
ASD,MCI,365,245,0.501,0.317,0.0002,0.594,0.266,0.43,0.131,0.0004,Female,0.184
ASD,MDD,365,3158,0.501,0.488,0.22678,0.178,-0.039,0.069,0.02,0.2721,Female,0.013
ASD,SCZ,365,75,0.501,0.248,0.0002,0.851,0.347,0.599,0.18,0.0004,Female,0.253
LMCI,MCI,217,245,0.297,0.317,0.24178,0.074,-0.293,-0.11,-0.033,0.2808,Female,-0.02
LMCI,MDD,217,3158,0.297,0.488,0.0002,-0.357,-0.633,-0.495,-0.143,0.0004,Female,-0.191
LMCI,SCZ,217,75,0.297,0.248,0.66353,0.321,-0.207,0.057,0.016,0.6825,Female,0.049
MCI,MDD,245,3158,0.317,0.488,0.0002,-0.251,-0.511,-0.381,-0.111,0.0004,Female,-0.171
MCI,SCZ,245,75,0.317,0.248,0.21718,0.424,-0.096,0.164,0.049,0.2696,Female,0.069
MDD,SCZ,3158,75,0.488,0.248,0.0002,0.781,0.322,0.551,0.16,0.0004,Female,0.24
CN,AD,33121,456,0.497,0.128,0.0002,1.065,0.879,0.972,0.276,0.0003,Male,0.368
CN,ADHD,33121,639,0.497,0.459,0.0432,0.158,0.002,0.08,0.023,0.0518,Male,0.038
CN,Anxiety/Phobia,33121,565,0.497,0.47,0.43156,0.117,-0.049,0.034,0.01,0.4855,Male,0.027
CN,ASD,33121,1607,0.497,0.531,0.001,-0.032,-0.132,-0.082,-0.023,0.0016,Male,-0.034
CN,LMCI,33121,341,0.497,0.173,0.0002,0.933,0.719,0.826,0.234,0.0003,Male,0.324
CN,MCI,33121,188,0.497,0.27,0.0002,0.728,0.441,0.584,0.166,0.0003,Male,0.227
CN,MDD,33121,1635,0.497,0.492,0.59094,0.063,-0.036,0.013,0.004,0.6257,Male,0.005
CN,SCZ,33121,212,0.497,0.238,0.0002,0.72,0.45,0.585,0.166,0.0003,Male,0.259
AD,ADHD,456,639,0.128,0.459,0.0002,-0.781,-1.033,-0.907,-0.253,0.0003,Male,-0.33
AD,Anxiety/Phobia,456,565,0.128,0.47,0.0002,-0.856,-1.118,-0.987,-0.266,0.0003,Male,-0.342
AD,ASD,456,1607,0.128,0.531,0.0002,-0.912,-1.13,-1.021,-0.299,0.0003,Male,-0.402
AD,LMCI,456,341,0.128,0.173,0.025,-0.02,-0.302,-0.161,-0.041,0.031,Male,-0.045
AD,MCI,456,188,0.128,0.27,0.0002,-0.253,-0.596,-0.425,-0.11,0.0003,Male,-0.142
AD,MDD,456,1635,0.128,0.492,0.0002,-0.859,-1.075,-0.967,-0.272,0.0003,Male,-0.364
AD,SCZ,456,212,0.128,0.238,0.0002,-0.254,-0.583,-0.419,-0.109,0.0003,Male,-0.11
ADHD,Anxiety/Phobia,639,565,0.459,0.47,0.45115,0.069,-0.158,-0.045,-0.013,0.4922,Male,-0.011
ADHD,ASD,639,1607,0.459,0.531,0.0012,-0.06,-0.244,-0.152,-0.046,0.0018,Male,-0.072
ADHD,LMCI,639,341,0.459,0.173,0.0002,0.869,0.598,0.734,0.212,0.0003,Male,0.286
ADHD,MCI,639,188,0.459,0.27,0.0002,0.649,0.32,0.484,0.143,0.0003,Male,0.189
ADHD,MDD,639,1635,0.459,0.492,0.15658,0.027,-0.156,-0.065,-0.019,0.1818,Male,-0.033
ADHD,SCZ,639,212,0.459,0.238,0.0002,0.64,0.326,0.483,0.143,0.0003,Male,0.221
Anxiety/Phobia,ASD,565,1607,0.47,0.531,0.0234,-0.014,-0.206,-0.11,-0.033,0.0301,Male,-0.061
Anxiety/Phobia,LMCI,565,341,0.47,0.173,0.0002,0.944,0.665,0.805,0.225,0.0003,Male,0.297
Anxiety/Phobia,MCI,565,188,0.47,0.27,0.0002,0.715,0.38,0.547,0.156,0.0003,Male,0.2
Anxiety/Phobia,MDD,565,1635,0.47,0.492,0.69773,0.076,-0.116,-0.02,-0.006,0.7177,Male,-0.022
Anxiety/Phobia,SCZ,565,212,0.47,0.238,0.0002,0.706,0.385,0.545,0.156,0.0003,Male,0.232
ASD,LMCI,1607,341,0.531,0.173,0.0002,0.984,0.744,0.864,0.258,0.0003,Male,0.358
ASD,MCI,1607,188,0.531,0.27,0.0002,0.778,0.473,0.626,0.189,0.0003,Male,0.261
ASD,MDD,1607,1635,0.531,0.492,0.0078,0.16,0.023,0.092,0.027,0.0104,Male,0.039
ASD,SCZ,1607,212,0.531,0.238,0.0002,0.771,0.481,0.626,0.189,0.0003,Male,0.293
LMCI,MCI,341,188,0.173,0.27,0.0072,-0.072,-0.43,-0.251,-0.069,0.01,Male,-0.097
LMCI,MDD,341,1635,0.173,0.492,0.0002,-0.687,-0.926,-0.806,-0.231,0.0003,Male,-0.319
LMCI,SCZ,341,212,0.173,0.238,0.006,-0.075,-0.42,-0.247,-0.068,0.0086,Male,-0.065
MCI,MDD,188,1635,0.27,0.492,0.0002,-0.409,-0.713,-0.561,-0.162,0.0003,Male,-0.222
MCI,SCZ,188,212,0.27,0.238,0.9855,0.198,-0.196,0.001,0,0.9855,Male,0.032
MDD,SCZ,1635,212,0.492,0.238,0.0002,0.705,0.416,0.56,0.162,0.0003,Male,0.254
