Dx,p value (Hardigan's dip test of unimodality),D-statistic (Hardigan's dip test of unimodality),Number of inflection points in smoothed distribution,Sex
ASD,0.16,0.023903422,3,Female
SCZ,0.79,0.034194597,1,Female
ADHD,0.2,0.029247106,2,Female
AD,0.85,0.01294021,2,Female
MCI,0.55,0.022533318,2,Female
MDD,0.72,0.005886467,4,Female
Anxiety/Phobia,0.79,0.01005486,3,Female
ASD,0.01,0.016003465,3,Male
SCZ,0.89,0.019398318,1,Male
ADHD,0.45,0.015006297,3,Male
AD,0.99,0.010673569,2,Male
MCI,0.44,0.027216966,1,Male
MDD,0.8,0.007754191,3,Male
Anxiety/Phobia,0.98,0.010571162,2,Male
