Dx,p value (Hardigan's dip test of unimodality),D-statistic (Hardigan's dip test of unimodality),Number of inflection points in smoothed distribution,Sex
ASD,0.02,0.030701166,3,Female
SCZ,0.94,0.02957128,1,Female
ADHD,0.35,0.026428672,3,Female
AD,0.88,0.012606154,2,Female
MCI,0.32,0.02575422,2,Female
MDD,0.62,0.006246072,3,Female
Anxiety/Phobia,0.98,0.007909917,3,Female
ASD,0.64,0.008629598,3,Male
SCZ,0.82,0.020577652,2,Male
ADHD,0.76,0.012599882,3,Male
AD,0.19,0.020999158,2,Male
MCI,0.59,0.025108318,2,Male
MDD,0.2,0.011105127,3,Male
Anxiety/Phobia,0.07,0.021518944,4,Male
