"Group 1","Group 2","Sample size G1","Sample size G2","Median IQR Group 2","Median IQR Group 1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Sex","Median group difference"
"CN","AD",188,3180,"0.023","0.032","0.00106","0.00000","1.9998e-04","0.442","0.148","0.295","0.020","1.3999e-03","Female","0.009"
"CN","ADHD",47,3180,"0.009","0.032","0.00428","0.00074","2.1998e-03","0.646","0.069","0.358","0.025","9.2391e-03","Female","0.023"
"CN","ASD",38,3180,"0.013","0.032","0.69921","0.65030","6.7473e-01","0.401","-0.239","0.081","0.006","6.7473e-01","Female","0.019"
"CN","MCI",26,3180,"0.033","0.032","0.20290","0.17268","1.8758e-01","0.632","-0.141","0.246","0.017","2.8137e-01","Female","-0.001"
"CN","PD",28,3180,"0.011","0.032","0.00106","0.00000","1.9998e-04","0.999","0.254","0.627","0.043","1.3999e-03","Female","0.021"
"CN","SCZ",17,3180,"0.012","0.032","0.00667","0.00193","3.9996e-03","0.985","0.031","0.508","0.035","1.3999e-02","Female","0.020"
"AD","ADHD",47,188,"0.009","0.023","0.65945","0.61130","6.3534e-01","0.410","-0.233","0.089","0.005","6.7473e-01","Female","0.013"
"AD","ASD",38,188,"0.013","0.023","0.18549","0.15651","1.7078e-01","0.092","-0.610","-0.259","-0.015","2.7588e-01","Female","0.010"
"AD","MCI",26,188,"0.033","0.023","0.69336","0.64456","6.6893e-01","0.346","-0.479","-0.067","-0.003","6.7473e-01","Female","-0.011"
"AD","PD",28,188,"0.011","0.023","0.00106","0.00000","1.9998e-04","0.904","0.100","0.502","0.023","1.3999e-03","Female","0.012"
"AD","SCZ",17,188,"0.012","0.023","0.12038","0.09687","1.0839e-01","0.816","-0.185","0.315","0.015","2.0692e-01","Female","0.011"
"ADHD","ASD",38,47,"0.013","0.009","0.24381","0.21093","2.2718e-01","0.168","-0.704","-0.268","-0.019","3.1805e-01","Female","-0.004"
"ADHD","MCI",26,47,"0.033","0.009","0.59214","0.54547","5.6874e-01","0.342","-0.634","-0.146","-0.008","6.7473e-01","Female","-0.024"
"ADHD","PD",28,47,"0.011","0.009","0.04931","0.03442","4.1596e-02","0.862","-0.098","0.382","0.019","1.0919e-01","Female","-0.001"
"ADHD","SCZ",17,47,"0.012","0.009","0.65400","0.60595","6.2994e-01","0.762","-0.372","0.195","0.010","6.7473e-01","Female","-0.003"
"ASD","MCI",26,38,"0.033","0.013","0.56157","0.51567","5.3855e-01","0.677","-0.342","0.168","0.011","6.7473e-01","Female","-0.020"
"ASD","PD",28,38,"0.011","0.013","0.00769","0.00251","4.7995e-03","1.106","0.090","0.598","0.038","1.4399e-02","Female","0.003"
"ASD","SCZ",17,38,"0.012","0.013","0.16470","0.13731","1.5078e-01","1.013","-0.168","0.422","0.030","2.6387e-01","Female","0.001"
"MCI","PD",28,26,"0.011","0.033","0.00149","0.00000","3.9996e-04","1.634","0.468","1.051","0.026","2.0998e-03","Female","0.023"
"MCI","SCZ",17,26,"0.012","0.033","0.06313","0.04619","5.4395e-02","1.240","-0.046","0.597","0.018","1.1423e-01","Female","0.021"
"PD","SCZ",17,28,"0.012","0.011","0.05688","0.04084","4.8595e-02","-0.017","-1.288","-0.652","-0.008","1.1339e-01","Female","-0.002"
"CN","AD",233,2840,"0.025","0.033","0.00106","0.00000","1.9998e-04","0.469","0.202","0.336","0.024","6.9993e-04","Male","0.008"
"CN","ADHD",117,2840,"0.010","0.033","0.00106","0.00000","1.9998e-04","0.669","0.298","0.484","0.035","6.9993e-04","Male","0.024"
"CN","ASD",119,2840,"0.012","0.033","0.00510","0.00112","2.7997e-03","0.435","0.068","0.251","0.018","7.3493e-03","Male","0.021"
"CN","MCI",37,2840,"0.025","0.033","0.02050","0.01127","1.5598e-02","0.672","0.022","0.347","0.025","2.7297e-02","Male","0.008"
"CN","PD",53,2840,"0.011","0.033","0.00106","0.00000","1.9998e-04","0.899","0.354","0.627","0.046","6.9993e-04","Male","0.022"
"CN","SCZ",35,2840,"0.017","0.033","0.00563","0.00138","3.1997e-03","0.724","0.057","0.390","0.028","7.4659e-03","Male","0.016"
"AD","ADHD",117,233,"0.010","0.025","0.00794","0.00265","4.9995e-03","0.520","0.072","0.296","0.011","1.0499e-02","Male","0.015"
"AD","ASD",119,233,"0.012","0.025","0.30427","0.26801","2.8597e-01","0.099","-0.345","-0.123","-0.006","4.0036e-01","Male","0.013"
"AD","MCI",37,233,"0.025","0.025","0.87664","0.82551","8.5111e-01","0.392","-0.305","0.043","0.001","8.5111e-01","Male","-0.001"
"AD","PD",53,233,"0.011","0.025","0.00106","0.00000","1.9998e-04","1.009","0.399","0.704","0.022","6.9993e-04","Male","0.014"
"AD","SCZ",35,233,"0.017","0.025","0.51980","0.47508","4.9735e-01","0.491","-0.223","0.134","0.005","5.8024e-01","Male","0.008"
"ADHD","ASD",119,117,"0.012","0.010","0.01912","0.01024","1.4399e-02","-0.055","-0.571","-0.313","-0.017","2.7297e-02","Male","-0.002"
"ADHD","MCI",37,117,"0.025","0.010","0.25226","0.21887","2.3538e-01","0.140","-0.607","-0.233","-0.010","3.5306e-01","Male","-0.016"
"ADHD","PD",53,117,"0.011","0.010","0.04844","0.03369","4.0796e-02","0.614","-0.043","0.286","0.011","6.5901e-02","Male","-0.002"
"ADHD","SCZ",35,117,"0.017","0.010","0.44461","0.40234","4.2336e-01","0.229","-0.533","-0.152","-0.007","5.2297e-01","Male","-0.008"
"ASD","MCI",37,119,"0.025","0.012","0.55265","0.50700","5.2975e-01","0.498","-0.246","0.126","0.007","5.8551e-01","Male","-0.014"
"ASD","PD",53,119,"0.011","0.012","0.00106","0.00000","1.9998e-04","0.865","0.203","0.534","0.027","6.9993e-04","Male","0.001"
"ASD","SCZ",35,119,"0.017","0.012","0.38877","0.34863","3.6856e-01","0.560","-0.201","0.179","0.010","4.8374e-01","Male","-0.005"
"MCI","PD",53,37,"0.011","0.025","0.00106","0.00000","1.9998e-04","1.425","0.526","0.976","0.020","6.9993e-04","Male","0.014"
"MCI","SCZ",35,37,"0.017","0.025","0.71493","0.66576","6.9033e-01","0.561","-0.380","0.091","0.003","7.2485e-01","Male","0.008"
"PD","SCZ",35,53,"0.017","0.011","0.00400","0.00063","1.9998e-03","-0.254","-1.145","-0.700","-0.017","5.9994e-03","Male","-0.006"
