"Group 1","Group 2","Sample size G1","Sample size G2","Median centile G2","Median centile G1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Significance"
"AD>AD","MCI>MCI",65,421,0.0352902373806824,0.0330742596991283,0.306612270710975,0.19720706408354,0.25,0.413994878948737,-0.110059289247419,0.151967794850659,0.00709685154687089,0.277777777777778,NA
"AD>AD","MCI>AD",19,421,0.0410939539560526,0.0330742596991283,0.618101703588649,0.471411990887257,0.544,0.319615729250195,-0.602484268479299,-0.141434269614552,-0.00667440611175559,0.544,NA
"AD>AD","CN>MCI",37,421,0.0554562611761241,0.0330742596991283,0.0184986927076305,0.000207289327489941,0.006,-0.271614530871688,-0.950210975794172,-0.61091275333293,-0.0309598281277509,0.015,"*"
"AD>AD","CN>AD",11,421,0.0305518269205201,0.0330742596991283,0.014827353589066,1.00350935899944e-05,0.004,-1.105239477207,-2.32760897434564,-1.71642422577632,-0.0968304795821594,0.015,"*"
"AD>AD","OTHER>AD",2,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>MCI","MCI>AD",19,65,0.0410939539560526,0.0352902373806824,0.269430331130965,0.166664414494681,0.216,0.214629467655255,-0.827246964583954,-0.306308748464349,-0.0137712576586265,0.277777777777778,NA
"MCI>MCI","CN>MCI",37,65,0.0554562611761241,0.0352902373806824,0.0184986927076305,0.000207289327489941,0.006,-0.215065230977998,-1.05093486567272,-0.633000048325359,-0.0380566796746218,0.015,"*"
"MCI>MCI","CN>AD",11,65,0.0305518269205201,0.0352902373806824,0.014827353589066,1.00350935899944e-05,0.004,-0.518168232283712,-1.8737032097867,-1.19593572103521,-0.10392733112903,0.015,"*"
"MCI>MCI","OTHER>AD",2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>AD","CN>MCI",37,19,0.0554562611761241,0.0410939539560526,0.29571295610646,0.188187003120518,0.24,0.232974398271602,-0.905891338171316,-0.336458469949857,-0.0242854220159954,0.277777777777778,NA
"MCI>AD","CN>AD",11,19,0.0305518269205201,0.0410939539560526,0.150417753020339,0.0745788192321939,0.11,0.107697720236241,-1.48671801516616,-0.68951014746496,-0.0901560734704038,0.22,NA
"MCI>AD","OTHER>AD",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>MCI","CN>AD",11,37,0.0305518269205201,0.0554562611761241,0.205034197320349,0.11554212908398,0.158,0.156230241118257,-1.2442528488425,-0.544011303862122,-0.0658706514544084,0.263333333333333,NA
"CN>MCI","OTHER>AD",2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>AD","OTHER>AD",2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
