"Group 1","Group 2","Sample size G1","Sample size G2","Median centile G2","Median centile G1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Significance"
"AD>AD","MCI>MCI",65,421,0.0289533593429619,0.0283258581513409,0.924929787067841,0.762274591518902,0.844,0.295799573141137,-0.227921874362341,0.0339388493893976,0.00141270839020055,0.937777777777778,NA
"AD>AD","MCI>AD",19,421,0.0434182075630873,0.0283258581513409,0.0311994061179701,0.00308224782619162,0.014,-0.274191729194352,-1.20126945025676,-0.737730589725558,-0.032068722703268,0.035,"*"
"AD>AD","CN>MCI",37,421,0.0639522429408883,0.0283258581513409,0.0105791632410774,0,0.002,-0.423424461840748,-1.10463184020627,-0.764028151023507,-0.0341558834882084,0.02,"*"
"AD>AD","CN>AD",11,421,0.0408661767569731,0.0283258581513409,0.706955785985483,0.553893950376575,0.63,0.487463585434996,-0.71325441465808,-0.112895414611542,-0.00476455385615283,0.7875,NA
"AD>AD","OTHER>AD",2,421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>MCI","MCI>AD",19,65,0.0434182075630873,0.0289533593429619,0.0281983656087994,0.00216117756405868,0.012,-0.195403843334746,-1.25669343107174,-0.726048637203241,-0.0334814310934686,0.035,"*"
"MCI>MCI","CN>MCI",37,65,0.0639522429408883,0.0289533593429619,0.014827353589066,1.00350935899944e-05,0.004,-0.280164541235485,-1.12015764103029,-0.700161091132887,-0.0355685918784089,0.02,"*"
"MCI>MCI","CN>AD",11,65,0.0408661767569731,0.0289533593429619,0.65539381558859,0.505841660960416,0.58,0.49177949788526,-0.808474858398409,-0.158347680256574,-0.00617726224635338,0.7875,NA
"MCI>MCI","OTHER>AD",2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>AD","CN>MCI",37,19,0.0639522429408883,0.0434182075630873,1,0.8689492062818,0.952,0.535030589935146,-0.596738280818264,-0.0308538454415595,-0.00208716078494033,0.952,NA
"MCI>AD","CN>AD",11,19,0.0408661767569731,0.0434182075630873,0.282594480904098,0.177402626498051,0.228,1.23842605435217,-0.332119300645009,0.453153376853581,0.0273041688471152,0.38,NA
"MCI>AD","OTHER>AD",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>MCI","CN>AD",11,37,0.0408661767569731,0.0639522429408883,0.173361332420187,0.0914564983280874,0.13,1.16080583797274,-0.234753032939811,0.463026402516466,0.0293913296320555,0.26,NA
"CN>MCI","OTHER>AD",2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>AD","OTHER>AD",2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
