"","study","Pearson's r","p-value","t-value","df","lower ci","upper ci"
"1","3R-BRAIN","0.999999161435616","0","13984.7093427342","328","0.999998958451556","0.999999324860772"
"2","ABCD","0.99981618545737","0","4916.28682537102","8888","0.999808381779107","0.999823671357791"
"3","abide1","0.999988411702222","0","4906.68868124602","558","0.999986317913693","0.999990185076978"
"4","abide2","0.999999026034157","0","14131.479158843","389","0.999998811579589","0.999999201789673"
"5","ADHD200","0.999996833643715","0","8787.3618411147","489","0.999996218850803","0.999997348475002"
"6","ADNI","0.99999951730436","0","20507.4269810624","406","0.999999413502125","0.999999602735"
"7","AIBL","0.999999507880496","0","21595.1336211146","459","0.999999408957612","0.99999959024664"
"8","AOBA","0.99994959636258","0","3089.05172736047","962","0.999942802554641","0.999955583232361"
"9","AOMIC_ID1000","0.999988357134314","0","6295.81730012192","923","0.999986752766274","0.999989767198872"
"10","AOMIC_PIOP1","0.999999976492121","6.90913607710604e-262","38860.4160333366","71","0.999999962443118","0.999999985285776"
"11","AOMIC_PIOP2","0.999999971888029","0","62837.0567708806","222","0.999999963406217","0.999999978403903"
"12","ARWIBO","0.999998934559725","0","22450.3047616981","1074","0.99999879911822","0.99999905472546"
"13","ASRB","0.999989194789197","0","2902.02102527547","182","0.999985539907359","0.999991925879766"
"14","BabyConnectome","0.995932255373263","4.18297077647142e-123","119.044423007217","116","0.994142477381081","0.997175937512965"
"15","BGSP","0.999998981470131","0","27744.1110945187","1568","0.999998875447766","0.999999077496751"
"16","BHRCS","0.999999591664087","0","19701.7911661534","317","0.999999490920966","0.999999672470864"
"17","BIODEP","0.999999988179426","8.7090441659264e-204","47348.2193004637","53","0.999999979642737","0.999999993136309"
"18","BSNIP","0.999989837753223","0","3097.44874967246","195","0.999986534749467","0.99999233053871"
"19","CALM","0.999999845385607","7.05435794521061e-246","15573.657637466","75","0.99999975613457","0.999999901972124"
"20","CamCAN","0.999996633363796","0","4308.64603589643","125","0.99999521285931","0.999997632357669"
"21","CAMFT","0.999999994905598","1.81379832310505e-265","80484.1498776281","66","0.999999991715805","0.999999996867175"
"22","COBRE","0.999999916268601","2.2033203750021e-286","22396.5149007545","84","0.99999987124878","0.999999945546558"
"23","Cornell_C1","0.999999971445741","1.62772809016712e-233","33476.4605886185","64","0.999999953209949","0.999999982574379"
"24","Cornell_C2","0.999999962297302","1.06456071514766e-97","18922.5934837863","27","0.999999918671806","0.999999982521518"
"25","CUBA","0.999997719880652","0","6605.90019410602","199","0.999996987396753","0.999998274268681"
"26","cVEDA","0.999992952841339","0","9192.45606411919","1191","0.999992104783106","0.999993709806381"
"27","devCCNP","0.999990907945656","0","4811.62837324597","421","0.999988991443607","0.999992490801206"
"28","DLBS","0.999994730548689","0","5432.26292943668","311","0.999993416526243","0.999995782300574"
"29","EDSD","0.999999959537248","0","44464.8948064645","160","0.999999944784022","0.99999997034854"
"30","EMBARC","0.999999224926573","3.52761947261692e-106","4819.08488676069","36","0.999998496507273","0.9999996004379"
"31","FemaleASD","0.999998621585787","0","9054.17535840133","226","0.999998209916901","0.99999893858243"
"32","FinnBrain","0.99542215568183","6.74212290123511e-109","106.722022687687","105","0.993283705937785","0.996880794324444"
"33","GUSTO","0.999994014130902","0","7231.13736198104","626","0.99999299798369","0.999994882813088"
"34","HABS","0.999999777299607","0","24847.9626193911","275","0.999999717793572","0.999999824258204"
"35","HBN","0.999991249866771","0","5204.31997282132","474","0.999989521699052","0.999992693011872"
"36","HCP","0.999998015171197","0","16729.3804724498","1111","0.999997767349994","0.999998235484598"
"37","HCP_lifespanA","0.999998654228331","0","15976.3380609503","687","0.999998436962542","0.999998841293695"
"38","HCP_lifespanD","0.999993989740556","0","7370.43338532299","653","0.999992992481494","0.999994845077328"
"39","IBIS","0.998828578430708","1.0248671168449e-130","204.342929126957","98","0.998256420605856","0.999213055868633"
"40","ICBM","0.999977809226238","0","3633.62712761448","586","0.999973904999894","0.999981129323842"
"41","IMAGEN","0.999949714163344","0","4583.48200797065","2113","0.999945236839986","0.999953825438402"
"42","IMAP","0.999982393310161","0","2453.62586338448","212","0.999976939177602","0.999986557490371"
"43","IXI","0.999979182043782","0","3587.91024873347","536","0.99997533741701","0.999982427340583"
"44","KNE96","0.990228657250092","3.1238157887027e-82","68.8447466628014","94","0.985364000320857","0.993481726868543"
"45","LA5c","0.999999575318085","0","12033.8761029566","123","0.999999394391361","0.999999702192616"
"46","LATAM","0.999999993802576","1.92683886414164e-282","75684.7806683037","71","0.999999990098812","0.999999996120863"
"47","Maastricht","0.999999196640022","0","9367.83431223902","141","0.999998881104713","0.999999423192472"
"48","MCIC","0.999998890028781","1.47058533966747e-250","6296.07826013511","88","0.999998310227021","0.999999270886681"
"49","MRi-Share","0.999995568393446","0","12291.1706721266","1339","0.999995067104215","0.999996018740917"
"50","Narratives","0.999999932291877","0","36357.2569387987","179","0.999999909167499","0.999999949529191"
"51","NHGRI","0.999991745931145","0","4971.39591896471","408","0.999989975731491","0.999993203529818"
"52","NIH","0.999832529655103","0","2091.84006143794","1466","0.99981447099199","0.999848830691927"
"53","NIHPD","0.971203718925158","0","92.6876030822215","517","0.965872509011474","0.975712405471473"
"54","NTB_Yale","0.999997236072385","3.56846231121477e-154","3239.1776423337","58","0.999995354686232","0.999998355483971"
"55","OASIS3","0.999991003475156","0","5391.32514461658","523","0.999989319623148","0.999992421854617"
"56","OHSU_ADHD","0.999999361662497","0","13127.1653111286","220","0.999999168067562","0.999999510206911"
"57","OpenPain_BN1","0.999999739932547","7.29541830113042e-118","8434.17828915088","37","0.999999500172899","0.999999864683055"
"58","OpenPain_BN2","0.999999975205685","3.3268051495977e-56","17392.2016989718","15","0.999999929313175","0.999999991303074"
"59","OpenPain_PLOA","0.999999992610135","6.24128193743159e-72","34898.1965709861","18","0.999999980878149","0.999999997144099"
"60","OpenPain_RS","0.999999958674556","2.3447356570793e-111","19366.7645790244","31","0.999999915465814","0.999999979797614"
"61","OpenPain_SAB","0.999999998800746","4.87244694037649e-79","86629.4546862391","18","0.999999996896836","0.999999999536534"
"62","Oslo","0.999966752943386","0","2044.65467191152","278","0.99995792358076","0.999973729567073"
"63","Oulu","0.999999995018257","0","100183.07082215","100","0.99999999261281","0.999999996640432"
"64","PCDC","0.99974648892062","4.72810149684021e-84","313.970573367547","50","0.999556231916062","0.999855182812631"
"65","PING","0.999660374947091","0","1061.66837935123","766","0.999608673729659","0.99970524651349"
"66","Pixar","0.999988443858276","0","2572.88588132282","153","0.999984118371089","0.999991591269785"
"67","PNC","0.999946354760337","0","3520.68973308088","1330","0.999940265113562","0.999951823615699"
"68","POND","0.999997867396665","3.32188047662699e-254","4694.5416054137","94","0.999996797856221","0.999998579702698"
"69","PPMI","0.999999894230456","0","22065.9822400822","103","0.999999844072167","0.999999928254013"
"70","PREVENTAD","0.999999868745906","0","37996.897237803","379","0.999999839426076","0.999999892712111"
"71","Psyscan_Dublin","0.999998559287514","0","7263.02713648351","152","0.999998017939982","0.999998952780291"
"72","RDB","0.999998009432775","0","6437.80623884129","165","0.999997296589219","0.999998534311718"
"73","SALD","0.999931316918299","0","1851.60436876714","471","0.999917705120066","0.999942677352405"
"74","SCZIowa","0.999999661038767","0","12445.2758216279","105","0.999999502166231","0.999999769210686"
"75","SLIM","0.999992112311539","0","6835.04380718613","737","0.999990886170637","0.99999317349254"
"76","STRIVE","0.999999997787091","1.653461800142e-118","79539.3855439535","28","0.999999995294658","0.999999998959275"
"77","SWU_MDD","0.999979308183865","0","2187.31611250461","198","0.999972641747037","0.999984350210234"
"78","SYS_Adolescents","0.999995586683292","0","10702.2870522935","1011","0.999995007334045","0.99999609880495"
