"","study","Pearson's r","p-value","t-value","df","lower ci","upper ci"
"1","3R-BRAIN","0.999999566416095","0","18255.6460187151","289","0.999999453754098","0.999999655841811"
"2","ABCD","0.999609285959183","0","3371.55480197794","8888","0.999592700340954","0.999625196322316"
"3","abide1","0.999993509827092","0","6556.49680681416","558","0.999992337170784","0.999994503030224"
"4","abide2","0.999856109038074","0","1162.5085953471","389","0.999824428888581","0.99988207314077"
"5","ADHD200","0.999972781765958","0","3266.88788693422","581","0.99996797070791","0.999976870172635"
"6","ADNI","0.999999530903011","0","20802.548502489","406","0.999999430025123","0.999999613926872"
"7","AIBL","0.999999541868076","0","22406.2145743812","460","0.999999449887001","0.999999618469553"
"8","AOBA","0.999782097657636","0","1485.49298220573","962","0.999752729817442","0.99980797786656"
"9","AOMIC_ID1000","0.999994506215484","0","9165.3330872215","923","0.999993749178225","0.999995171568154"
"10","AOMIC_PIOP1","0.999999983642442","1.77154635223598e-267","46585.9472828327","71","0.999999973866681","0.999999989761357"
"11","AOMIC_PIOP2","0.999999834066031","0","25863.8864535611","222","0.999999784001212","0.999999872526684"
"12","ARWIBO","0.999936677855057","0","2914.69222829869","1076","0.999928636411773","0.99994381319209"
"13","BabyConnectome","0.907887601925348","1.29560461546313e-45","23.3252143073043","116","0.869884232157711","0.935175994200527"
"14","BGSP","0.999995073702871","0","12615.2576660371","1568","0.999994560908343","0.999995538151525"
"15","BHRCS","0.999999785409134","0","27091.5961772567","315","0.999999732278417","0.99999982799579"
"16","BSNIP","0.999994547820638","1.83728250686171e-247","3013.11533879774","99","0.99999189900731","0.99999633054268"
"17","Calgary","0.999985801785737","3.36822650428511e-188","1699.30150010244","82","0.999978052354266","0.999990815005177"
"18","CALM","0.999999418364156","2.66686337433241e-224","8029.52515751444","75","0.999999082615435","0.999999631234002"
"19","CamCAN","0.999993667241444","0","7147.24409653501","647","0.999992611217977","0.999994572335769"
"20","CAMFT","0.999999659518485","3.04507098303744e-205","9844.87236319382","66","0.999999446330492","0.999999790619394"
"21","Cornell_C1","0.999996291272322","7.00305581292609e-166","2937.38794647114","64","0.999993922750597","0.999997736697355"
"22","Cornell_C2","0.999982254761129","1.28440776123897e-61","872.208227989736","27","0.99996172227615","0.999991773498087"
"23","cVEDA","0.99985840199999","0","2050.53033287236","1191","0.999841363317499","0.999873610725194"
"24","devCCNP","0.999997428708631","0","9037.18481379215","420","0.999996885997139","0.99999787683593"
"25","dHCP","0.999517252735743","0","670.212727795852","434","0.999417212318668","0.999600123806608"
"26","DLBS","0.999981583966472","0","2910.43733015581","312","0.999976999910596","0.999985254399232"
"27","EDSD","0.999994792051152","0","3919.31294698285","160","0.999992893174624","0.999996183566798"
"28","EMBARC","0.999999181392974","1.19083958072283e-108","4753.87615479412","37","0.999998426708661","0.999999574066592"
"29","FemaleASD","0.999983721556145","0","2652.10673289431","229","0.999978896415054","0.999987443479919"
"30","FinnBrain","0.976760031933693","1.46374302911365e-166","71.4760748110945","246","0.970244703124063","0.981861873983617"
"31","GUSTO","0.999733984810227","0","1085.37270172085","627","0.999688872534986","0.999772556724576"
"32","HABS","0.999999288192485","0","13898.5608541434","275","0.99999909799601","0.999999438284162"
"33","Harvard_Fetal1","0.995870773578316","2.26628300222715e-23","50.2703693710379","21","0.990108051688098","0.998279227130838"
"34","HBN","0.999998384927331","0","12113.7222846303","474","0.999998065946088","0.999998651299407"
"35","HCP","0.999998832592201","0","21813.7512361398","1111","0.999998686832255","0.999998962172986"
"36","HCP_lifespanA","0.999972988156582","0","3565.96815477341","687","0.999968627341041","0.999976742823595"
"37","HCP_lifespanD","0.999926003942052","0","2100.4541106423","653","0.999913726549474","0.999936534220262"
"38","IBIS","0.993634335298441","9.52600240521499e-95","87.3162340090452","98","0.990537162348008","0.995719987700602"
"39","ICBM","0.999983564310605","0","4229.35703490021","588","0.999980677959251","0.999986019498088"
"40","IMAGEN","0.999091482017624","0","1077.89051315725","2114","0.999010647644526","0.999165714628674"
"41","IMAP","0.999902182320558","0","1040.90810866561","212","0.999871882328317","0.999925316593718"
"42","IXI","0.999984571201074","0","4256.17837689497","559","0.999981786224308","0.999986930343844"
"43","LA5c","0.999999301764137","0","9385.04274248578","123","0.999999004295614","0.999999510363412"
"44","MCIC","0.999999401306831","2.34838145750757e-262","8572.82565626702","88","0.999999088574859","0.999999606732933"
