,feature importance score (subtype1)
Calcarine_R,0.02285
Frontal_Sup_2_L,0.02023
Occipital_Sup_L,0.01999
Thal_PuI_L,0.01857
Caudate_R,0.01695
Temporal_Inf_L,0.01695
Red_N_L,0.01693
Calcarine_L,0.01655
Supp_Motor_Area_L,0.01649
Supp_Motor_Area_R,0.01615
SN_pc_L,0.01604
Thal_PuI_R,0.01579
VTA_L,0.01527
Precentral_L,0.01524
OFCmed_R,0.01456
LC_L,0.01438
Frontal_Sup_2_R,0.01375
OFCant_R,0.01343
Caudate_L,0.01335
Thal_MGN_R,0.0133
Temporal_Sup_R,0.01297
Thal_MGN_L,0.01261
Paracentral_Lobule_L,0.01246
Rectus_R,0.01233
Thal_LGN_R,0.01226
Raphe_D,0.01218
Thal_VL_R,0.01211
Parietal_Inf_L,0.01195
Cingulate_Post_L,0.01194
Frontal_Inf_Orb_2_R,0.0119
Rectus_L,0.01187
SN_pr_L,0.01183
Occipital_Inf_L,0.01182
Temporal_Inf_R,0.01159
Parietal_Inf_R,0.01146
Cingulate_Post_R,0.01145
Raphe_M,0.01141
ACC_pre_R,0.01123
Heschl_R,0.01109
Postcentral_R,0.0109
OFClat_R,0.01062
Frontal_Mid_2_L,0.01042
Temporal_Pole_Sup_L,0.01027
ACC_sup_R,0.01015
Frontal_Sup_Medial_R,0.01
N_Acc_R,0.00991
Thal_PuA_R,0.00977
SupraMarginal_R,0.00976
OFCmed_L,0.00973
OFClat_L,0.00971
Rolandic_Oper_R,0.00942
Temporal_Pole_Sup_R,0.00923
Olfactory_R,0.00907
Lingual_R,0.00895
Thal_MDl_R,0.00889
Thal_IL_R,0.00877
Thal_MDm_R,0.00874
OFCant_L,0.00859
OFCpost_R,0.00852
Heschl_L,0.00821
SupraMarginal_L,0.00816
Occipital_Mid_L,0.00802
Fusiform_R,0.00791
Temporal_Mid_R,0.00783
ParaHippocampal_L,0.00779
Pallidum_R,0.00767
Thal_PuM_R,0.00762
Cuneus_L,0.00758
Thal_LGN_L,0.00758
Thal_IL_L,0.00752
SN_pr_R,0.00744
Putamen_R,0.00714
SN_pc_R,0.00707
Thal_AV_R,0.00705
Putamen_L,0.00695
Temporal_Pole_Mid_L,0.00692
Thal_LP_L,0.00687
Angular_L,0.00686
Frontal_Inf_Oper_L,0.00683
Insula_R,0.00683
Frontal_Inf_Tri_L,0.0068
Thal_Re_L,0.00679
ACC_sup_L,0.00674
Occipital_Inf_R,0.0067
Fusiform_L,0.00662
Precuneus_R,0.00652
Thal_MDm_L,0.00644
Thal_LP_R,0.00642
Temporal_Pole_Mid_R,0.00636
Rolandic_Oper_L,0.00632
Amygdala_R,0.00599
Thal_VPL_L,0.00593
Red_N_R,0.00592
Parietal_Sup_L,0.00572
Cingulate_Mid_R,0.00565
Thal_PuM_L,0.00559
Precuneus_L,0.00552
Thal_VPL_R,0.00543
Occipital_Sup_R,0.0053
OFCpost_L,0.00523
Thal_Re_R,0.00517
Cuneus_R,0.00482
Insula_L,0.00479
Thal_MDl_L,0.00478
Frontal_Sup_Medial_L,0.00478
Thal_VL_L,0.00474
ACC_pre_L,0.00473
Precentral_R,0.00462
Temporal_Mid_L,0.00461
ParaHippocampal_R,0.0046
Parietal_Sup_R,0.0044
Thal_AV_L,0.00439
Cingulate_Mid_L,0.00425
Frontal_Mid_2_R,0.00392
N_Acc_L,0.0039
Temporal_Sup_L,0.00382
Thal_VA_L,0.00376
Frontal_Inf_Orb_2_L,0.00372
Thal_PuA_L,0.00315
Thal_VA_R,0.00291
Frontal_Med_Orb_L,0.00266
Thal_PuL_L,0.00231
LC_R,0.00227
Pallidum_L,0.0021
Frontal_Med_Orb_R,0.00178
Lingual_L,0.00165
Amygdala_L,0.00157
Angular_R,0.00142
Occipital_Mid_R,0.00133
Olfactory_L,0.0009
Hippocampus_R,0.00065
VTA_R,0.0006
Hippocampus_L,0.00047
Postcentral_L,0.00035
Paracentral_Lobule_R,0.00018
ACC_sub_R,0.00014
