"Study","Sex","Sample size","Mean Age (in days)","Minimum age (in days)","Maximum age (in days)"
"3R-BRAIN","Female",146,9796.5,7081.8,13444.4
"3R-BRAIN","Male",184,9932.6,7206,13773.1
"ABCD","Female",4543,3899,3568.6,4269
"ABCD","Male",4347,3903,3568.6,4269
"abide1","Female",99,5918,3110.7,17081.3
"abide1","Male",461,6658.2,2643.1,20806.8
"abide2","Female",113,5811.1,2437.5,17300.4
"abide2","Male",278,6848.7,2430.2,23655.7
"ADHD200","Female",237,4655.5,2898.8,9889.6
"ADHD200","Male",254,4697.5,2906.1,9425.7
"ADNI","Female",205,27067.4,20526.8,32726
"ADNI","Male",203,27545.6,21878.2,32506.8
"AIBL","Female",261,26300.4,21914.7,33602.5
"AIBL","Male",200,26471.1,21914.7,32872.1
"AOBA","Female",515,16606.9,6574.4,28123.9
"AOBA","Male",449,15354.9,4748.2,29584.8
"AOMIC_ID1000","Female",483,8626.2,7584.9,9776.4
"AOMIC_ID1000","Male",442,8622.2,7219.7,9776.4
"AOMIC_PIOP1","Female",44,8091.4,6665.7,9496.4
"AOMIC_PIOP1","Male",29,7909.4,6665.7,9587.7
"AOMIC_PIOP2","Female",128,7971.9,6665.7,9313.7
"AOMIC_PIOP2","Male",96,8082,6665.7,9405.1
"ARWIBO","Female",672,18825.3,7304.9,32141.6
"ARWIBO","Male",404,19393.2,8400.6,32872.1
"ASRB","Female",93,14891.6,6844.4,23280.4
"ASRB","Male",91,15180.8,6844.4,24010.9
"BabyConnectome","Female",59,579.6,310.4,1010.1
"BabyConnectome","Male",59,652.3,310.4,1010.1
"BGSP","Female",905,7838.8,6939.7,12783.6
"BGSP","Male",665,7907.4,6939.7,12783.6
"BHRCS","Female",146,3999.6,2716,6636.9
"BHRCS","Male",173,3892.1,2400,7060.9
"BIODEP","Female",35,13383.8,9408.1,18797.9
"BIODEP","Male",20,12928.6,10178.1,16983.1
"BSNIP","Female",111,14361.7,3562.7,23280.4
"BSNIP","Male",86,14224.7,5481,23385.6
"Calgary","Female",39,1669.8,1240.2,2797.5
"Calgary","Male",45,1632.7,1221.9,2549.1
"CALM","Female",39,4126.2,2625,6174.9
"CALM","Male",38,4274.8,2993,6148.9
"CamCAN","Female",327,19941.8,6844.4,32411.6
"CamCAN","Male",320,20255.7,6844.4,32046.3
"CAMFT","Female",35,5683.3,5068.3,6275.3
"CAMFT","Male",33,5630.9,4831.3,6138.3
"CHILD","Female",17,242.2,212,362
"CHILD","Male",15,221.6,210,236
"COBRE","Female",23,13228.2,6574.4,21549.5
"COBRE","Male",63,14447.5,7670.1,23740.9
"Conte","Female",156,537.3,274,2507
"Conte","Male",144,464.5,265,2646
"Cornell_C1","Female",39,26811.1,22915.2,30950.6
"Cornell_C1","Male",27,26513.5,22184.7,30585.3
"Cornell_C2","Female",18,9604,7574.9,17071.3
"Cornell_C2","Male",11,12455.9,8670.6,23280.4
"CUBA","Female",54,13648.8,7940.1,25106.7
"CUBA","Male",147,11085.7,6844.4,20723.7
"cVEDA","Female",507,6965,2180,21914.7
"cVEDA","Male",686,7030.4,2010,24106.2
"devCCNP","Female",223,4892.5,2761,7319.2
"devCCNP","Male",200,4534.1,2655,7563.9
