Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,38231,529,0.496,0.179,0.0002,0.929,0.757,0.843,0.242,0.0005,Female,0.317
CN,ADHD,38231,329,0.496,0.527,0.32097,0.053,-0.164,-0.055,-0.016,0.3737,Female,-0.031
CN,Anxiety/Phobia,38231,1039,0.496,0.477,0.11999,0.11,-0.013,0.048,0.014,0.1702,Female,0.019
CN,ASD,38231,378,0.496,0.448,0.0164,0.23,0.028,0.129,0.037,0.0312,Female,0.048
CN,Attention & Learning difficulty,38231,99,0.496,0.181,0.0002,0.902,0.507,0.704,0.202,0.0005,Female,0.315
CN,EMCI,38231,139,0.496,0.449,0.15458,0.286,-0.047,0.12,0.034,0.2115,Female,0.047
CN,LMCI,38231,216,0.496,0.258,0.0002,0.692,0.424,0.558,0.16,0.0005,Female,0.238
CN,MCI,38231,253,0.496,0.355,0.0002,0.47,0.223,0.347,0.1,0.0005,Female,0.141
CN,MDD,38231,3461,0.496,0.492,0.51015,0.046,-0.023,0.011,0.003,0.5685,Female,0.004
CN,Other Psychiatric,38231,111,0.496,0.474,0.22218,0.302,-0.071,0.115,0.033,0.2841,Female,0.022
CN,SAD,38231,150,0.496,0.483,0.23938,0.259,-0.062,0.098,0.028,0.3012,Female,0.013
CN,SCZ,38231,315,0.496,0.351,0.0002,0.443,0.221,0.332,0.095,0.0005,Female,0.145
AD,ADHD,529,329,0.179,0.527,0.0002,-0.837,-1.127,-0.982,-0.258,0.0005,Female,-0.347
AD,Anxiety/Phobia,529,1039,0.179,0.477,0.0002,-0.724,-0.942,-0.833,-0.228,0.0005,Female,-0.297
AD,ASD,529,378,0.179,0.448,0.0002,-0.583,-0.856,-0.719,-0.205,0.0005,Female,-0.268
AD,Attention & Learning difficulty,529,99,0.179,0.181,0.15378,0.059,-0.371,-0.156,-0.039,0.2115,Female,-0.001
AD,EMCI,529,139,0.179,0.449,0.0002,-0.637,-1.022,-0.83,-0.207,0.0005,Female,-0.27
AD,LMCI,529,216,0.179,0.258,0.0004,-0.159,-0.478,-0.319,-0.081,0.0009,Female,-0.079
AD,MCI,529,253,0.179,0.355,0.0002,-0.383,-0.687,-0.535,-0.142,0.0005,Female,-0.175
AD,MDD,529,3461,0.179,0.492,0.0002,-0.746,-0.933,-0.839,-0.238,0.0005,Female,-0.313
AD,Other Psychiatric,529,111,0.179,0.474,0.0002,-0.622,-1.042,-0.832,-0.209,0.0005,Female,-0.295
AD,SAD,529,150,0.179,0.483,0.0002,-0.663,-1.037,-0.85,-0.213,0.0005,Female,-0.304
AD,SCZ,529,315,0.179,0.351,0.0002,-0.401,-0.686,-0.543,-0.146,0.0005,Female,-0.172
ADHD,Anxiety/Phobia,329,1039,0.527,0.477,0.09999,0.228,-0.02,0.104,0.03,0.15,Female,0.05
ADHD,ASD,329,378,0.527,0.448,0.0246,0.319,0.022,0.171,0.053,0.0436,Female,0.079
ADHD,Attention & Learning difficulty,329,99,0.527,0.181,0.0002,0.998,0.536,0.767,0.218,0.0005,Female,0.346
ADHD,EMCI,329,139,0.527,0.449,0.07619,0.379,-0.019,0.18,0.05,0.1165,Female,0.078
ADHD,LMCI,329,216,0.527,0.258,0.0002,0.801,0.449,0.625,0.176,0.0005,Female,0.269
ADHD,MCI,329,253,0.527,0.355,0.0002,0.561,0.229,0.395,0.115,0.0005,Female,0.172
ADHD,MDD,329,3461,0.527,0.492,0.25657,0.179,-0.047,0.066,0.019,0.3177,Female,0.035
ADHD,Other Psychiatric,329,111,0.527,0.474,0.10299,0.39,-0.042,0.174,0.049,0.1516,Female,0.053
ADHD,SAD,329,150,0.527,0.483,0.11339,0.351,-0.036,0.157,0.044,0.1638,Female,0.044
ADHD,SCZ,329,315,0.527,0.351,0.0002,0.534,0.222,0.378,0.111,0.0005,Female,0.176
Anxiety/Phobia,ASD,1039,378,0.477,0.448,0.18978,0.196,-0.04,0.078,0.023,0.2552,Female,0.029
Anxiety/Phobia,Attention & Learning difficulty,1039,99,0.477,0.181,0.0002,0.868,0.452,0.66,0.189,0.0005,Female,0.296
Anxiety/Phobia,EMCI,1039,139,0.477,0.449,0.41736,0.25,-0.105,0.072,0.021,0.4787,Female,0.027
Anxiety/Phobia,LMCI,1039,216,0.477,0.258,0.0002,0.663,0.366,0.515,0.146,0.0005,Female,0.218
Anxiety/Phobia,MCI,1039,253,0.477,0.355,0.0002,0.435,0.159,0.297,0.086,0.0005,Female,0.122
Anxiety/Phobia,MDD,1039,3461,0.477,0.492,0.30397,0.033,-0.106,-0.037,-0.011,0.3592,Female,-0.015
Anxiety/Phobia,Other Psychiatric,1039,111,0.477,0.474,0.49635,0.264,-0.128,0.068,0.019,0.5611,Female,0.003
Anxiety/Phobia,SAD,1039,150,0.477,0.483,0.55234,0.222,-0.121,0.051,0.014,0.6068,Female,-0.007
Anxiety/Phobia,SCZ,1039,315,0.477,0.351,0.0002,0.408,0.154,0.281,0.082,0.0005,Female,0.126
ASD,Attention & Learning difficulty,378,99,0.448,0.181,0.0002,0.74,0.292,0.516,0.165,0.0005,Female,0.267
ASD,EMCI,378,139,0.448,0.449,0.93511,0.186,-0.204,-0.009,-0.003,0.9473,Female,-0.002
ASD,LMCI,378,216,0.448,0.258,0.0002,0.564,0.226,0.395,0.123,0.0005,Female,0.189
ASD,MCI,378,253,0.448,0.355,0.0172,0.356,0.036,0.196,0.063,0.0319,Female,0.093
ASD,MDD,378,3461,0.448,0.492,0.0348,-0.009,-0.222,-0.115,-0.034,0.0577,Female,-0.044
ASD,Other Psychiatric,378,111,0.448,0.474,0.89591,0.2,-0.225,-0.013,-0.004,0.9195,Female,-0.026
ASD,SAD,378,150,0.448,0.483,0.77432,0.161,-0.218,-0.028,-0.009,0.8388,Female,-0.036
ASD,SCZ,378,315,0.448,0.351,0.0164,0.333,0.033,0.183,0.058,0.0312,Female,0.097
Attention & Learning difficulty,EMCI,99,139,0.181,0.449,0.0002,-0.358,-0.888,-0.623,-0.168,0.0005,Female,-0.269
Attention & Learning difficulty,LMCI,99,216,0.181,0.258,0.21078,0.087,-0.391,-0.152,-0.042,0.2787,Female,-0.078
Attention & Learning difficulty,MCI,99,253,0.181,0.355,0.0034,-0.113,-0.582,-0.348,-0.103,0.0072,Female,-0.174
Attention & Learning difficulty,MDD,99,3461,0.181,0.492,0.0002,-0.488,-0.889,-0.689,-0.199,0.0005,Female,-0.311
Attention & Learning difficulty,Other Psychiatric,99,111,0.181,0.474,0.0002,-0.338,-0.896,-0.617,-0.169,0.0005,Female,-0.293
Attention & Learning difficulty,SAD,99,150,0.181,0.483,0.0002,-0.379,-0.901,-0.64,-0.174,0.0005,Female,-0.303
Attention & Learning difficulty,SCZ,99,315,0.181,0.351,0.0008,-0.131,-0.587,-0.359,-0.107,0.0017,Female,-0.17
EMCI,LMCI,139,216,0.449,0.258,0.0002,0.682,0.249,0.465,0.126,0.0005,Female,0.191
EMCI,MCI,139,253,0.449,0.355,0.0294,0.435,0.019,0.227,0.065,0.0498,Female,0.095
EMCI,MDD,139,3461,0.449,0.492,0.21478,0.062,-0.277,-0.108,-0.031,0.2792,Female,-0.043
EMCI,Other Psychiatric,139,111,0.449,0.474,0.9595,0.246,-0.255,-0.005,-0.001,0.9595,Female,-0.025
EMCI,SAD,139,150,0.449,0.483,0.83892,0.209,-0.255,-0.023,-0.006,0.8964,Female,-0.034
EMCI,SCZ,139,315,0.449,0.351,0.0388,0.41,0.009,0.21,0.061,0.063,Female,0.098
LMCI,MCI,216,253,0.258,0.355,0.0274,-0.026,-0.391,-0.209,-0.061,0.0475,Female,-0.096
LMCI,MDD,216,3461,0.258,0.492,0.0002,-0.406,-0.682,-0.544,-0.157,0.0005,Female,-0.234
LMCI,Other Psychiatric,216,111,0.258,0.474,0.0004,-0.232,-0.697,-0.464,-0.127,0.0009,Female,-0.216
LMCI,SAD,216,150,0.258,0.483,0.0004,-0.273,-0.697,-0.485,-0.132,0.0009,Female,-0.225
LMCI,SCZ,216,315,0.258,0.351,0.013,-0.047,-0.396,-0.221,-0.065,0.0267,Female,-0.093
MCI,MDD,253,3461,0.355,0.492,0.0002,-0.204,-0.46,-0.332,-0.096,0.0005,Female,-0.137
MCI,Other Psychiatric,253,111,0.355,0.474,0.05099,-0.003,-0.453,-0.228,-0.067,0.0812,Female,-0.119
MCI,SAD,253,150,0.355,0.483,0.0152,-0.044,-0.451,-0.247,-0.071,0.0304,Female,-0.129
MCI,SCZ,253,315,0.355,0.351,0.85931,0.152,-0.18,-0.014,-0.004,0.9058,Female,0.004
MDD,Other Psychiatric,3461,111,0.492,0.474,0.29397,0.293,-0.086,0.103,0.03,0.3583,Female,0.018
MDD,SAD,3461,150,0.492,0.483,0.30017,0.25,-0.077,0.087,0.025,0.3592,Female,0.009
MDD,SCZ,3461,315,0.492,0.351,0.0002,0.433,0.202,0.317,0.092,0.0005,Female,0.141
Other Psychiatric,SAD,111,150,0.474,0.483,0.88591,0.228,-0.265,-0.018,-0.005,0.9195,Female,-0.009
Other Psychiatric,SCZ,111,315,0.474,0.351,0.05679,0.429,-0.006,0.211,0.062,0.0886,Female,0.123
SAD,SCZ,150,315,0.483,0.351,0.0216,0.426,0.035,0.23,0.067,0.0392,Female,0.132
CN,AD,37709,458,0.492,0.213,0.0002,0.746,0.562,0.654,0.187,0.0004,Male,0.279
CN,ADHD,37709,885,0.492,0.368,0.0002,0.385,0.251,0.318,0.091,0.0004,Male,0.124
CN,Anxiety/Phobia,37709,589,0.492,0.529,0.0194,-0.017,-0.18,-0.099,-0.028,0.0297,Male,-0.038
CN,ASD,37709,1610,0.492,0.501,0.9613,0.048,-0.051,-0.002,0,0.9613,Male,-0.009
CN,Attention & Learning difficulty,37709,227,0.492,0.23,0.0002,0.776,0.515,0.646,0.185,0.0004,Male,0.262
