Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,33060,528,0.498,0.131,0.0002,1.031,0.858,0.944,0.27,0.0005,Female,0.367
CN,ADHD,33060,222,0.498,0.431,0.0338,0.276,0.012,0.144,0.041,0.0538,Female,0.067
CN,Anxiety/Phobia,33060,975,0.498,0.49,0.81152,0.072,-0.056,0.008,0.002,0.8671,Female,0.008
CN,ASD,33060,365,0.498,0.501,0.40716,0.059,-0.148,-0.045,-0.013,0.4886,Female,-0.002
CN,Attention & Learning difficulty,33060,99,0.498,0.484,0.90011,0.212,-0.183,0.014,0.004,0.9167,Female,0.014
CN,EMCI,33060,139,0.498,0.593,0.0004,-0.149,-0.482,-0.316,-0.09,0.0009,Female,-0.095
CN,LMCI,33060,217,0.498,0.297,0.0002,0.661,0.393,0.527,0.151,0.0005,Female,0.201
CN,MCI,33060,245,0.498,0.317,0.0002,0.539,0.287,0.413,0.118,0.0005,Female,0.181
CN,MDD,33060,3158,0.498,0.488,0.16138,0.062,-0.011,0.026,0.007,0.2248,Female,0.01
CN,Other Psychiatric,33060,111,0.498,0.465,0.68613,0.226,-0.147,0.039,0.011,0.7538,Female,0.033
CN,SAD,33060,150,0.498,0.399,0.018,0.354,0.033,0.194,0.055,0.0299,Female,0.099
CN,SCZ,33060,75,0.498,0.248,0.0002,0.811,0.357,0.584,0.167,0.0005,Female,0.25
AD,ADHD,528,222,0.131,0.431,0.0002,-0.685,-1.011,-0.848,-0.228,0.0005,Female,-0.3
AD,Anxiety/Phobia,528,975,0.131,0.49,0.0002,-0.85,-1.073,-0.961,-0.267,0.0005,Female,-0.359
AD,ASD,528,365,0.131,0.501,0.0002,-0.885,-1.169,-1.027,-0.282,0.0005,Female,-0.37
AD,Attention & Learning difficulty,528,99,0.131,0.484,0.0002,-0.778,-1.223,-1.001,-0.265,0.0005,Female,-0.353
AD,EMCI,528,139,0.131,0.593,0.0002,-1.196,-1.6,-1.398,-0.36,0.0005,Female,-0.462
AD,LMCI,528,217,0.131,0.297,0.0002,-0.292,-0.612,-0.452,-0.119,0.0005,Female,-0.166
AD,MCI,528,245,0.131,0.317,0.0002,-0.407,-0.716,-0.562,-0.151,0.0005,Female,-0.186
AD,MDD,528,3158,0.131,0.488,0.0002,-0.826,-1.015,-0.921,-0.262,0.0005,Female,-0.357
AD,Other Psychiatric,528,111,0.131,0.465,0.0002,-0.788,-1.212,-1,-0.258,0.0005,Female,-0.335
AD,SAD,528,150,0.131,0.399,0.0002,-0.632,-1.006,-0.819,-0.214,0.0005,Female,-0.268
AD,SCZ,528,75,0.131,0.248,0.002,-0.159,-0.645,-0.402,-0.103,0.0041,Female,-0.117
