Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,33081,528,0.5,0.342,0.0002,0.485,0.313,0.399,0.115,0.0008,Female,0.158
CN,ADHD,33081,222,0.5,0.543,0.08879,0.017,-0.247,-0.115,-0.033,0.1506,Female,-0.043
CN,Anxiety/Phobia,33081,975,0.5,0.493,0.59194,0.081,-0.046,0.018,0.005,0.6692,Female,0.008
CN,ASD,33081,365,0.5,0.503,0.57814,0.133,-0.073,0.03,0.009,0.6632,Female,-0.003
CN,Attention & Learning difficulty,33081,99,0.5,0.197,0.0002,0.972,0.577,0.774,0.222,0.0008,Female,0.303
CN,EMCI,33081,139,0.5,0.567,0.39936,0.094,-0.24,-0.073,-0.021,0.4867,Female,-0.066
CN,LMCI,33081,217,0.5,0.468,0.07279,0.259,-0.008,0.126,0.036,0.1262,Female,0.032
CN,MCI,33081,245,0.5,0.4,0.0002,0.391,0.14,0.265,0.076,0.0008,Female,0.101
CN,MDD,33081,3158,0.5,0.49,0.13679,0.064,-0.009,0.028,0.008,0.2067,Female,0.011
CN,Other Psychiatric,33081,111,0.5,0.429,0.06999,0.359,-0.014,0.173,0.05,0.1262,Female,0.071
CN,SAD,33081,150,0.5,0.463,0.51015,0.215,-0.106,0.055,0.016,0.5939,Female,0.037
CN,SCZ,33081,75,0.5,0.337,0.0002,0.67,0.216,0.443,0.127,0.0008,Female,0.164
AD,ADHD,528,222,0.342,0.543,0.0002,-0.345,-0.663,-0.504,-0.148,0.0008,Female,-0.201
AD,Anxiety/Phobia,528,975,0.342,0.493,0.0002,-0.276,-0.49,-0.383,-0.11,0.0008,Female,-0.151
AD,ASD,528,365,0.342,0.503,0.0002,-0.214,-0.483,-0.349,-0.106,0.0008,Female,-0.161
AD,Attention & Learning difficulty,528,99,0.342,0.197,0.0004,0.589,0.157,0.373,0.108,0.0012,Female,0.145
AD,EMCI,528,139,0.342,0.567,0.0002,-0.277,-0.655,-0.466,-0.136,0.0008,Female,-0.224
AD,LMCI,528,217,0.342,0.468,0.0004,-0.115,-0.433,-0.274,-0.079,0.0012,Female,-0.126
AD,MCI,528,245,0.342,0.4,0.09659,0.025,-0.279,-0.127,-0.038,0.1603,Female,-0.057
AD,MDD,528,3158,0.342,0.49,0.0002,-0.278,-0.463,-0.371,-0.107,0.0008,Female,-0.148
AD,Other Psychiatric,528,111,0.342,0.429,0.0352,-0.016,-0.427,-0.222,-0.065,0.0742,Female,-0.087
AD,SAD,528,150,0.342,0.463,0.0002,-0.161,-0.526,-0.344,-0.099,0.0008,Female,-0.121
AD,SCZ,528,75,0.342,0.337,0.74373,0.285,-0.199,0.043,0.013,0.7846,Female,0.005
ADHD,Anxiety/Phobia,222,975,0.543,0.493,0.07259,0.28,-0.012,0.134,0.038,0.1262,Female,0.051
ADHD,ASD,222,365,0.543,0.503,0.11399,0.302,-0.032,0.135,0.042,0.1815,Female,0.04
ADHD,Attention & Learning difficulty,222,99,0.543,0.197,0.0002,1.153,0.657,0.905,0.255,0.0008,Female,0.346
ADHD,EMCI,222,139,0.543,0.567,0.70873,0.254,-0.171,0.042,0.012,0.7678,Female,-0.023
ADHD,LMCI,222,217,0.543,0.468,0.0112,0.433,0.057,0.245,0.069,0.0273,Female,0.075
ADHD,MCI,222,245,0.543,0.4,0.0002,0.539,0.172,0.356,0.109,0.0008,Female,0.144
ADHD,MDD,222,3158,0.543,0.49,0.0404,0.279,0.006,0.142,0.041,0.0829,Female,0.054
ADHD,Other Psychiatric,222,111,0.543,0.429,0.0162,0.512,0.053,0.283,0.083,0.0361,Female,0.114
ADHD,SAD,222,150,0.543,0.463,0.11079,0.38,-0.036,0.172,0.049,0.18,Female,0.08
ADHD,SCZ,222,75,0.543,0.337,0.0002,0.819,0.286,0.553,0.16,0.0008,Female,0.207
Anxiety/Phobia,ASD,975,365,0.493,0.503,0.83972,0.133,-0.108,0.012,0.004,0.8506,Female,-0.01
Anxiety/Phobia,Attention & Learning difficulty,975,99,0.493,0.197,0.0002,0.985,0.566,0.776,0.217,0.0008,Female,0.295
Anxiety/Phobia,EMCI,975,139,0.493,0.567,0.29797,0.085,-0.271,-0.093,-0.026,0.381,Female,-0.074
Anxiety/Phobia,LMCI,975,217,0.493,0.468,0.14199,0.258,-0.037,0.111,0.031,0.209,Female,0.025
Anxiety/Phobia,MCI,975,245,0.493,0.4,0.0008,0.386,0.105,0.245,0.071,0.0022,Female,0.093
Anxiety/Phobia,MDD,975,3158,0.493,0.49,0.76472,0.082,-0.062,0.01,0.003,0.7953,Female,0.003
Anxiety/Phobia,Other Psychiatric,975,111,0.493,0.429,0.11819,0.354,-0.04,0.157,0.044,0.1844,Female,0.064
Anxiety/Phobia,SAD,975,150,0.493,0.463,0.66273,0.21,-0.134,0.038,0.011,0.7385,Female,0.029
Anxiety/Phobia,SCZ,975,75,0.493,0.337,0.0006,0.669,0.197,0.433,0.122,0.0018,Female,0.156
ASD,Attention & Learning difficulty,365,99,0.503,0.197,0.0002,0.924,0.469,0.697,0.214,0.0008,Female,0.306
ASD,EMCI,365,139,0.503,0.567,0.32957,0.1,-0.292,-0.096,-0.03,0.408,Female,-0.064
ASD,LMCI,365,217,0.503,0.468,0.29457,0.259,-0.078,0.091,0.027,0.381,Female,0.035
ASD,MCI,365,245,0.503,0.4,0.0126,0.375,0.049,0.212,0.068,0.0298,Female,0.103
ASD,MDD,365,3158,0.503,0.49,0.9795,0.106,-0.111,-0.002,-0.001,0.9795,Female,0.013
ASD,Other Psychiatric,365,111,0.503,0.429,0.22898,0.344,-0.082,0.131,0.041,0.3133,Female,0.074
ASD,SAD,365,150,0.503,0.463,0.79752,0.213,-0.168,0.023,0.007,0.8185,Female,0.04
ASD,SCZ,365,75,0.503,0.337,0.0028,0.63,0.129,0.379,0.119,0.0075,Female,0.166
Attention & Learning difficulty,EMCI,99,139,0.197,0.567,0.0002,-0.622,-1.165,-0.893,-0.243,0.0008,Female,-0.369
Attention & Learning difficulty,LMCI,99,217,0.197,0.468,0.0002,-0.452,-0.942,-0.697,-0.186,0.0008,Female,-0.271
Attention & Learning difficulty,MCI,99,245,0.197,0.4,0.0004,-0.244,-0.718,-0.481,-0.146,0.0012,Female,-0.202
Attention & Learning difficulty,MDD,99,3158,0.197,0.49,0.0002,-0.548,-0.95,-0.749,-0.214,0.0008,Female,-0.292
Attention & Learning difficulty,Other Psychiatric,99,111,0.197,0.429,0.0002,-0.344,-0.902,-0.623,-0.173,0.0008,Female,-0.231
Attention & Learning difficulty,SAD,99,150,0.197,0.463,0.0002,-0.518,-1.046,-0.782,-0.207,0.0008,Female,-0.266
Attention & Learning difficulty,SCZ,99,75,0.197,0.337,0.0194,-0.047,-0.656,-0.352,-0.095,0.042,Female,-0.139
EMCI,LMCI,139,217,0.567,0.468,0.05239,0.422,-0.007,0.207,0.057,0.1022,Female,0.098
EMCI,MCI,139,245,0.567,0.4,0.0032,0.527,0.107,0.317,0.097,0.0083,Female,0.167
EMCI,MDD,139,3158,0.567,0.49,0.23458,0.271,-0.069,0.101,0.029,0.3155,Female,0.077
EMCI,Other Psychiatric,139,111,0.567,0.429,0.05139,0.498,-0.005,0.247,0.071,0.1022,Female,0.138
