Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,ABNORMAL VENTRICAL,35298,73,0.494,0.388,0.023,0.495,0.036,0.265,0.076,0.0549,Female,0.105
CN,AD,35298,529,0.494,0.826,0.0002,-0.773,-0.945,-0.859,-0.245,0.001,Female,-0.332
CN,ADHD,35298,329,0.494,0.554,0.0016,-0.072,-0.289,-0.18,-0.052,0.0056,Female,-0.06
CN,Anorexia/Bulima,35298,105,0.494,0.618,0.017,-0.042,-0.425,-0.233,-0.067,0.0441,Female,-0.124
CN,Anxiety/Phobia,35298,1039,0.494,0.453,0.0028,0.154,0.03,0.092,0.026,0.009,Female,0.041
CN,ASD,35298,376,0.494,0.58,0.0002,-0.115,-0.318,-0.216,-0.062,0.001,Female,-0.087
CN,Attention & Learning difficulty,35298,99,0.494,0.355,0.0018,0.513,0.119,0.316,0.09,0.0061,Female,0.139
CN,BD,35298,111,0.494,0.554,0.12799,0.04,-0.333,-0.146,-0.042,0.2304,Female,-0.06
CN,Chronic Pain,35298,63,0.494,0.46,0.12939,0.437,-0.058,0.189,0.054,0.2305,Female,0.034
CN,EMCI,35298,139,0.494,0.511,0.77852,0.14,-0.193,-0.027,-0.008,0.8989,Female,-0.017
CN,LMCI,35298,216,0.494,0.667,0.0002,-0.239,-0.506,-0.373,-0.107,0.001,Female,-0.173
CN,MCI,35298,253,0.494,0.651,0.0002,-0.202,-0.45,-0.326,-0.093,0.001,Female,-0.157
CN,MCI-Risk,35298,0,0.494,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,MDD,35298,3392,0.494,0.506,0.41576,0.021,-0.05,-0.015,-0.004,0.5678,Female,-0.012
CN,ND,35298,100,0.494,0.766,0.0002,-0.391,-0.784,-0.588,-0.168,0.001,Female,-0.272
CN,OCD,35298,74,0.494,0.412,0.44496,0.317,-0.139,0.089,0.026,0.5984,Female,0.082
CN,Other,35298,117,0.494,0.534,0.09259,0.024,-0.339,-0.157,-0.045,0.1766,Female,-0.04
CN,OTHER,35298,56,0.494,0.769,0.0002,-0.517,-1.042,-0.78,-0.223,0.001,Female,-0.276
CN,Other Psychiatric,35298,111,0.494,0.495,0.28157,0.085,-0.288,-0.101,-0.029,0.4224,Female,-0.002
CN,PD,35298,67,0.494,0.535,0.86531,0.217,-0.262,-0.022,-0.006,0.9766,Female,-0.042
CN,SAD,35298,150,0.494,0.501,0.71793,0.19,-0.13,0.03,0.009,0.8513,Female,-0.008
CN,Schizoaffective Disorder,35298,53,0.494,0.558,0.20998,0.094,-0.445,-0.176,-0.05,0.332,Female,-0.065
CN,SCZ,35298,294,0.494,0.626,0.0002,-0.174,-0.404,-0.289,-0.083,0.001,Female,-0.132
CN,SCZ-Relative,35298,138,0.494,0.398,0.0378,0.343,0.009,0.176,0.05,0.0829,Female,0.095
CN,SMC,35298,59,0.494,0.515,0.13279,0.058,-0.453,-0.197,-0.056,0.2354,Female,-0.021
CN,SPECIFIC PHOBIA,35298,159,0.494,0.551,0.08699,0.02,-0.292,-0.136,-0.039,0.1669,Female,-0.058
ABNORMAL VENTRICAL,AD,73,529,0.388,0.826,0.0002,-1.032,-1.544,-1.288,-0.321,0.001,Female,-0.438
ABNORMAL VENTRICAL,ADHD,73,329,0.388,0.554,0.0014,-0.18,-0.693,-0.436,-0.127,0.005,Female,-0.166
ABNORMAL VENTRICAL,Anorexia/Bulima,73,105,0.388,0.618,0.0014,-0.194,-0.804,-0.499,-0.143,0.005,Female,-0.23
ABNORMAL VENTRICAL,Anxiety/Phobia,73,1039,0.388,0.453,0.14859,0.064,-0.411,-0.174,-0.05,0.2532,Female,-0.064
ABNORMAL VENTRICAL,ASD,73,376,0.388,0.58,0.0002,-0.229,-0.736,-0.482,-0.138,0.001,Female,-0.192
ABNORMAL VENTRICAL,Attention & Learning difficulty,73,99,0.388,0.355,0.77212,0.353,-0.256,0.048,0.015,0.8944,Female,0.034
ABNORMAL VENTRICAL,BD,73,111,0.388,0.554,0.009,-0.106,-0.706,-0.406,-0.118,0.0259,Female,-0.166
ABNORMAL VENTRICAL,Chronic Pain,73,63,0.388,0.46,0.67193,0.266,-0.415,-0.074,-0.022,0.8142,Female,-0.072
ABNORMAL VENTRICAL,EMCI,73,139,0.388,0.511,0.05939,0.009,-0.564,-0.278,-0.084,0.1191,Female,-0.122
ABNORMAL VENTRICAL,LMCI,73,216,0.388,0.667,0.0002,-0.38,-0.924,-0.652,-0.183,0.001,Female,-0.278
ABNORMAL VENTRICAL,MCI,73,253,0.388,0.651,0.0002,-0.316,-0.847,-0.582,-0.169,0.001,Female,-0.263
ABNORMAL VENTRICAL,MCI-Risk,73,0,0.388,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,MDD,73,3392,0.388,0.506,0.021,-0.043,-0.507,-0.275,-0.08,0.0515,Female,-0.117
