Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,38839,529,0.497,0.152,0.0002,0.964,0.792,0.878,0.251,0.0003,Female,0.345
CN,ADHD,38839,329,0.497,0.518,0.34997,0.16,-0.057,0.052,0.015,0.3937,Female,-0.021
CN,Anxiety/Phobia,38839,1039,0.497,0.484,0.31697,0.092,-0.031,0.031,0.009,0.3681,Female,0.013
CN,ASD,38839,381,0.497,0.513,0.24838,0.044,-0.158,-0.057,-0.016,0.2981,Female,-0.016
CN,LMCI,38839,216,0.497,0.313,0.0002,0.593,0.326,0.46,0.131,0.0003,Female,0.184
CN,MCI,38839,253,0.497,0.302,0.0002,0.549,0.302,0.426,0.122,0.0003,Female,0.195
CN,MDD,38839,3461,0.497,0.481,0.045,0.07,0.001,0.035,0.01,0.0675,Female,0.016
CN,SCZ,38839,315,0.497,0.228,0.0002,0.687,0.465,0.576,0.165,0.0003,Female,0.269
AD,ADHD,529,329,0.152,0.518,0.0002,-0.734,-1.022,-0.878,-0.236,0.0003,Female,-0.365
AD,Anxiety/Phobia,529,1039,0.152,0.484,0.0002,-0.765,-0.983,-0.874,-0.242,0.0003,Female,-0.332
AD,ASD,529,381,0.152,0.513,0.0002,-0.799,-1.077,-0.938,-0.267,0.0003,Female,-0.361
AD,LMCI,529,216,0.152,0.313,0.0002,-0.291,-0.612,-0.452,-0.119,0.0003,Female,-0.161
AD,MCI,529,253,0.152,0.302,0.0002,-0.324,-0.628,-0.476,-0.129,0.0003,Female,-0.15
AD,MDD,529,3461,0.152,0.481,0.0002,-0.757,-0.944,-0.85,-0.241,0.0003,Female,-0.328
AD,SCZ,529,315,0.152,0.228,0.0002,-0.176,-0.457,-0.316,-0.086,0.0003,Female,-0.076
ADHD,Anxiety/Phobia,329,1039,0.518,0.484,0.71413,0.103,-0.145,-0.021,-0.006,0.7595,Female,0.034
ADHD,ASD,329,381,0.518,0.513,0.16598,0.046,-0.25,-0.102,-0.031,0.2134,Female,0.005
ADHD,LMCI,329,216,0.518,0.313,0.0002,0.58,0.233,0.406,0.117,0.0003,Female,0.205
ADHD,MCI,329,253,0.518,0.302,0.0002,0.529,0.198,0.364,0.107,0.0003,Female,0.215
ADHD,MDD,329,3461,0.518,0.481,0.75572,0.097,-0.129,-0.016,-0.005,0.7773,Female,0.037
ADHD,SCZ,329,315,0.518,0.228,0.0002,0.669,0.355,0.512,0.15,0.0003,Female,0.29
Anxiety/Phobia,ASD,1039,381,0.484,0.513,0.15498,0.033,-0.202,-0.085,-0.025,0.2066,Female,-0.029
Anxiety/Phobia,LMCI,1039,216,0.484,0.313,0.0002,0.575,0.28,0.428,0.123,0.0003,Female,0.171
Anxiety/Phobia,MCI,1039,253,0.484,0.302,0.0002,0.528,0.251,0.39,0.113,0.0003,Female,0.182
Anxiety/Phobia,MDD,1039,3461,0.484,0.481,0.88991,0.074,-0.064,0.005,0.001,0.8899,Female,0.004
Anxiety/Phobia,SCZ,1039,315,0.484,0.228,0.0002,0.666,0.411,0.539,0.156,0.0003,Female,0.256
ASD,LMCI,381,216,0.513,0.313,0.0002,0.649,0.31,0.48,0.148,0.0003,Female,0.2
ASD,MCI,381,253,0.513,0.302,0.0002,0.602,0.28,0.441,0.138,0.0003,Female,0.21
ASD,MDD,381,3461,0.513,0.481,0.09239,0.197,-0.014,0.091,0.027,0.129,Female,0.032
