Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,ABNORMAL VENTRICAL,38783,73,0.499,0.46,0.79232,0.261,-0.199,0.031,0.009,1,Female,0.039
CN,AD,38783,529,0.499,0.379,0.0002,0.316,0.145,0.231,0.066,0.004,Female,0.12
CN,ADHD,38783,329,0.499,0.507,0.86411,0.116,-0.101,0.008,0.002,1,Female,-0.008
CN,Anorexia/Bulima,38783,105,0.499,0.493,0.62794,0.238,-0.145,0.047,0.013,1,Female,0.005
CN,Anxiety/Phobia,38783,1039,0.499,0.479,0.11639,0.11,-0.013,0.049,0.014,0.3632,Female,0.02
CN,ASD,38783,381,0.499,0.506,0.69333,0.121,-0.081,0.02,0.006,1,Female,-0.007
CN,Attention & Learning difficulty,38783,99,0.499,0.205,0.0002,0.839,0.445,0.642,0.184,0.004,Female,0.294
CN,BD,38783,111,0.499,0.497,0.88191,0.202,-0.171,0.015,0.004,1,Female,0.001
CN,BIPOLAR/PSYCH-RELATIVE,38783,47,0.499,0.515,0.9643,0.295,-0.277,0.009,0.003,1,Female,-0.016
CN,Chronic Pain,38783,63,0.499,0.48,0.91211,0.26,-0.234,0.013,0.004,1,Female,0.018
CN,DEMENTIA - LBD,38783,21,0.499,0.479,0.80352,0.485,-0.371,0.057,0.016,1,Female,0.02
CN,EMCI,38783,139,0.499,0.408,0.0158,0.371,0.038,0.205,0.058,0.0864,Female,0.09
CN,LMCI,38783,216,0.499,0.477,0.27417,0.209,-0.059,0.075,0.021,0.6014,Female,0.022
CN,MCI,38783,253,0.499,0.466,0.38516,0.177,-0.07,0.053,0.015,0.789,Female,0.033
CN,MCI-Risk,38783,0,0.499,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
CN,MDD,38783,3461,0.499,0.492,0.25457,0.055,-0.014,0.02,0.006,0.5691,Female,0.007
CN,ND,38783,100,0.499,0.306,0.0002,0.652,0.26,0.456,0.13,0.004,Female,0.193
CN,OCD,38783,74,0.499,0.495,0.9531,0.22,-0.236,-0.008,-0.002,1,Female,0.003
CN,Other,38783,117,0.499,0.519,0.9857,0.18,-0.183,-0.002,0,1,Female,-0.02
CN,OTHER,38783,56,0.499,0.276,0.0012,0.712,0.188,0.45,0.129,0.0133,Female,0.223
