Dx,p value (Hardigan's dip test of unimodality),D-statistic (Hardigan's dip test of unimodality),Number of inflection points in smoothed distribution,Sex
ASD,0.02,0.029554571,3,Female
SCZ,0.65,0.018935982,2,Female
ADHD,0.69,0.018073763,3,Female
AD,0.99,0.009087233,1,Female
MCI,0.9,0.017599783,2,Female
MDD,0.64,0.005922954,4,Female
Anxiety/Phobia,0.76,0.009960938,3,Female
ASD,0,0.016881682,4,Male
SCZ,0.53,0.013560213,2,Male
ADHD,0.82,0.010361635,2,Male
AD,0.99,0.010238494,1,Male
MCI,0.6,0.02434956,2,Male
MDD,0.15,0.011216906,3,Male
Anxiety/Phobia,0.06,0.021625348,2,Male
