"Group 1","Group 2","Sample size G1","Sample size G2","Median IQR Group 2","Median IQR Group 1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Sex","Median group difference"
"CN","AD",188,3180,"0.031","0.053","0.00106","0.00000","1.9998e-04","0.540","0.245","0.392","0.033","8.3992e-04","Female","0.021"
"CN","ADHD",47,3180,"0.029","0.053","0.03574","0.02321","2.9197e-02","0.586","0.010","0.298","0.026","7.6642e-02","Female","0.023"
"CN","ASD",38,3180,"0.030","0.053","0.47248","0.42924","4.5075e-01","0.449","-0.191","0.129","0.011","5.9041e-01","Female","0.022"
"CN","MCI",26,3180,"0.055","0.053","0.29298","0.25731","2.7497e-01","0.596","-0.176","0.210","0.018","4.8120e-01","Female","-0.003"
"CN","PD",28,3180,"0.011","0.053","0.00106","0.00000","1.9998e-04","1.171","0.426","0.798","0.068","8.3992e-04","Female","0.041"
"CN","SCZ",17,3180,"0.037","0.053","0.12332","0.09953","1.1119e-01","0.834","-0.120","0.357","0.030","2.3350e-01","Female","0.016"
"AD","ADHD",47,188,"0.029","0.031","0.49585","0.45185","4.7375e-01","0.206","-0.437","-0.116","-0.007","5.9041e-01","Female","0.002"
"AD","ASD",38,188,"0.030","0.031","0.06913","0.05138","5.9994e-02","0.007","-0.697","-0.345","-0.022","1.3999e-01","Female","0.001"
"AD","MCI",26,188,"0.055","0.031","0.22813","0.19623","2.1198e-01","0.140","-0.687","-0.274","-0.015","4.0469e-01","Female","-0.024"
"AD","PD",28,188,"0.011","0.031","0.00106","0.00000","1.9998e-04","1.082","0.273","0.677","0.035","8.3992e-04","Female","0.020"
"AD","SCZ",17,188,"0.037","0.031","0.82684","0.77615","8.0152e-01","0.454","-0.545","-0.045","-0.002","8.4160e-01","Female","-0.006"
"ADHD","ASD",38,47,"0.030","0.029","0.50011","0.45599","4.7795e-01","0.281","-0.589","-0.154","-0.014","5.9041e-01","Female","-0.001"
"ADHD","MCI",26,47,"0.055","0.029","0.71735","0.66814","6.9273e-01","0.394","-0.581","-0.093","-0.008","8.0819e-01","Female","-0.026"
"ADHD","PD",28,47,"0.011","0.029","0.00185","0.00002","5.9994e-04","1.060","0.090","0.575","0.042","2.0998e-03","Female","0.018"
"ADHD","SCZ",17,47,"0.037","0.029","0.92758","0.87612","9.0191e-01","0.624","-0.507","0.058","0.005","9.0191e-01","Female","-0.008"
"ASD","MCI",26,38,"0.055","0.030","0.77274","0.72270","7.4773e-01","0.594","-0.424","0.085","0.007","8.2643e-01","Female","-0.025"
"ASD","PD",28,38,"0.011","0.030","0.00106","0.00000","1.9998e-04","1.299","0.268","0.783","0.057","8.3992e-04","Female","0.019"
"ASD","SCZ",17,38,"0.037","0.030","0.48752","0.44379","4.6555e-01","0.814","-0.359","0.227","0.019","5.9041e-01","Female","-0.007"
"MCI","PD",28,26,"0.011","0.055","0.00106","0.00000","1.9998e-04","1.955","0.744","1.350","0.050","8.3992e-04","Female","0.044"
"MCI","SCZ",17,26,"0.037","0.055","0.49463","0.45067","4.7255e-01","0.863","-0.401","0.231","0.013","5.9041e-01","Female","0.019"
"PD","SCZ",17,28,"0.037","0.011","0.00252","0.00013","9.9990e-04","-0.420","-1.742","-1.081","-0.038","2.9997e-03","Female","-0.025"
"CN","AD",233,2842,"0.034","0.055","0.00106","0.00000","1.9998e-04","0.505","0.237","0.371","0.032","5.2495e-04","Male","0.021"
"CN","ADHD",117,2842,"0.029","0.055","0.00106","0.00000","1.9998e-04","0.548","0.178","0.363","0.032","5.2495e-04","Male","0.025"
"CN","ASD",119,2842,"0.021","0.055","0.00252","0.00013","9.9990e-04","0.476","0.109","0.293","0.026","2.3331e-03","Male","0.033"
"CN","MCI",37,2842,"0.030","0.055","0.00313","0.00031","1.3999e-03","0.776","0.127","0.451","0.040","2.9397e-03","Male","0.024"
"CN","PD",53,2842,"0.011","0.055","0.00106","0.00000","1.9998e-04","1.073","0.528","0.801","0.071","5.2495e-04","Male","0.043"
"CN","SCZ",35,2842,"0.029","0.055","0.09657","0.07551","8.5791e-02","0.603","-0.064","0.269","0.024","1.6378e-01","Male","0.025"
"AD","ADHD",117,233,"0.029","0.034","0.99886","0.94717","9.7310e-01","0.220","-0.226","-0.003","-0.000","9.7310e-01","Male","0.004"
"AD","ASD",119,233,"0.021","0.034","0.43606","0.39410","4.1496e-01","0.130","-0.314","-0.092","-0.006","5.5329e-01","Male","0.012"
"AD","MCI",37,233,"0.030","0.034","0.44278","0.40057","4.2156e-01","0.495","-0.202","0.146","0.008","5.5329e-01","Male","0.003"
"AD","PD",53,233,"0.011","0.034","0.00106","0.00000","1.9998e-04","1.086","0.473","0.779","0.039","5.2495e-04","Male","0.022"
"AD","SCZ",35,233,"0.029","0.034","0.42914","0.38743","4.0816e-01","0.209","-0.506","-0.149","-0.008","5.5329e-01","Male","0.004"
"ADHD","ASD",119,117,"0.021","0.029","0.58688","0.54034","5.6354e-01","0.180","-0.333","-0.076","-0.006","6.2286e-01","Male","0.008"
"ADHD","MCI",37,117,"0.030","0.029","0.56116","0.51528","5.3815e-01","0.496","-0.250","0.123","0.008","6.2286e-01","Male","-0.001"
"ADHD","PD",53,117,"0.011","0.029","0.00106","0.00000","1.9998e-04","1.000","0.331","0.665","0.039","5.2495e-04","Male","0.018"
"ADHD","SCZ",35,117,"0.029","0.029","0.55873","0.51291","5.3575e-01","0.262","-0.500","-0.119","-0.008","6.2286e-01","Male","0.000"
"ASD","MCI",37,119,"0.030","0.021","0.36794","0.32868","3.4817e-01","0.548","-0.197","0.176","0.014","5.5329e-01","Male","-0.009"
"ASD","PD",53,119,"0.011","0.021","0.00106","0.00000","1.9998e-04","0.942","0.278","0.610","0.045","5.2495e-04","Male","0.010"
"ASD","SCZ",35,119,"0.029","0.021","0.88145","0.83028","8.5591e-01","0.355","-0.405","-0.025","-0.002","8.9871e-01","Male","-0.008"
"MCI","PD",53,37,"0.011","0.030","0.00106","0.00000","1.9998e-04","1.569","0.656","1.113","0.031","5.2495e-04","Male","0.019"
"MCI","SCZ",35,37,"0.029","0.030","0.24835","0.21519","2.3158e-01","0.181","-0.765","-0.292","-0.016","4.0526e-01","Male","0.001"
"PD","SCZ",35,53,"0.029","0.011","0.00106","0.00000","1.9998e-04","-0.654","-1.582","-1.118","-0.047","5.2495e-04","Male","-0.018"
