"Group 1","Group 2","Sample size G1","Sample size G2","Median IQR Group 2","Median IQR Group 1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Sex","Median group difference"
"CN","AD",188,3180,"0.036","0.028","0.53704","0.49182","5.1435e-01","0.100","-0.194","-0.047","-0.003","9.0011e-01","Female","-0.008"
"CN","ADHD",47,3180,"0.011","0.028","0.00483","0.00099","2.5997e-03","0.638","0.062","0.350","0.023","9.0991e-03","Female","0.017"
"CN","ASD",38,3180,"0.003","0.028","0.78059","0.73045","7.5552e-01","0.279","-0.361","-0.041","-0.003","9.8130e-01","Female","0.025"
"CN","MCI",26,3180,"0.037","0.028","1.00000","0.94977","9.7570e-01","0.413","-0.360","0.027","0.002","9.8130e-01","Female","-0.009"
"CN","PD",28,3180,"0.007","0.028","0.00106","0.00000","1.9998e-04","0.991","0.246","0.618","0.041","1.0499e-03","Female","0.021"
"CN","SCZ",17,3180,"0.029","0.028","0.93980","0.88828","9.1411e-01","0.484","-0.470","0.007","0.000","9.8130e-01","Female","-0.001"
"AD","ADHD",47,188,"0.011","0.036","0.00149","0.00000","3.9996e-04","0.827","0.177","0.502","0.026","1.6798e-03","Female","0.025"
"AD","ASD",38,188,"0.003","0.036","0.99806","0.94637","9.7230e-01","0.357","-0.344","0.006","0.000","9.8130e-01","Female","0.033"
"AD","MCI",26,188,"0.037","0.036","0.73025","0.68083","7.0553e-01","0.503","-0.322","0.090","0.005","9.8130e-01","Female","-0.001"
"AD","PD",28,188,"0.007","0.036","0.00106","0.00000","1.9998e-04","1.276","0.460","0.868","0.044","1.0499e-03","Female","0.028"
"AD","SCZ",17,188,"0.029","0.036","0.88587","0.83467","8.6031e-01","0.565","-0.434","0.066","0.004","9.8130e-01","Female","0.007"
"ADHD","ASD",38,47,"0.003","0.011","0.15178","0.12545","1.3839e-01","0.098","-0.776","-0.339","-0.026","2.6419e-01","Female","0.008"
"ADHD","MCI",26,47,"0.037","0.011","0.09128","0.07081","8.0792e-02","0.038","-0.949","-0.456","-0.021","1.8851e-01","Female","-0.025"
"ADHD","PD",28,47,"0.007","0.011","0.00943","0.00356","6.1994e-03","0.990","0.025","0.508","0.018","1.6273e-02","Female","0.004"
"ADHD","SCZ",17,47,"0.029","0.011","0.12311","0.09934","1.1099e-01","0.082","-1.063","-0.490","-0.023","2.3308e-01","Female","-0.018"
"ASD","MCI",26,38,"0.037","0.003","0.86600","0.81495","8.4052e-01","0.561","-0.457","0.052","0.004","9.8130e-01","Female","-0.033"
