"","study","Pearson's r","p-value","t-value","df","lower ci","upper ci"
"1","3R-BRAIN","0.999998424621894","0","10203.0263480336","328","0.999998043283855","0.999998731642252"
"2","ABCD","0.999931508486168","0","8054.64367158249","8888","0.999928600566801","0.999934297977182"
"3","abide1","0.999956872941764","0","2543.39103575766","558","0.999949080834562","0.999963472652641"
"4","abide2","0.999927996021652","0","1643.45607968531","389","0.999912142372348","0.999940989011196"
"5","ADHD200","0.999986191168567","0","4207.81337563702","489","0.999983510005429","0.999988436394981"
"6","ADNI","0.999997237921303","0","8572.92639801505","406","0.99999664394547","0.999997726771643"
"7","AIBL","0.999996395844109","0","7979.73349866428","459","0.999995671359863","0.999996999071652"
"8","AOBA","0.999963534710375","0","3631.79082202776","962","0.999958619586266","0.999967866030344"
"9","AOMIC_ID1000","0.999996174241737","0","10983.1229182813","923","0.999995647056098","0.999996637579957"
"10","AOMIC_PIOP1","0.999994350435856","2.27948070864547e-177","2506.71444922839","71","0.999990974104562","0.99999646377968"
"11","AOMIC_PIOP2","0.999999761432196","0","21570.2657176242","222","0.99999968945264","0.999999816728126"
"12","ARWIBO","0.999974892611757","0","4624.64281532453","1074","0.999971700939324","0.999977724319611"
"13","ASRB","0.999988602156048","0","2825.56713316342","182","0.999984746816518","0.999991483038041"
"14","BabyConnectome","0.999904365365814","1.59599980014136e-217","778.709090076752","116","0.999862166132149","0.999933645305664"
"15","BGSP","0.999985676421239","0","7398.22602779063","1568","0.999984185440384","0.999987026834822"
"16","BHRCS","0.999997852779736","0","8591.63137619694","317","0.999997323026095","0.99999827769908"
"17","BIODEP","0.999999746632274","1.63853793133815e-168","10226.9753153995","53","0.999999563652909","0.999999852880417"
"18","BSNIP","0.999988956893417","0","2971.34499118508","195","0.999985367588607","0.999991665751731"
"19","Calgary","0.999999830979885","4.27968274717363e-267","15574.8071236733","82","0.999999738727157","0.999999890659135"
"20","CALM","0.999999432650444","1.04950439179409e-224","8129.9914591791","75","0.999999105148465","0.999999640291728"
"21","CamCAN","0.999998866994593","0","16897.4349085236","647","0.999998678058931","0.999999028927033"
"22","CAMFT","0.999999935290606","4.85774302463592e-229","22582.5656773727","66","0.999999894773666","0.999999960206675"
"23","CHILD","0.99904664168448","2.29792367788339e-42","125.344952048351","30","0.99802683744128","0.999539494415091"
"24","COBRE","0.999999900615231","2.94577629374365e-283","20557.2348468369","84","0.999999847179071","0.999999935366627"
"25","devCCNP","0.999989091912872","0","4392.86845017482","421","0.999986792614214","0.999990990924101"
"26","dHCP","0.99852757777601","0","411.598526565396","500","0.998245388116612","0.998764411669921"
"27","DLBS","0.999995199126016","0","5691.19517539484","311","0.999994001950514","0.999996157352768"
"28","EDSD","0.999997087222232","0","5240.71290690653","160","0.999996025189144","0.9999978654901"
"29","EMBARC","0.999980139116347","8.00235732126616e-81","951.985864268306","36","0.999961474067756","0.999989761366099"
"30","FemaleASD","0.999986814611899","0","2927.44313840658","226","0.9999828767735","0.999989846867899"
"31","FinnBrain","0.968836389153298","4.580686349988e-148","60.7197903816634","241","0.960042953379451","0.975718607555"
