"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.505976899496608,0.00379888675566358,201.635738846919,133.190835115648,1.69168163625304e-198
"age_days",-6.15903951285459e-07,2.21276233199272e-07,411.323596661464,-2.78341664796328,0.00562698368872886
"sexMale",-0.00229341627191157,0.00189508652673818,104725.991493275,-1.21019079580445,0.226208420558745
"DXAD",-0.236927420019854,0.00954561552707807,77770.625613842,-24.8205492194569,1.81782610660921e-135
"DXADHD",-0.0127020568611391,0.0155140520746857,27287.1678003736,-0.818745276861944,0.412938908564349
"DXANX",-0.00596795127973835,0.00905262196808954,107638.646968725,-0.659251131967661,0.509735927702419
"DXASD",-0.00765743993241407,0.0135352164503169,35691.454571,-0.565741963604491,0.571572760764415
"DXMCI",-0.107950044039726,0.0166328260298198,82160.2045964579,-6.49018055297339,8.62193993333716e-11
"DXMDD",-0.00777480600767298,0.00523998204635001,64763.7704031448,-1.48374668823315,0.137881001554862
"DXSCZ",-0.177505183237827,0.0167202824298471,11924.2814647808,-10.6161593850212,3.2813707310986e-26
"sexMale:DXAD",0.0582582243262947,0.0125769898733274,107638.86662959,4.63212779155097,3.62349286319125e-06
"sexMale:DXADHD",-0.0805127895813115,0.0169626638942323,107620.124210238,-4.74647084227659,2.0726205287014e-06
"sexMale:DXANX",0.0337069109369869,0.0148503928495325,107572.334068042,2.26976560677639,0.0232237783713522
"sexMale:DXASD",-0.011099345015449,0.0144843662831324,103360.515070045,-0.76629828316166,0.443500589660828
"sexMale:DXMCI",0.0182428142336472,0.0234766993175499,107541.25930875,0.777060437112207,0.437124823311272
"sexMale:DXMDD",0.031525113135613,0.00852885317760716,107603.155778538,3.69628981518681,0.000218881692186096
"sexMale:DXSCZ",0.0506873962817519,0.0188536113025668,106911.345237389,2.68847147998915,0.00717910882503886
