"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.505150480472484,0.00354834118191651,125.344280012551,142.3624320702,1.82990219999617e-140
"age_days",-5.30392424584329e-07,2.10246580399776e-07,200.997066287667,-2.52271605833402,0.0124200611590443
"sexMale",-0.00232746449233548,0.00190310436303606,99988.2427020157,-1.22298310988181,0.221338958166887
"DXAD",-0.0632212258450806,0.00956241877554533,53734.2104136053,-6.61142618086972,3.8418640261274e-11
"DXADHD",0.00047654548798974,0.0154778183899873,13449.5413073403,0.0307889313585705,0.975438324577787
"DXANX",-0.0125221526398462,0.00909024300645575,107493.441501312,-1.37753772159371,0.168348928647239
"DXASD",-0.00275584946925642,0.0135205854555097,19891.2831844171,-0.203826193645587,0.838491408059706
"DXMCI",-0.0166054655926768,0.0166663674886975,60190.733729025,-0.996345820643764,0.319086153082674
"DXMDD",-0.00563902872352404,0.00524653827382001,47397.2967909144,-1.07480941322063,0.282465536515834
"DXSCZ",-0.102415127669622,0.0166229230044995,7051.17007678912,-6.16107814744137,7.6226538655348e-10
"sexMale:DXAD",0.0206289166255219,0.0126293741435273,107496.50554121,1.63340767254839,0.102386213024871
"sexMale:DXADHD",-0.0807383770300866,0.0170323284461212,107419.191883458,-4.74030179053254,2.13672986658999e-06
"sexMale:DXANX",0.0462751564704022,0.0149135508028531,107418.658100139,3.10289327351535,0.00191688438305622
"sexMale:DXASD",-0.028653264471432,0.0145334619427664,97690.7553515904,-1.97153744815036,0.0486652512690707
"sexMale:DXMCI",0.0228657744981325,0.0235714106693797,107148.638141377,0.970063897271794,0.332016832871352
"sexMale:DXMDD",0.0294536755320631,0.00856510774066552,107471.239859859,3.43879801910986,0.000584524458404885
"sexMale:DXSCZ",0.0488693026370087,0.0189266198251819,106160.542406302,2.58204069656368,0.00982312701685513
