"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.499626931422534,0.00555992798586133,179.780751157183,89.8621227996236,2.41725030825058e-151
"age_days",-2.40912509432286e-07,2.66426426596954e-07,1821.97920829394,-0.904236537303918,0.365989532667001
"sexMale",0.000178862769153625,0.00192637372943031,105225.832149908,0.0928494644736047,0.926023330502074
"DXAD",-0.235389604601007,0.00963442821643928,101759.300116121,-24.4321302014955,1.86958857075814e-131
"DXADHD",0.0230922041494174,0.0158236247600994,78422.4197248521,1.45934983289331,0.144472851547662
"DXANX",-0.0127178740340974,0.00908545181911919,105380.85554793,-1.39980644741676,0.161574230384882
"DXASD",-0.0108594009436208,0.0142419084342377,76842.1900203505,-0.762496191698206,0.445766255716895
"DXMCI",-0.0955297841030551,0.016778650761779,102249.145722691,-5.69353194481334,1.24777507576348e-08
"DXMDD",-0.00436472547787753,0.00530835529055298,91202.769264229,-0.822236877332838,0.410944243855025
"DXSCZ",-0.114093030065766,0.0173411418582429,31192.5340938721,-6.57932626342787,4.80058493805136e-11
"sexMale:DXAD",0.0570119697310207,0.0126245536260696,105386.306575436,4.51595925049512,6.30989938469265e-06
"sexMale:DXADHD",-0.114741950931317,0.0170276575974267,105411.436631368,-6.73856343861753,1.60778429524023e-11
"sexMale:DXANX",0.0379150749663469,0.0149023166017054,105346.504122702,2.54424033388257,0.0109529852371856
"sexMale:DXASD",0.0190194081579312,0.0150088509471801,105015.409429537,1.26721280828661,0.205082017271351
"sexMale:DXMCI",0.0243047458891261,0.0235681638574924,105421.312101582,1.03125326334658,0.302424434805008
"sexMale:DXMDD",0.0245044217859702,0.00856243950570663,105360.973775762,2.86185050062412,0.00421258451745864
"sexMale:DXSCZ",0.0663061376583702,0.0189423568148174,105308.853053695,3.50041646383216,0.000464723768646168
