"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.508866243269493,0.00349231967650912,174.442345973775,145.710098274322,3.86893407491636e-184
"age_days",-9.04037281520053e-07,2.07540857254928e-07,267.7893768278,-4.35594847914501,1.88882809944556e-05
"sexMale",-0.00268032946575247,0.00190046342882657,101481.474595802,-1.41035571908238,0.158437738601172
"DXAD",-0.161131460917045,0.00954559679343397,60166.0627288823,-16.8801872113308,8.83158578893075e-64
"DXADHD",-0.00350512138485265,0.0154376874440288,16851.1996695705,-0.227049640534626,0.820387896649167
"DXANX",-0.0099926120858782,0.00907884812793973,107491.368382197,-1.10064756509434,0.271052540171227
"DXASD",-0.00431239681861758,0.0134893403967562,24805.6942703958,-0.319689228070381,0.749206618654044
"DXMCI",-0.0549516229252771,0.0166380307352562,66607.6933448839,-3.30277205275466,0.000957845757646336
"DXMDD",-0.00649895638628769,0.00523701835270508,55527.6108913013,-1.24096498209344,0.214623928041929
"DXSCZ",-0.145764376189157,0.016570724370239,9468.36414027202,-8.79649995572613,1.65852717022605e-18
"sexMale:DXAD",0.052276062209535,0.0126135534103899,107495.458599859,4.14443579130326,3.40911872320825e-05
"sexMale:DXADHD",-0.0966270858123389,0.0170108329080111,107433.463511234,-5.68032655043206,1.34783835284695e-08
"sexMale:DXANX",0.0436978458490367,0.014895163278394,107445.769854421,2.93369364486404,0.00335025401600692
"sexMale:DXASD",-0.0228326431082912,0.0145129898270834,99783.5112288653,-1.57325564065938,0.115662806771464
"sexMale:DXMCI",0.0233947870834423,0.0235413075054846,107212.556218801,0.993776028710039,0.320334161734841
"sexMale:DXMDD",0.0333132586270974,0.00855450182544891,107483.882288658,3.89423712880548,9.85677585879803e-05
"sexMale:DXSCZ",0.0521742567349284,0.0189019436356738,106519.456555865,2.76025882525961,0.00577654566236757
