Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,38783,529,0.495,0.229,0.0002,0.671,0.499,0.585,0.167,0.0005,Female,0.266
CN,ADHD,38783,329,0.495,0.46,0.71793,0.128,-0.089,0.019,0.006,0.7602,Female,0.036
CN,Anxiety/Phobia,38783,1039,0.495,0.486,0.20258,0.101,-0.022,0.04,0.011,0.2701,Female,0.009
CN,ASD,38783,381,0.495,0.486,0.61054,0.074,-0.128,-0.027,-0.008,0.6869,Female,0.009
CN,LMCI,38783,216,0.495,0.394,0.0002,0.41,0.143,0.276,0.079,0.0005,Female,0.102
CN,MCI,38783,253,0.495,0.406,0.0002,0.332,0.085,0.209,0.06,0.0005,Female,0.09
CN,MDD,38783,3461,0.495,0.485,0.14519,0.061,-0.009,0.026,0.007,0.201,Female,0.011
CN,SCZ,38783,315,0.495,0.297,0.0002,0.585,0.363,0.474,0.136,0.0005,Female,0.198
AD,ADHD,529,329,0.229,0.46,0.0002,-0.41,-0.69,-0.55,-0.162,0.0005,Female,-0.231
AD,Anxiety/Phobia,529,1039,0.229,0.486,0.0002,-0.438,-0.651,-0.545,-0.156,0.0005,Female,-0.257
AD,ASD,529,381,0.229,0.486,0.0002,-0.438,-0.707,-0.573,-0.175,0.0005,Female,-0.257
AD,LMCI,529,216,0.229,0.394,0.0002,-0.146,-0.465,-0.305,-0.088,0.0005,Female,-0.165
AD,MCI,529,253,0.229,0.406,0.0002,-0.205,-0.507,-0.356,-0.108,0.0005,Female,-0.177
AD,MDD,529,3461,0.229,0.485,0.0002,-0.465,-0.65,-0.558,-0.16,0.0005,Female,-0.256
AD,SCZ,529,315,0.229,0.297,0.12319,0.031,-0.248,-0.108,-0.032,0.1774,Female,-0.068
ADHD,Anxiety/Phobia,329,1039,0.46,0.486,0.75652,0.145,-0.104,0.021,0.006,0.7781,Female,-0.026
ADHD,ASD,329,381,0.46,0.486,0.56974,0.105,-0.191,-0.043,-0.013,0.6616,Female,-0.026
ADHD,LMCI,329,216,0.46,0.394,0.0034,0.427,0.081,0.254,0.074,0.0068,Female,0.066
ADHD,MCI,329,253,0.46,0.406,0.0366,0.341,0.012,0.177,0.054,0.0549,Female,0.054
ADHD,MDD,329,3461,0.46,0.485,0.91871,0.12,-0.107,0.007,0.002,0.9187,Female,-0.025
ADHD,SCZ,329,315,0.46,0.297,0.0002,0.598,0.284,0.441,0.13,0.0005,Female,0.163
Anxiety/Phobia,ASD,1039,381,0.486,0.486,0.26797,0.052,-0.183,-0.065,-0.019,0.3445,Female,0
Anxiety/Phobia,LMCI,1039,216,0.486,0.394,0.001,0.387,0.093,0.24,0.068,0.0021,Female,0.092
Anxiety/Phobia,MCI,1039,253,0.486,0.406,0.0184,0.304,0.029,0.166,0.048,0.0301,Female,0.081
Anxiety/Phobia,MDD,1039,3461,0.486,0.485,0.69993,0.055,-0.083,-0.014,-0.004,0.7602,Female,0.001
Anxiety/Phobia,SCZ,1039,315,0.486,0.297,0.0002,0.562,0.308,0.435,0.124,0.0005,Female,0.189
ASD,LMCI,381,216,0.486,0.394,0.001,0.45,0.114,0.282,0.087,0.0021,Female,0.092
ASD,MCI,381,253,0.486,0.406,0.0102,0.369,0.05,0.21,0.068,0.0175,Female,0.08
ASD,MDD,381,3461,0.486,0.485,0.33757,0.158,-0.053,0.053,0.015,0.419,Female,0.001
ASD,SCZ,381,315,0.486,0.297,0.0002,0.614,0.311,0.462,0.143,0.0005,Female,0.189
LMCI,MCI,216,253,0.394,0.406,0.49335,0.118,-0.246,-0.064,-0.019,0.592,Female,-0.012
LMCI,MDD,216,3461,0.394,0.485,0.0002,-0.113,-0.389,-0.251,-0.072,0.0005,Female,-0.091
