Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
CN,AD,38783,529,0.499,0.379,0.0002,0.316,0.145,0.231,0.066,0.001,Female,0.12
CN,ADHD,38783,329,0.499,0.507,0.86411,0.116,-0.101,0.008,0.002,0.9493,Female,-0.008
CN,Anxiety/Phobia,38783,1039,0.499,0.479,0.11639,0.11,-0.013,0.049,0.014,0.2328,Female,0.02
CN,ASD,38783,381,0.499,0.506,0.69333,0.121,-0.081,0.02,0.006,0.8723,Female,-0.007
CN,Attention & Learning difficulty,38783,99,0.499,0.205,0.0002,0.839,0.445,0.642,0.184,0.001,Female,0.294
CN,EMCI,38783,139,0.499,0.408,0.0158,0.371,0.038,0.205,0.058,0.0474,Female,0.09
CN,LMCI,38783,216,0.499,0.477,0.27417,0.209,-0.059,0.075,0.021,0.4364,Female,0.022
CN,MCI,38783,253,0.499,0.466,0.38516,0.177,-0.07,0.053,0.015,0.5891,Female,0.033
CN,MDD,38783,3461,0.499,0.492,0.25457,0.055,-0.014,0.02,0.006,0.4137,Female,0.007
CN,Other Psychiatric,38783,111,0.499,0.394,0.0206,0.407,0.034,0.221,0.063,0.0595,Female,0.105
CN,SAD,38783,150,0.499,0.47,0.55254,0.211,-0.11,0.051,0.015,0.7561,Female,0.029
CN,SCZ,38783,315,0.499,0.366,0.0002,0.444,0.222,0.333,0.095,0.001,Female,0.133
AD,ADHD,529,329,0.379,0.507,0.0044,-0.066,-0.342,-0.204,-0.064,0.0162,Female,-0.128
AD,Anxiety/Phobia,529,1039,0.379,0.479,0.0012,-0.071,-0.281,-0.176,-0.052,0.0055,Female,-0.1
AD,ASD,529,381,0.379,0.506,0.0046,-0.058,-0.322,-0.19,-0.06,0.0162,Female,-0.127
AD,Attention & Learning difficulty,529,99,0.379,0.205,0.0006,0.587,0.155,0.371,0.118,0.0029,Female,0.174
