Dx,p value (Hardigan's dip test of unimodality),D-statistic (Hardigan's dip test of unimodality),Number of inflection points in smoothed distribution,Sex
ASD,0,0.035622692,3,Female
SCZ,0.96,0.014436733,1,Female
ADHD,0.05,0.029077673,2,Female
AD,0.99,0.010132651,1,Female
MCI,0.83,0.018766427,2,Female
MDD,0.99,0.00415771,3,Female
Anxiety/Phobia,0.68,0.010443538,2,Female
ASD,0.13,0.011920838,2,Male
SCZ,0.65,0.012734337,3,Male
ADHD,0.7,0.011143594,2,Male
AD,0.76,0.014793255,2,Male
MCI,0.9,0.019919343,2,Male
MDD,0.47,0.008990626,3,Male
Anxiety/Phobia,0.77,0.013050277,3,Male
