"Group 1","Group 2","Sample size G1","Sample size G2","Median centile G2","Median centile G1","P upper CI","P lower CI","P uncorrected","Cohens D lower CI","Cohens D upper CI","Cohens D","Mean group difference","P corrected (BH-FDR)","Significance"
"AD>AD","MCI>MCI",61,420,0.0195725750157957,0.0248141996909224,0.89259532002055,0.730854708098293,0.812,0.322201134356899,-0.216308532733991,0.0529463008114541,0.00259205392024611,0.812,NA
"AD>AD","MCI>AD",13,420,0.0439863468492366,0.0248141996909224,0.10096382921448,0.0404413093659553,0.068,-0.140615832439514,-1.25151217971553,-0.696064006077521,-0.0353223429223052,0.102,NA
"AD>AD","CN>MCI",31,420,0.073626677525859,0.0248141996909224,0.0105791632410774,0,0.002,-0.854941017143243,-1.60395875286967,-1.22944988500646,-0.0667919371476358,0.006,"**"
"AD>AD","CN>AD",4,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>MCI","MCI>AD",13,61,0.0439863468492366,0.0195725750157957,0.0311994061179701,0.00308224782619162,0.014,-0.181828938627138,-1.4279847979216,-0.804906868274371,-0.0379143968425514,0.028,"*"
"MCI>MCI","CN>MCI",31,61,0.073626677525859,0.0195725750157957,0.0105791632410774,0,0.002,-0.6092117506185,-1.54045252222931,-1.07483213642391,-0.0693839910678819,0.006,"**"
"MCI>MCI","CN>AD",4,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCI>AD","CN>MCI",31,13,0.073626677525859,0.0439863468492366,0.377900496457326,0.257392511716791,0.316,0.319725776537361,-1.02246766025231,-0.351370941857476,-0.0314695942253306,0.3792,NA
"MCI>AD","CN>AD",4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CN>MCI","CN>AD",4,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
