"","study","Pearson's r","p-value","t-value","df","lower ci","upper ci"
"1","3R-BRAIN","0.999998516323532","0","10513.6093596932","328","0.999998157182888","0.999998805472464"
"2","ABCD","0.999910445080891","0","7043.89917175751","8888","0.99990664292191","0.999914092395781"
"3","abide1","0.999968751293355","0","2987.96770794861","558","0.999963105302426","0.999973533290436"
"4","abide2","0.999995588180102","0","6639.71561035228","389","0.999994616756974","0.999996384307189"
"5","ADHD200","0.999997189534555","0","9327.15923862125","489","0.999996643842773","0.99999764650011"
"6","ADNI","0.999999881540801","0","41396.4961884729","406","0.999999856066503","0.99999990250649"
"7","AIBL","0.999999733578007","0","29349.8727007381","459","0.999999680023464","0.999999778169116"
"8","AOBA","0.999812489822385","0","1601.39708241753","962","0.999787217657611","0.999834760659455"
"9","AOMIC_ID1000","0.999999476210121","0","29682.9548145712","923","0.999999404032268","0.999999539646493"
"10","AOMIC_PIOP1","0.999998710959058","3.76535076164031e-200","5247.83777049255","71","0.999997940590881","0.999999193153854"
"11","AOMIC_PIOP2","0.999999699039207","0","19204.6514696819","222","0.999999608234735","0.999999768796761"
"12","ARWIBO","0.999947495567723","0","3197.95285584469","1074","0.999940821262928","0.999953417147651"
"13","ASRB","0.999993983871596","0","3889.19920317182","182","0.999991948898906","0.999995504491716"
"14","BabyConnectome","0.999933285792759","1.35633261580478e-226","932.358857183956","116","0.999903847220422","0.999953711526501"
"15","BGSP","0.999994904528669","0","12404.0694856003","1568","0.999994374124289","0.999995384926939"
"16","BHRCS","0.999997657773881","0","8226.20372062417","317","0.999997079909241","0.999998121283435"
"17","BIODEP","0.999982876094821","5.07495017199418e-120","1243.98731579035","53","0.999970509579817","0.99999005686028"
"18","BSNIP","0.999999526265396","0","14346.1246136821","195","0.999999372287909","0.999999642472283"
"19","Calgary","0.999942671864849","2.39074483832568e-163","845.647457421589","82","0.999911383025486","0.999962913460503"
"20","CALM","0.999997421833297","4.73946236553671e-200","3813.81213688101","75","0.999995933591439","0.999998365402384"
"21","CamCAN","0.999995278224448","0","8264.38711480097","645","0.999994489522324","0.999995954041661"
"22","CAMFT","0.999999424791229","9.97127212459706e-198","7574.32668824911","66","0.999999064631939","0.999999646272819"
"23","CHILD","0.999584950818483","8.82107106503101e-48","190.046828164004","30","0.999140726564414","0.999799544558243"
"24","COBRE","0.99999973367225","2.81355285792417e-265","12557.8805595765","84","0.999999590475957","0.999999826797791"
"25","Cornell_C1","0.99999270391264","1.7739718670121e-156","2094.24554361913","64","0.999988044392686","0.999995547458107"
"26","Cornell_C2","0.99998106013559","3.09515651325727e-61","844.252357965191","27","0.999959145413377","0.99999121967972"
"27","CUBA","0.999999331714583","0","12201.9806092488","199","0.999999117028965","0.999999494201543"
"28","cVEDA","0.999997477963039","0","15366.1241588262","1191","0.999997174459211","0.999997748866216"
"29","devCCNP","0.999998121768798","0","10586.4637039597","421","0.999997725857211","0.999998448755134"
"30","dHCP","0.998908029539837","0","478.56674393073","501","0.998698934266371","0.999083536359671"
"31","DLBS","0.999998489803169","0","10147.2398855762","311","0.999998113210412","0.999998791230141"
"32","EDSD","0.999998141583173","0","6561.04208732257","160","0.999997463982018","0.999998638135528"
"33","EMBARC","0.999999429681401","1.41067449660673e-108","5617.94262459604","36","0.99999889369198","0.999999705992132"
"34","FemaleASD","0.999998916719038","0","10213.3523174148","226","0.999998593192809","0.999999165843332"
"35","FinnBrain","0.989929892519338","6.92839095551739e-211","109.682174326537","246","0.98708260928419","0.992152049252799"
"36","Frankfurt","0.999998044724486","0","9186.23083727404","330","0.999997573030159","0.999998424742617"
"37","GOBS","0.999997160487826","0","6252.28400143842","222","0.999996303765018","0.999997818637445"
"38","GOSH","0.999949663526957","1.38550439193862e-89","661.079291757793","44","0.999908485928614","0.999972313142601"
"39","GUSTO","0.999995969814405","0","8812.68674197783","626","0.999995285658692","0.999996554684088"
"40","HABS","0.99999996531645","0","62963.6018694269","275","0.999999956048928","0.999999972629822"
"41","Harvard_Fetal3","0.984920416908889","5.89511834950523e-75","55.7789763641892","96","0.977538740403926","0.989888580604874"
"42","HBN","0.999996214038828","0","7911.9741934852","474","0.999995466302176","0.99999683845248"
"43","HCP","0.999997600101674","0","15214.049626306","1111","0.999997300455906","0.9999978664872"
"44","HCP_lifespanA","0.999997694349298","0","12205.7891312003","687","0.999997322117699","0.999998014839928"
"45","HCP_lifespanD","0.999977063334499","0","3772.84515468682","653","0.999973257580017","0.999980327491597"
"46","IBIS","0.999579139737297","1.71454052447833e-152","341.108045072472","98","0.999373463909471","0.999717306980062"
