"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.483174836105648,0.00335834662705788,117.394178215653,143.872830818819,7.435598333697e-134
"age_days",1.18491147540949e-06,2.04178443961291e-07,136.189979399413,5.80331328038784,4.35153218509131e-08
"sexMale",0.00319137954031683,0.00199318355660947,82645.786016549,1.60114683353377,0.109348223287499
"DXAD",0.213484808984069,0.00952224710010896,34360.9613502752,22.4195829765462,1.57695010636041e-110
"DXADHD",0.0565564380572464,0.0152519671569033,8107.35016685923,3.70814056150442,0.000210180189963483
"DXANX",-0.0311326260561487,0.009094734667262,98677.977682971,-3.42314835948054,0.000619254038599297
"DXASD",0.0540634759939458,0.0134892626707565,14064.2186196565,4.00788963144373,6.15795715341629e-05
"DXMCI",0.0535933326129772,0.0165992872997507,39753.7293238443,3.22865263099471,0.00124475762906526
"DXMDD",-0.00180825834148771,0.00527983241413252,40765.2899194036,-0.34248404109334,0.731988417757512
"DXSCZ",0.0757612469551441,0.0168360082130198,7649.0868288068,4.4999530765586,6.89733811304436e-06
"sexMale:DXAD",0.0253355034970371,0.0126428816142459,98790.1965138478,2.00393425091391,0.0450798290463024
"sexMale:DXADHD",-0.10107457939226,0.017040492795396,98679.8537501616,-5.93143523522794,3.01294021672376e-09
"sexMale:DXANX",0.0513636815342096,0.0149285420212347,98923.1163727325,3.44063616267073,0.000580587783673244
"sexMale:DXASD",-0.0288464032791065,0.0146181135472864,85265.4802736308,-1.97333282340396,0.0484608796495222
"sexMale:DXMCI",0.0942782781473103,0.023570865877589,97950.7524295307,3.99978000964951,6.34478921719831e-05
"sexMale:DXMDD",0.0475278210845034,0.00868108237402768,98957.5783738871,5.4748727217125,4.38886469746068e-08
"sexMale:DXSCZ",-0.00317174162923226,0.019383549235424,98431.0447801582,-0.163630591627452,0.870022296598566
