"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.50109836003133,0.00354216603029957,112.577131934317,141.466649430024,1.25325903598628e-128
"age_days",-4.49392674841336e-07,2.15211488046649e-07,133.691488544824,-2.08814445232554,0.0386820629569504
"sexMale",-0.00296002688410093,0.00202899842048034,82621.4592014561,-1.45886110813245,0.144607140903429
"DXAD",-0.109440022582769,0.00957652759502437,38331.2471827071,-11.4279441579252,3.39367136068024e-30
"DXADHD",0.0366820020650731,0.0197889907565434,19573.7290427904,1.85365704175408,0.063803276415698
"DXANX",-0.00254409440856262,0.00935913071440026,93567.8023295984,-0.271830203701311,0.785753179913931
"DXASD",-0.0185917236814291,0.0137223110678522,14663.4138495773,-1.35485368240811,0.175485051783875
"DXMCI",-0.0732812874128847,0.0169797261227516,42516.5400024222,-4.31581091962922,1.59376936538889e-05
"DXMDD",-0.00506399727417988,0.00545294464651289,52506.3480741868,-0.928672048306645,0.353063339832249
"DXSCZ",-0.120433697771273,0.0337352869150543,16071.1380545725,-3.56996216082364,0.000358074104446635
"sexMale:DXAD",0.0684452376957077,0.0127003098541409,93480.7829319733,5.38925730803263,7.0920072040559e-08
"sexMale:DXADHD",-0.124700181820456,0.02214911669896,93278.6003153527,-5.63002956349549,1.80694768077347e-08
"sexMale:DXANX",0.0296234469112109,0.0152524614966275,93569.7833729402,1.94220761794816,0.0521149679285028
"sexMale:DXASD",-0.0185619592854481,0.0147918520396611,83996.9109302204,-1.25487729566779,0.209526798641307
"sexMale:DXMCI",0.0691490002385811,0.0241619912140675,92719.9023356073,2.86189162250508,0.00421215111519835
"sexMale:DXMDD",0.0304907248755109,0.00894488139247345,93597.0682194926,3.40873439654179,0.000652924794690025
"sexMale:DXSCZ",0.0210874896780661,0.0384705494287474,93587.2699216868,0.548146309090879,0.583592752420505
