"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.517050303099341,0.00542707283391517,116.134180070158,95.2724090725596,4.27684792497864e-112
"age_days",-1.35160546001439e-06,2.85982060673999e-07,649.36063270605,-4.7261896666838,2.80660703649504e-06
"sexMale",-0.00117829623981693,0.00203548565364348,92892.2220590028,-0.57887720196298,0.562673437762561
"DXAD",-0.257366218409668,0.00967197987019948,85481.4774851783,-26.6094658863636,2.27669883115169e-155
"DXADHD",-0.0359824028525962,0.0201574007710507,66181.6668999217,-1.78507156062863,0.0742542886242512
"DXANX",-0.000693694129088399,0.00935759878171219,93517.8633628301,-0.0741316383904067,0.940905799271598
"DXASD",-0.0256513845507635,0.0140556066891516,51203.4839107665,-1.82499305210083,0.0680079010023545
"DXMCI",-0.112770274392688,0.0171340250862996,87002.3998754626,-6.58165689758791,4.67863981092015e-11
"DXMDD",-0.00645405924040767,0.00551056119157358,76306.5312521668,-1.17121632734554,0.241515491242237
"DXSCZ",-0.166706357577475,0.034973335921744,16958.8142083783,-4.76667018412243,1.88849408197629e-06
"sexMale:DXAD",-0.00677408697793457,0.0127006535599692,93535.3930070151,-0.533365227698643,0.593782050361933
"sexMale:DXADHD",0.0269777360963128,0.0221590835138076,93532.4619932684,1.21745721475812,0.22343337715558
"sexMale:DXANX",-0.00713802810270449,0.0152462821383739,93491.6179314865,-0.468181556521148,0.639655851752041
"sexMale:DXASD",0.0363817607123893,0.0148389429603355,92499.1641724527,2.45177576392319,0.0142171569357328
"sexMale:DXMCI",-0.041022139720237,0.0241766279601466,93539.4964548381,-1.69676845703458,0.0897437714659304
"sexMale:DXMDD",0.00381575600949737,0.00894243971885906,93507.9224020787,0.426701898973965,0.669597449584251
"sexMale:DXSCZ",-0.00159375518002756,0.0384598237759529,93521.7494733418,-0.0414394821284662,0.966945626090138
