,feature importance score (subtype2)
Fusiform_R,0.03405
Cuneus_R,0.02266
ParaHippocampal_R,0.02127
Temporal_Inf_R,0.01951
Cingulate_Mid_L,0.01868
Temporal_Pole_Mid_R,0.01856
LC_L,0.01777
SupraMarginal_R,0.01728
Thal_MGN_L,0.01716
Thal_MGN_R,0.01694
Olfactory_L,0.01511
Thal_VPL_L,0.01501
Postcentral_R,0.01402
Angular_R,0.01373
Supp_Motor_Area_R,0.01369
Occipital_Inf_R,0.01295
Thal_PuI_L,0.01211
Cingulate_Post_R,0.01173
VTA_L,0.01169
N_Acc_R,0.01124
Postcentral_L,0.01108
OFClat_L,0.01105
Red_N_L,0.0105
VTA_R,0.01049
Caudate_R,0.01036
Occipital_Mid_L,0.01029
ACC_sub_L,0.01028
Thal_VA_R,0.00983
Thal_VPL_R,0.00973
Frontal_Inf_Tri_R,0.00967
Temporal_Mid_L,0.00963
Occipital_Sup_L,0.00937
Thal_PuM_R,0.00933
Pallidum_L,0.00908
Temporal_Sup_R,0.00885
Heschl_L,0.00881
Thal_VA_L,0.00853
Thal_LGN_L,0.00805
Fusiform_L,0.00783
Thal_Re_R,0.00752
Parietal_Inf_R,0.00748
Frontal_Inf_Orb_2_L,0.00736
Thal_MDm_R,0.0073
N_Acc_L,0.00711
Thal_LP_L,0.00705
Thal_VL_R,0.00703
SN_pc_L,0.00693
ACC_sub_R,0.00687
OFCant_R,0.00687
Olfactory_R,0.00635
Frontal_Sup_Medial_R,0.00621
Hippocampus_R,0.00618
Frontal_Inf_Tri_L,0.00613
ACC_pre_R,0.00613
Cingulate_Mid_R,0.00601
Temporal_Pole_Mid_L,0.00597
Thal_VL_L,0.00575
Thal_IL_R,0.00572
Temporal_Inf_L,0.00571
Temporal_Pole_Sup_L,0.00567
Thal_LGN_R,0.00565
Precentral_R,0.00554
Thal_MDm_L,0.00534
ACC_sup_R,0.00502
SN_pr_L,0.005
Parietal_Inf_L,0.00494
Thal_Re_L,0.00487
Temporal_Mid_R,0.00479
Thal_MDl_L,0.00477
Paracentral_Lobule_R,0.00468
Supp_Motor_Area_L,0.00465
Rolandic_Oper_R,0.00455
ACC_sup_L,0.00448
Hippocampus_L,0.00438
Occipital_Inf_L,0.00437
Rectus_L,0.00435
OFCant_L,0.00425
Amygdala_L,0.00424
ACC_pre_L,0.00415
Thal_PuA_R,0.00404
Caudate_L,0.0039
Thal_PuL_L,0.00373
ParaHippocampal_L,0.00369
Red_N_R,0.0034
Frontal_Inf_Orb_2_R,0.00339
Occipital_Mid_R,0.00324
OFCpost_L,0.00321
OFClat_R,0.00312
Occipital_Sup_R,0.00302
OFCmed_R,0.003
OFCmed_L,0.00269
SN_pr_R,0.00255
Frontal_Sup_Medial_L,0.00244
Thal_IL_L,0.00244
Frontal_Med_Orb_R,0.00238
Precuneus_L,0.0023
Precentral_L,0.00221
Thal_PuM_L,0.00217
Frontal_Inf_Oper_L,0.00204
Angular_L,0.00202
Temporal_Pole_Sup_R,0.002
Insula_L,0.00188
Putamen_L,0.00187
Frontal_Mid_2_R,0.00174
Parietal_Sup_R,0.00164
Frontal_Mid_2_L,0.0015
Temporal_Sup_L,0.00148
Thal_PuA_L,0.00146
Parietal_Sup_L,0.00143
Amygdala_R,0.00127
Lingual_R,0.00119
Cingulate_Post_L,0.00101
Thal_PuL_R,0.00098
Thal_AV_L,0.00091
Rolandic_Oper_L,0.00081
Pallidum_R,0.00048
Thal_PuI_R,0.00043
Raphe_M,0.00035
Thal_AV_R,0.00015
Precuneus_R,0.00014
Raphe_D,4.00E-05
