result	issues	notes	file
WARN	3	See details	DE_v12_Baldwin2022_by_claude_20260120174027.json
WARN	3	See details	DE_v12_Baldwin2022_by_codex_20260127101421.json
WARN	3	See details	DE_v12_Bayer2022_by_claude_20260127101052.json
WARN	3	See details	DE_v12_Bayer2022_by_codex_20260127101554.json
WARN	3	See details	DE_v12_Bayer2022_by_gemini_20260120130924.json
WARN	3	See details	DE_v12_Bedford2025_by_claude_20260121092531.json
WARN	3	See details	DE_v12_Bedford2025_by_codex_20260127101719.json
WARN	3	See details	DE_v12_Bedford2025_by_gemini_20260120131137.json
WARN	3	See details	DE_v12_Berthet2025_by_codex_20260127101838.json
WARN	3	See details	DE_v12_Bethlehem2020_by_codex_20260127101957.json
WARN	3	See details	DE_v12_Bethlehem2021_by_claude_20260121093018.json
WARN	3	See details	DE_v12_Bethlehem2021_by_codex_20260127102116.json
WARN	3	See details	DE_v12_Bhome2024_by_claude_20260121093159.json
WARN	3	See details	DE_v12_Bhome2024_by_codex_20260127102248.json
WARN	3	See details	DE_v12_CardenasDeLaParra2019_by_codex_20260127102355.json
WARN	3	See details	DE_v12_Chan2025A_by_codex_20260127102519.json
WARN	2	See details	DE_v12_Chan2025B_by_claude_20260121093637.json
WARN	3	See details	DE_v12_Chan2025B_by_codex_20260127102647.json
WARN	3	See details	DE_v12_Chien2022_by_claude_20260121093808.json
WARN	3	See details	DE_v12_Chien2022_by_codex_20260127155332.json
WARN	3	See details	DE_v12_Cirstian2024_by_claude_20260121093942.json
WARN	3	See details	DE_v12_Cirstian2024_by_codex_20260127155450.json
WARN	3	See details	DE_v12_Coupe2022_by_claude_20260123152838.json
WARN	3	See details	DE_v12_Coupe2022_by_codex_20260127155552.json
WARN	3	See details	DE_v12_DeMeo2019_by_claude_20260123153003.json
WARN	3	See details	DE_v12_DeMeo2019_by_codex_20260127155718.json
WARN	3	See details	DE_v12_DiBiase2022_by_claude_20260123153126.json
WARN	3	See details	DE_v12_DiBiase2022_by_codex_20260127155804.json
WARN	3	See details	DE_v12_Ebadi2024_by_claude_20260123153237.json
WARN	3	See details	DE_v12_Ebadi2024_by_codex_20260127155929.json
WARN	3	See details	DE_v12_Echave2024_by_claude_20260123153425.json
WARN	3	See details	DE_v12_Echave2024_by_codex_20260127160024.json
WARN	3	See details	DE_v12_Elad2021_by_claude_20260123153535.json
WARN	3	See details	DE_v12_Elad2021_by_codex_20260127160147.json
WARN	3	See details	DE_v12_Fang2024_by_claude_20260123153653.json
WARN	3	See details	DE_v12_Fang2024_by_codex_20260127160251.json
WARN	3	See details	DE_v12_Fang2025_by_claude_20260123153840.json
WARN	3	See details	DE_v12_Fang2025_by_codex_20260127160336.json
WARN	3	See details	DE_v12_Feng2024_by_claude_20260123154010.json
WARN	3	See details	DE_v12_Feng2024_by_codex_20260127160434.json
WARN	3	See details	DE_v12_Feng2025_by_claude_20260123154132.json
WARN	3	See details	DE_v12_Feng2025_by_codex_20260127160521.json
WARN	3	See details	DE_v12_Floris2021_by_claude_20260123154255.json
WARN	3	See details	DE_v12_Floris2021_by_codex_20260127160651.json
FAIL	2	See details	DE_v12_Floris2024_by_claude_20260127150405.json
WARN	3	See details	DE_v12_Floris2024_by_codex_20260127102317.json
FAIL	2	See details	DE_v12_Fraza2023_by_claude_20260127150618.json
WARN	3	See details	DE_v12_Fraza2023_by_codex_20260127102436.json
FAIL	2	See details	DE_v12_FukamiGartner2023_by_claude_20260127150742.json
WARN	3	See details	DE_v12_FukamiGartner2023_by_codex_20260127102524.json
WARN	3	See details	DE_v12_GarciaSanMartin2025_by_claude_20260127150941.json
WARN	3	See details	DE_v12_GarciaSanMartin2025_by_codex_20260127102707.json
WARN	3	See details	DE_v12_Ge2024_by_claude_20260127151116.json
WARN	3	See details	DE_v12_Ge2024_by_codex_20260127102812.json
FAIL	2	See details	DE_v12_Geng2025_by_claude_20260127151256.json
WARN	3	See details	DE_v12_Geng2025_by_codex_20260127102958.json
WARN	7	See details	DE_v12_Georgiadis2024_by_claude_20260127151404.json
WARN	3	See details	DE_v12_Georgiadis2024_by_codex_20260127103103.json
WARN	3	See details	DE_v12_Giacomel2025_by_claude_20260127151533.json
WARN	3	See details	DE_v12_Giacomel2025_by_codex_20260127103159.json
WARN	3	See details	DE_v12_Gimbel2025_by_claude_20260127151708.json
WARN	3	See details	DE_v12_Gimbel2025_by_codex_20260127103313.json
WARN	3	See details	DE_v12_Gordaliza2024_by_claude_20260127151850.json
WARN	3	See details	DE_v12_Gordaliza2024_by_codex_20260127103522.json
WARN	3	See details	DE_v12_Haas2024_by_claude_20260127155021.json
WARN	3	See details	DE_v12_Haas2024_by_codex_20260127103609.json
FAIL	2	See details	DE_v12_Han2023_by_claude_20260127155137.json
WARN	3	See details	DE_v12_Han2023_by_codex_20260127103722.json
FAIL	2	See details	DE_v12_Han2024A_by_claude_20260127155237.json
WARN	3	See details	DE_v12_Han2024A_by_codex_20260127103822.json
WARN	3	See details	DE_v12_Han2024B_by_claude_20260127155336.json
WARN	3	See details	DE_v12_Han2024B_by_codex_20260127103925.json
WARN	3	See details	DE_v12_Haukvik2025_by_claude_20260127155543.json
WARN	3	See details	DE_v12_Haukvik2025_by_codex_20260127104017.json
FAIL	2	See details	DE_v12_Holz2023_by_claude_20260127155652.json
WARN	3	See details	DE_v12_Holz2023_by_codex_20260127104107.json
WARN	3	See details	DE_v12_Hua2025_by_claude_20260127155808.json
WARN	3	See details	DE_v12_Hua2025_by_codex_20260127104158.json
WARN	3	See details	DE_v12_Huang2024_by_claude_20260127155911.json
WARN	3	See details	DE_v12_Huang2024_by_codex_20260127104313.json
FAIL	2	See details	DE_v12_Huo2024_by_claude_20260127160037.json
WARN	3	See details	DE_v12_Huo2024_by_codex_20260127104427.json
WARN	3	See details	DE_v12_Ilioska2024_by_claude_20260127160135.json
WARN	3	See details	DE_v12_Ilioska2024_by_codex_20260127104535.json
FAIL	2	See details	DE_v12_Italinna2023_by_claude_20260127160238.json
WARN	3	See details	DE_v12_Italinna2023_by_codex_20260127104623.json
WARN	3	See details	DE_v12_Jalbrzikowski2019_by_claude_20260127160403.json
WARN	3	See details	DE_v12_Jalbrzikowski2019_by_codex_20260127104718.json
FAIL	2	See details	DE_v12_Janahi2022_by_claude_20260127160531.json
WARN	3	See details	DE_v12_Janahi2022_by_codex_20260127104844.json
FAIL	2	See details	DE_v12_Janssen2021_by_claude_20260127160629.json
WARN	3	See details	DE_v12_Janssen2021_by_codex_20260127104953.json
WARN	3	See details	DE_v12_Janssen2024_by_claude_20260127160753.json
WARN	3	See details	DE_v12_Janssen2024_by_codex_20260127105124.json
WARN	3	See details	DE_v12_Ji2023_by_claude_20260127160902.json
WARN	3	See details	DE_v12_Ji2023_by_codex_20260127105235.json
WARN	3	See details	DE_v12_Jia2024_by_claude_20260127161003.json
WARN	3	See details	DE_v12_Jia2024_by_codex_20260127105357.json
WARN	3	See details	DE_v12_Jia2025_by_claude_20260127161111.json
WARN	3	See details	DE_v12_Jia2025_by_codex_20260127105500.json
WARN	3	See details	DE_v12_Jiang2024_by_claude_20260127161209.json
WARN	3	See details	DE_v12_Jiang2024_by_codex_20260127105551.json
WARN	3	See details	DE_v12_Jing2023_by_claude_20260127161333.json
WARN	3	See details	DE_v12_Jing2023_by_codex_20260127105710.json
WARN	3	See details	DE_v12_Joo2024_by_claude_20260127161443.json
WARN	3	See details	DE_v12_Joo2024_by_codex_20260127105842.json
WARN	3	See details	DE_v12_Kasper2024_by_claude_20260127161604.json
WARN	3	See details	DE_v12_Kasper2024_by_codex_20260127105955.json
WARN	3	See details	DE_v12_Kia2022_by_claude_20260127161729.json
WARN	3	See details	DE_v12_Kia2022_by_codex_20260127110112.json
WARN	3	See details	DE_v12_Kim2023_by_claude_20260127161852.json
WARN	3	See details	DE_v12_Kim2023_by_codex_20260127110219.json
FAIL	2	See details	DE_v12_Kim2024_by_claude_20260127162003.json
WARN	3	See details	DE_v12_Kim2024_by_codex_20260127110318.json
WARN	3	See details	DE_v12_Kobbersmed2025_by_claude_20260127162122.json
WARN	3	See details	DE_v12_Kobbersmed2025_by_codex_20260127110512.json
FAIL	2	See details	DE_v12_Kumar2024_by_claude_20260127162230.json
WARN	3	See details	DE_v12_Kumar2024_by_codex_20260127110619.json
FAIL	2	See details	DE_v12_Kumar2025_by_claude_20260127162340.json
WARN	3	See details	DE_v12_Kumar2025_by_codex_20260127110726.json
WARN	3	See details	DE_v12_Laidi2022_by_claude_20260127162459.json
WARN	3	See details	DE_v12_Laidi2022_by_codex_20260127110825.json
WARN	3	See details	DE_v12_Lamsma2024_by_claude_20260127162616.json
WARN	3	See details	DE_v12_Lamsma2024_by_codex_20260127110924.json
