result	issues	notes	file
WARN	5	See details	DE_v11_Baldwin2022_by_claude_20260120184025.json
WARN	9	See details	DE_v11_Baldwin2022_by_gemini_20260120162650.json
WARN	1	See details	DE_v11_Baldwin2022_by_human_20260127104752.json
WARN	5	See details	DE_v11_Bayer2022_by_claude_20260120185157.json
WARN	5	See details	DE_v11_Bayer2022_by_gemini_20260120172847.json
WARN	5	See details	DE_v11_Bedford2025_by_claude_20260121010432.json
WARN	5	See details	DE_v11_Bedford2025_by_gemini_20260120162141.json
WARN	5	See details	DE_v11_Berthet2025_by_claude_20260121010706.json
WARN	5	See details	DE_v11_Bethlehem2020_by_claude_20260121010954.json
WARN	5	See details	DE_v11_Bethlehem2021_by_claude_20260121011140.json
WARN	5	See details	DE_v11_Bethlehem2021_by_codex_20251221154128.json
WARN	5	See details	DE_v11_Bhome2024_by_claude_20260121011529.json
WARN	5	See details	DE_v11_Bhome2024_by_codex_20251221155403.json
WARN	5	See details	DE_v11_CardenasDeLaParra2019_by_claude_20260121011750.json
WARN	5	See details	DE_v11_CardenasDeLaParra2019_by_codex_20251221155403.json
WARN	5	See details	DE_v11_Chan2025A_by_claude_20260121012000.json
WARN	5	See details	DE_v11_Chan2025B_by_claude_20260121012200.json
WARN	5	See details	DE_v11_Chan2025B_by_codex_20251221155403.json
WARN	5	See details	DE_v11_Chien2022_by_claude_20260121215538.json
WARN	5	See details	DE_v11_Cirstian2024_by_claude_20260121215748.json
WARN	5	See details	DE_v11_Coupe2022_by_claude_20260121215934.json
WARN	5	See details	DE_v11_DeMeo2019_by_claude_20260121220222.json
WARN	5	See details	DE_v11_DeMeo2019_by_codex_20260121215641.json
WARN	5	See details	DE_v11_DiBiase2022_by_claude_20260121220458.json
WARN	5	See details	DE_v11_DiBiase2022_by_codex_20260121215819.json
WARN	5	See details	DE_v11_Ebadi2024_by_claude_20260121220713.json
WARN	5	See details	DE_v11_Ebadi2024_by_codex_20260121220006.json
WARN	5	See details	DE_v11_Echave2024_by_claude_20260121220900.json
WARN	5	See details	DE_v11_Echave2024_by_codex_20260121220233.json
WARN	5	See details	DE_v11_Elad2021_by_claude_20260121221126.json
WARN	5	See details	DE_v11_Elad2021_by_codex_20260121220546.json
WARN	5	See details	DE_v11_Fang2024_by_codex_20260121220732.json
WARN	5	See details	DE_v11_Fang2025_by_codex_20260121221011.json
WARN	5	See details	DE_v11_Feng2024_by_codex_20260121221205.json
WARN	5	See details	DE_v11_Feng2025_by_codex_20260121221335.json
WARN	5	See details	DE_v11_Floris2021_by_codex_20260121221628.json
WARN	5	See details	DE_v11_Floris2024_by_codex_20260121221909.json
WARN	5	See details	DE_v11_Fraza2023_by_codex_20260121222051.json
WARN	5	See details	DE_v11_FukamiGartner2023_by_codex_20260121222429.json
WARN	5	See details	DE_v11_GarciaSanMartin2025_by_codex_20260121222614.json
WARN	5	See details	DE_v11_Ge2024_by_codex_20260121222806.json
WARN	5	See details	DE_v11_Geng2025_by_codex_20260121223033.json
WARN	5	See details	DE_v11_Georgiadis2024_by_codex_20260121223215.json
WARN	5	See details	DE_v11_Giacomel2025_by_codex_20260121223441.json
